통계표,계정항목,구분코드,단위,변환,2000/01,2000/02,2000/03,2000/04,2000/05,2000/06,2000/07,2000/08,2000/09,2000/10,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,2001/11,2001/12,2002/01,2002/02,2002/03,2002/04,2002/05,2002/06,2002/07,2002/08,2002/09,2002/10,2002/11,2002/12,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06
"8.3.1. 산업별 생산/출하/재고 지수","총지수","생산자제품 출하지수(계절조정)","2020=100","원자료","48.968","49.43","49.359","49.101","50.557","50.158","52.147","52.883","51.489","50.69","49.758","49.758","50.096","49.625","50.096","50.291","50.885","51.09","50.158","51.418","51.285","51.818","52.147","50.752","52.617","54.277","54.8","54.8","54.472","53.212","54.605","55.271","55.538","55.866","56.531","56.931","56.062","56.132","56.594","55.928","55.866","57.322","54.739","57.322","58.848","60.047","59.843","60.97","61.503","62.63","62.036","62.835","63.492","61.769","61.636","62.036","63.163","63.429","64.158","62.835","65.817","64.291","65.418","64.824","64.361","65.817","66.012","66.217","66.146","67.477","70.327","69.599","71.854","69.999","70.665","70.132","71.392","70.993","68.143","72.254","73.586","75.573","75.174","73.452","74.18","75.174","74.313","75.37","76.036","75.769","77.891","77.625","77.234","80.217","81.149","81.282","82.073","81.016","82.339","82.143","81.078","80.678","81.477","80.154","80.021","78.628","71.792","66.545","65.889","70.46","72.52","75.174","75.769","79.418","80.35","79.285","82.8","81.61","82.8","84.46","83.804","84.336","86.466","88.064","88.774","90.017","90.195","89.928","90.106","89.84","91.349","92.325","95.255","92.414","93.835","92.681","93.213","93.923","94.101","94.101","94.811","94.989","93.391","92.947","95.965","96.853","93.923","95.166","96.676","95.699","94.811","92.414","95.433","95.433","95.788","97.208","97.031","96.143","94.722","94.989","95.521","96.676","94.989","97.297","94.811","96.942","96.232","97.652","97.475","96.32","97.297","96.587","95.61","97.652","97.12","95.61","95.255","94.545","96.232","98.185","95.726","96.788","95.34","96.595","94.858","96.112","95.533","99.2","98.814","99.104","97.946","96.981","96.016","97.174","98.428","97.656","99.104","98.525","98.332","97.56","97.946","97.463","101.998","101.226","102.095","98.814","100.937","100.068","99.393","99.779","99.586","100.647","100.84","101.419","102.867","98.332","100.551","99.682","98.139","100.744","102.674","101.998","101.13","103.542","101.709","104.025","101.516","98.332","101.226","97.753","99.779","100.358","99.296","100.261","101.516","102.674","102.674","102.384","101.13","103.928","99.7","95.6","101.5","97","89.4","97.2","98.6","98.9","103.2","103.7","102.9","102.7","102.5","104.1","103.7","103.6","102.4","103.1","104.1","102","101.3","102.5","104.1","106.4","106.3","104","105.1","103.5","103.8","102.7","103.6","102.9","103.2","101.4","98.8","97.9","98.1","98.6","102.3","98.5","103.2","105.4","98.4","100.7","104.4","101.5","103","104.8","99.5","100.9","100.1","102.1","101.3","102.7","97.6","102.4","103.1","100.5","98.3","104.9","98.4","100.5","101.3","101.9","100.1","101.7"
"8.3.1. 산업별 생산/출하/재고 지수","총지수","생산자제품 재고지수(계절조정)","2020=100","원자료","38.499","38.918","39.735","38.835","39.197","39.486","39.644","39.562","40.047","41.045","41.794","42.215","43.342","43.93","44.157","44.08","44.08","43.928","43.521","42.967","42.967","42.748","42.378","42.363","41.793","41.134","40.297","40.731","40.171","41.356","41.503","42.255","41.546","41.718","41.651","42.124","42.558","43.62","44.364","45.077","44.938","45.252","45.156","45.552","44.993","44.372","44.341","44.643","44.385","45.943","46.369","45.808","46.529","46.482","46.604","47.057","47.128","46.935","47.996","48.864","49.589","49.407","49.785","50.996","50.863","49.679","50.108","48.969","50.111","49.837","50.125","50.924","51.438","53.152","54.389","54.574","54.803","55.509","55.974","54.76","55.757","55.3","55.413","55.75","57.522","57.224","57.085","56.723","56.861","57.796","57.487","57.747","57.372","58.083","57.732","58.94","60.14","61.486","61.895","63.12","64.063","67.218","65.696","65.933","67.031","67.887","66.852","62.938","59.727","58.76","58.051","56.811","55.619","55.762","55.321","55.945","57.496","56.529","57.092","58.093","61.622","63.696","63.511","64.659","64.512","64.7","65.24","65.783","66.832","67.018","66.797","68.462","66.405","66.597","68.507","69.494","70.534","72.377","72.3","72.718","74.375","75.874","76.916","78.697","75.355","76.342","76.899","76.676","76.757","75.691","74.555","77.349","75.911","76.21","79.308","82.574","82.131","80.463","80.569","79.158","78.911","78.725","79.936","79.928","82.569","82.843","84.397","86.247","83.829","83.741","84.874","85.604","84.12","84.785","85.361","84.029","85.412","85.197","84.577","84.146","83.439","84.668","85.487","86.973","86.606","89.586","89.582","90.535","90.833","89.791","89.208","88.893","91.449","92.479","92.989","91.431","91.122","90.586","89.876","88.691","89.241","87.962","88.22","86.259","85.863","87.105","87.554","88.898","91.04","89.567","89.424","89.677","89.581","91.819","91.731","94.3","93.667","93.543","95.476","95.811","94.453","96.875","95.161","95.192","95.253","96.134","98.617","100.843","97.365","97.422","96.767","99.018","99.343","99.542","101.453","99.116","101.186","100.123","100.171","98.386","100.9","101.4","99.9","101.4","102","102.2","101.3","101.9","99.3","97.1","95.7","96.8","96.9","97.3","96.6","95.9","95.8","95.3","97.3","101.5","103.3","104.9","105.3","109.1","105.4","106.5","105.3","105.5","105","112.6","113","110.9","110.9","110.5","114.3","114.7","116.6","116.9","116.1","122.4","122.3","116.8","116.9","120","118.6","117","116","112.4","111.5","111.7","110","110.7","111.2","109.5","109.8","111.3","109.6","111.6","111.8","109","108.5","106.6","104.1","104","104","104.2"
"8.3.1. 산업별 생산/출하/재고 지수","  광업 및 제조업","생산자제품 출하지수(계절조정)","2020=100","원자료","49.232","49.632","49.56","49.232","50.689","50.289","52.28","53.018","51.623","50.689","49.765","49.827","50.094","49.632","50.094","50.36","50.894","51.089","50.031","51.418","51.222","51.889","52.084","50.627","52.546","54.341","54.804","54.875","54.537","53.15","54.475","55.204","55.533","55.799","56.394","56.865","56.004","56.137","56.528","55.87","55.87","57.327","54.67","57.257","58.785","59.984","59.852","61.042","61.576","62.632","62.17","62.971","63.495","61.771","61.576","61.975","63.228","63.433","64.357","62.899","65.885","64.161","65.29","64.757","64.357","65.823","66.018","66.214","66.152","67.547","70.462","69.538","72.061","70","70.799","70.267","71.457","71.128","68.142","72.256","73.848","75.909","75.438","73.581","74.381","75.438","74.381","75.509","76.176","75.909","78.095","77.695","77.429","80.485","81.41","81.543","82.406","81.081","82.672","82.476","81.348","80.886","81.677","80.281","80.086","78.691","71.662","66.285","65.556","70.329","72.453","75.18","75.776","79.491","80.485","79.357","82.938","81.677","82.876","84.529","83.623","84.245","86.466","88.067","89.044","90.287","90.465","90.199","90.287","90.022","91.443","92.331","95.087","92.42","93.932","92.865","93.487","94.109","94.375","94.375","94.998","95.087","93.843","92.865","95.976","97.042","94.286","95.264","96.864","95.976","94.909","92.42","95.62","95.531","95.798","97.042","97.397","96.241","94.998","94.998","95.531","96.686","94.909","97.397","94.909","97.042","96.241","97.753","97.664","96.419","97.575","96.953","95.62","97.753","97.308","95.887","95.353","94.464","96.419","98.019","95.719","97.073","95.333","96.686","94.946","96.299","95.719","99.587","99.007","99.393","98.33","97.363","96.009","97.17","98.523","97.943","99.49","98.91","98.62","97.75","97.943","97.75","102.391","101.617","102.391","98.813","101.037","100.167","99.297","99.78","99.297","100.554","100.94","101.327","102.681","97.846","100.264","99.297","97.943","100.554","102.584","101.714","100.65","103.261","101.617","103.841","101.327","97.943","100.94","97.363","99.683","99.973","99.007","100.167","101.424","102.681","102.681","102.487","101.134","104.131","99.9","95.5","101.7","96.6","88.9","97.1","98.7","98.7","103.3","103.8","103","102.7","102.4","104.2","103.8","103.6","102.2","103","103.8","101.9","101.1","102.2","104","106.6","106.2","103.6","104.8","103.3","103.7","102.4","103.2","102.7","103.1","101.2","98.7","97.4","97.5","98.3","102.4","98.3","103.2","105.7","98.2","100.7","104.5","101.5","102.9","104.9","99.3","100.9","99.7","102.1","101.1","102.6","97.1","101.8","102.7","100.4","98.4","105.3","98.1","99.8","100.8","101.7","99.7","101.5"
"8.3.1. 산업별 생산/출하/재고 지수","  광업 및 제조업","생산자제품 재고지수(계절조정)","2020=100","원자료","38.499","38.918","39.735","38.835","39.197","39.486","39.644","39.562","40.047","41.045","41.794","42.215","43.342","43.93","44.157","44.08","44.08","43.928","43.521","42.967","42.967","42.748","42.378","42.363","41.793","41.134","40.297","40.731","40.171","41.356","41.503","42.255","41.546","41.718","41.651","42.124","42.558","43.62","44.364","45.077","44.938","45.252","45.156","45.552","44.993","44.372","44.341","44.643","44.385","45.943","46.369","45.808","46.529","46.482","46.604","47.057","47.128","46.935","47.996","48.864","49.589","49.407","49.785","50.996","50.863","49.679","50.108","48.969","50.111","49.837","50.125","50.924","51.438","53.152","54.389","54.574","54.803","55.509","55.974","54.76","55.757","55.3","55.413","55.75","57.522","57.224","57.085","56.723","56.861","57.796","57.487","57.747","57.372","58.083","57.732","58.94","60.14","61.486","61.895","63.12","64.063","67.218","65.696","65.933","67.031","67.887","66.852","62.938","59.727","58.76","58.051","56.811","55.619","55.762","55.321","55.945","57.496","56.529","57.092","58.093","61.622","63.696","63.511","64.659","64.512","64.7","65.24","65.783","66.832","67.018","66.797","68.462","66.405","66.597","68.507","69.494","70.534","72.377","72.3","72.718","74.375","75.874","76.916","78.697","75.355","76.342","76.899","76.676","76.757","75.691","74.555","77.349","75.911","76.21","79.308","82.574","82.131","80.463","80.569","79.158","78.911","78.725","79.936","79.928","82.569","82.843","84.397","86.247","83.829","83.741","84.874","85.604","84.12","84.785","85.361","84.029","85.412","85.197","84.577","84.146","83.439","84.668","85.487","86.973","86.606","89.586","89.582","90.535","90.833","89.791","89.208","88.893","91.449","92.479","92.989","91.431","91.122","90.586","89.876","88.691","89.241","87.962","88.22","86.259","85.863","87.105","87.554","88.898","91.04","89.567","89.424","89.677","89.581","91.819","91.731","94.3","93.667","93.543","95.476","95.811","94.453","96.875","95.161","95.192","95.253","96.134","98.617","100.843","97.365","97.422","96.767","99.018","99.343","99.542","101.453","99.116","101.186","100.123","100.171","98.386","100.9","101.4","99.9","101.4","102","102.2","101.3","101.9","99.3","97.1","95.7","96.8","96.9","97.3","96.6","95.9","95.8","95.3","97.3","101.5","103.3","104.9","105.3","109.1","105.4","106.5","105.3","105.5","105","112.6","113","110.9","110.9","110.5","114.3","114.7","116.6","116.9","116.1","122.4","122.3","116.8","116.9","120","118.6","117","116","112.4","111.5","111.7","110","110.7","111.2","109.5","109.8","111.3","109.6","111.6","111.8","109","108.5","106.6","104.1","104","104","104.2"
"8.3.1. 산업별 생산/출하/재고 지수","  광업","생산자제품 출하지수(계절조정)","2020=100","원자료","170.941","170.941","177.427","182.604","184.232","197.357","212.75","192.82","180.669","191.358","185.693","182.938","159.764","171.595","187.795","193.14","180.99","186.822","188.924","188.282","194.921","187.142","193.461","197.511","179.696","203.356","182.451","183.425","184.719","200.92","194.281","185.848","183.259","199.459","195.729","184.874","184.874","203.356","189.09","185.527","188.769","186.822","188.769","196.549","193.461","197.024","191.526","196.704","204.483","195.089","181.631","175.646","178.722","180.015","184.719","173.697","171.595","176.773","173.21","174.351","175.312","173.21","160.406","176.939","164.622","155.228","152.472","159.111","162.354","144.371","168.993","151.01","165.597","157.983","157.983","153.113","156.688","162.674","122.326","152.151","155.06","159.598","156.522","154.254","166.084","161.867","151.331","155.06","156.843","147.615","145.013","146.307","127.683","141.616","144.205","137.079","141.129","143.231","133.516","122.492","122.005","116.008","130.913","134.977","145.179","130.106","138.86","148.255","139.988","138.54","145.345","154.573","140.321","131.888","132.708","145.833","134.49","148.742","129.299","139.514","128.298","130.606","135.476","135.604","128.042","133.426","132.144","120.48","115.61","129.324","125.094","124.07","130.478","138.681","128.17","129.452","134.708","142.398","132.144","136.502","144.32","131.118","132.785","136.374","134.452","135.476","128.556","133.17","135.604","138.681","137.271","119.968","125.864","132.4","125.736","125.35","126.76","125.608","132.144","128.042","131.118","125.736","132.785","140.347","140.219","141.116","140.86","136.886","134.708","123.684","129.068","131.246","122.66","125.736","137.656","122.532","132.016","128.428","131.118","118.558","125.415","126.999","127.923","128.847","134.656","137.032","133.204","139.673","138.617","129.904","119.738","140.465","128.319","133.204","132.28","134.788","134.656","134.392","138.881","140.069","131.62","128.319","134.788","136.768","139.145","133.996","134.656","131.488","130.168","125.547","107.857","112.742","121.058","118.022","113.93","110.761","99.804","102.18","103.632","104.292","108.385","108.913","110.497","101.124","105.349","107.989","106.141","91.619","111.817","100.992","99.936","95.711","97.824","95.975","97.164","99.276","90.167","97.164","99.012","103.764","101.3","101.7","99","103.5","91.3","98.9","90.9","95.4","99.5","107.7","105.4","107.7","94.3","111","109.4","110.6","108.6","107.3","114.6","108.4","104","106.4","107.1","102.2","101.1","95.7","98.2","97.2","97.3","96.9","105","101.1","101.5","91.5","94.2","85","97.5","110.5","98.8","90.1","95.6","95.2","85.9","93.5","98.8","97","94.3","90.8","101.2","96.3","92.9","93.1","90.9","87.7","80.6","84.9","80.7","84.2","82.9","85.4","84.3","79","82.2","79.5","76.1","74.8"
"8.3.1. 산업별 생산/출하/재고 지수","  광업","생산자제품 재고지수(계절조정)","2020=100","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.3.1. 산업별 생산/출하/재고 지수","    석탄, 원유 및 천연가스 광업","생산자제품 출하지수(계절조정)","2020=100","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.3.1. 산업별 생산/출하/재고 지수","    석탄, 원유 및 천연가스 광업","생산자제품 재고지수(계절조정)","2020=100","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.3.1. 산업별 생산/출하/재고 지수","    금속 광업","생산자제품 출하지수(계절조정)","2020=100","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.3.1. 산업별 생산/출하/재고 지수","    금속 광업","생산자제품 재고지수(계절조정)","2020=100","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
