,ipi,전산업,제조업,대기업,중소기업,중화학공업,경공업,수출기업,내수기업,비제조업,서비스업,ipi_2
2003/02,61.7,103.5,104.1,103.9,106.0,105.1,100.8,102.1,105.9,103.8,99.2,
2003/03,62.3,104.5,106.6,103.4,109.0,107.4,104.0,104.8,107.8,103.6,99.6,0.5999999999999943
2003/04,62.4,92.1,95.7,97.3,96.7,98.0,88.0,97.7,95.6,90.1,87.3,0.10000000000000142
2003/05,62.4,99.1,100.3,103.4,100.6,102.2,93.6,102.4,99.4,98.9,94.5,0.0
2003/06,63.3,96.6,97.4,96.3,99.2,98.2,94.3,96.2,98.1,96.8,92.5,0.8999999999999986
2003/07,62.8,91.2,89.3,91.6,90.8,90.3,87.3,88.3,90.5,93.3,88.1,-0.5
2003/08,63.6,90.3,88.4,94.6,88.6,90.3,81.9,90.2,88.2,92.5,89.9,0.8000000000000043
2003/09,63.6,98.3,95.6,103.6,94.1,96.8,93.7,101.8,93.5,101.1,98.8,0.0
2003/10,64.2,98.7,100.0,102.0,100.5,101.3,96.7,102.3,99.0,98.4,93.3,0.6000000000000014
2003/11,64.2,98.0,100.6,102.0,101.2,103.7,89.3,102.6,99.9,96.7,90.7,0.0
2003/12,64.2,102.4,102.1,104.8,102.2,104.1,96.5,102.8,102.8,103.4,99.1,0.0
2004/01,64.9,101.0,103.6,105.0,104.1,105.1,96.8,104.2,103.5,99.8,96.2,0.7000000000000028
2004/02,65.6,102.8,105.4,109.5,104.7,107.2,97.8,107.9,103.9,101.5,97.8,0.6999999999999886
2004/03,65.2,106.5,109.2,111.1,108.7,111.7,100.4,105.2,111.6,105.3,103.3,-0.3999999999999915
2004/04,65.8,104.4,108.1,110.7,108.3,110.1,102.3,109.2,108.3,102.3,101.5,0.5999999999999943
2004/05,65.7,108.8,112.8,115.2,112.1,112.9,108.2,113.0,112.6,106.7,105.3,-0.09999999999999432
2004/06,64.9,98.9,101.8,105.5,101.8,103.9,93.9,103.2,102.1,97.5,95.2,-0.7999999999999972
2004/07,64.8,95.0,97.8,103.4,96.9,99.5,90.5,101.2,96.2,93.7,90.2,-0.10000000000000853
2004/08,65.0,94.1,96.4,99.2,96.6,97.9,90.1,98.8,95.9,93.2,93.5,0.20000000000000284
2004/09,65.6,96.9,102.1,105.5,101.6,103.2,97.7,103.8,101.3,93.9,94.1,0.5999999999999943
2004/10,65.4,98.9,103.1,104.9,103.7,103.5,100.0,104.8,102.1,96.6,97.4,-0.19999999999998863
2004/11,65.3,97.5,101.8,103.7,101.6,103.8,92.7,104.8,100.0,95.2,97.4,-0.10000000000000853
2004/12,64.8,95.3,97.4,98.7,98.5,98.6,93.6,96.3,98.6,94.5,94.5,-0.5
2005/01,66.9,90.5,94.6,95.7,95.5,95.1,90.5,93.3,95.4,88.4,89.5,2.1000000000000085
2005/02,66.4,92.5,94.3,100.1,93.5,95.1,92.4,91.8,96.9,92.0,91.4,-0.5
2005/03,67.6,106.9,107.1,108.3,106.9,107.8,103.1,105.0,107.6,107.6,107.4,1.1999999999999886
2005/04,67.2,111.2,110.8,110.4,111.2,109.9,110.9,109.5,110.8,112.3,111.0,-0.3999999999999915
2005/05,67.3,111.6,109.8,109.9,110.8,109.9,109.4,107.5,111.4,113.8,108.3,0.09999999999999432
2005/06,67.7,104.3,103.9,106.3,103.6,103.5,102.7,100.8,105.8,105.3,101.4,0.4000000000000057
2005/07,68.0,102.9,102.5,105.8,102.3,103.3,99.7,101.2,104.0,104.0,101.4,0.29999999999999716
2005/08,68.4,99.5,96.8,100.9,97.0,97.5,95.3,93.3,100.0,102.3,100.1,0.4000000000000057
2005/09,68.6,104.5,103.6,103.8,104.8,102.8,106.2,100.1,105.9,106.1,106.6,0.19999999999998863
2005/10,69.2,108.0,107.2,106.9,108.8,106.7,108.3,103.8,109.9,109.4,107.9,0.6000000000000085
2005/11,70.8,105.0,106.8,105.0,109.6,107.1,104.8,106.4,107.5,104.3,104.4,1.5999999999999943
2005/12,69.6,106.8,106.2,106.2,107.1,106.6,103.7,106.1,106.3,108.1,107.7,-1.2000000000000028
2006/01,70.8,110.2,106.7,105.0,109.1,106.1,110.2,108.0,105.9,113.9,113.4,1.2000000000000028
2006/02,70.5,111.5,108.4,106.9,110.3,108.6,109.1,109.6,108.0,114.7,112.7,-0.29999999999999716
2006/03,71.0,115.8,111.5,107.6,114.1,110.5,112.2,111.6,111.3,120.0,117.7,0.5
2006/04,71.7,117.6,113.3,110.2,114.9,112.9,112.7,109.7,115.2,121.9,119.7,0.7000000000000028
2006/05,72.0,117.5,114.3,111.0,116.7,113.8,113.7,111.3,115.9,120.9,120.2,0.29999999999999716
2006/06,70.5,111.6,109.0,107.7,109.9,109.3,106.6,104.9,110.8,114.5,116.4,-1.5
2006/07,69.2,107.0,105.9,104.6,106.2,105.1,105.0,105.9,105.9,108.8,112.6,-1.2999999999999972
2006/08,72.7,103.9,100.7,101.4,101.2,101.0,98.7,103.4,99.6,107.3,109.4,3.5
2006/09,73.0,107.7,105.7,106.9,106.1,106.5,104.4,108.8,104.5,109.9,113.4,0.29999999999999716
2006/10,74.9,107.7,106.9,107.4,107.7,105.8,112.0,110.5,104.9,109.1,114.4,1.9000000000000057
2006/11,74.6,110.6,110.1,109.5,110.6,109.3,111.9,110.9,109.8,111.8,113.6,-0.30000000000001137
2006/12,73.2,110.9,107.0,105.6,108.4,106.4,107.5,106.0,107.5,114.8,119.2,-1.3999999999999915
2007/01,73.6,105.8,104.1,102.1,105.6,103.1,105.5,103.6,104.7,107.9,110.3,0.3999999999999915
2007/02,75.6,105.0,100.3,99.2,102.0,99.2,103.9,99.1,101.2,109.5,114.5,2.0
2007/03,74.2,112.5,108.7,107.5,110.7,108.4,109.2,105.5,111.5,116.3,120.3,-1.3999999999999915
2007/04,75.0,114.8,110.6,108.2,111.6,108.7,113.9,107.1,111.9,119.0,121.2,0.7999999999999972
2007/05,75.5,115.9,112.3,110.5,113.3,112.0,112.4,108.9,114.0,119.6,120.4,0.5
2007/06,75.4,114.3,110.8,110.3,111.0,109.8,113.1,113.1,109.4,117.8,118.2,-0.09999999999999432
2007/07,76.5,112.4,107.9,106.5,109.2,106.8,110.0,109.0,106.8,116.8,119.3,1.0999999999999943
2007/08,78.1,111.9,108.7,110.5,108.8,107.9,111.5,111.0,107.2,115.2,116.2,1.5999999999999943
2007/09,76.6,113.8,113.0,114.5,112.7,112.2,116.6,114.8,111.7,115.2,117.2,-1.5
2007/10,79.0,114.5,112.1,111.6,112.2,110.6,114.5,111.0,111.7,117.3,118.0,2.4000000000000057
2007/11,78.9,111.8,110.1,111.3,109.4,109.5,111.9,111.7,108.3,114.0,115.8,-0.09999999999999432
2007/12,79.0,113.5,109.3,113.1,107.3,109.1,110.1,111.8,107.5,117.6,120.6,0.09999999999999432
2008/01,79.8,110.5,107.3,106.2,107.8,106.7,108.0,108.8,105.2,113.9,115.1,0.7999999999999972
2008/02,79.7,108.6,106.4,106.3,107.1,106.4,103.1,106.4,106.2,111.2,112.8,-0.09999999999999432
2008/03,79.3,113.2,110.4,111.6,109.5,109.7,111.4,107.0,111.6,116.2,117.8,-0.4000000000000057
