,0
2000/Q1,52.9
2000/Q2,54.5
2000/Q3,55.3
2000/Q4,54.3
2001/Q1,54.9
2001/Q2,56.4
2001/Q3,57.0
2001/Q4,57.8
2002/Q1,60.0
2002/Q2,61.2
2002/Q3,62.0
2002/Q4,62.2
2003/Q1,62.1
2003/Q2,62.7
2003/Q3,63.3
2003/Q4,64.2
2004/Q1,65.2
2004/Q2,65.5
2004/Q3,65.1
2004/Q4,65.2
2005/Q1,67.0
2005/Q2,67.4
2005/Q3,68.3
2005/Q4,69.9
2006/Q1,70.8
2006/Q2,71.4
2006/Q3,71.6
2006/Q4,74.2
2007/Q1,74.5
2007/Q2,75.3
2007/Q3,77.1
2007/Q4,79.0
2008/Q1,79.6
2008/Q2,79.2
2008/Q3,79.1
2008/Q4,75.1
2009/Q1,75.3
2009/Q2,78.8
2009/Q3,80.9
2009/Q4,81.6
2010/Q1,83.6
2010/Q2,85.0
2010/Q3,84.4
2010/Q4,85.3
2011/Q1,86.9
2011/Q2,87.3
2011/Q3,87.6
2011/Q4,87.7
2012/Q1,88.5
2012/Q2,88.6
2012/Q3,88.3
2012/Q4,89.0
2013/Q1,89.7
2013/Q2,90.0
2013/Q3,89.8
2013/Q4,90.7
2014/Q1,91.7
2014/Q2,91.5
2014/Q3,91.4
2014/Q4,91.4
2015/Q1,92.1
2015/Q2,92.2
2015/Q3,93.7
2015/Q4,94.3
2016/Q1,94.4
2016/Q2,95.7
2016/Q3,96.2
2016/Q4,96.8
2017/Q1,98.2
2017/Q2,98.2
2017/Q3,99.2
2017/Q4,98.8
2018/Q1,99.6
2018/Q2,100.5
2018/Q3,100.8
2018/Q4,100.0
2019/Q1,99.3
2019/Q2,100.6
2019/Q3,101.8
2019/Q4,102.3
2020/Q1,100.8
2020/Q2,97.2
2020/Q3,100.3
2020/Q4,101.7
2021/Q1,103.3
2021/Q2,104.4
2021/Q3,105.5
2021/Q4,108.1
2022/Q1,109.4
2022/Q2,110.9
2022/Q3,111.3
2022/Q4,110.2
2023/Q1,110.3
2023/Q2,111.3
2023/Q3,112.6
2023/Q4,113.1
2024/Q1,113.5
2024/Q2,113.5
2024/Q3,113.0
2024/Q4,113.5
2025/Q1,113.5
2025/Q2,113.4
