일자,종가
2025-06-30,23.99
2025-06-27,24.27
2025-06-26,25.12
2025-06-25,25.69
2025-06-24,25.76
2025-06-23,24.76
2025-06-20,23.97
2025-06-19,24.69
2025-06-18,25.78
2025-06-17,25.82
2025-06-16,24.77
2025-06-13,24.91
2025-06-12,22.17
2025-06-11,22.77
2025-06-10,24.34
2025-06-09,24.84
2025-06-05,22.49
2025-06-04,22.03
2025-06-02,22.71
2025-05-30,22.55
2025-05-29,21.97
2025-05-28,20.67
2025-05-27,20.01
2025-05-26,19.63
2025-05-23,19.59
2025-05-22,19.95
2025-05-21,19.48
2025-05-20,19.18
2025-05-19,19.69
2025-05-16,18.13
2025-05-15,18.29
2025-05-14,17.86
2025-05-13,17.86
2025-05-12,19.2
2025-05-09,19.48
2025-05-08,19.76
2025-05-07,21.01
2025-05-02,20.93
2025-04-30,20.74
2025-04-29,20.7
2025-04-28,21.23
2025-04-25,21.43
2025-04-24,22.79
2025-04-23,22.74
2025-04-22,24.85
2025-04-21,25.08
2025-04-18,23.66
2025-04-17,24.59
2025-04-16,26.62
2025-04-15,24.48
2025-04-14,28.32
2025-04-11,31.47
2025-04-10,28.2
2025-04-09,40.97
2025-04-08,37.83
2025-04-07,44.23
2025-04-04,26.8
2025-04-03,26.09
2025-04-02,24.5
2025-04-01,24.21
2025-03-31,25.35
2025-03-28,21.18
2025-03-27,20.44
2025-03-26,19.67
2025-03-25,19.64
2025-03-24,19.68
2025-03-21,19.66
2025-03-20,19.6
2025-03-19,20.33
2025-03-18,20.41
2025-03-17,20.85
2025-03-14,22
2025-03-13,23.11
2025-03-12,23.08
2025-03-11,24.08
2025-03-10,22.13
2025-03-07,21.97
2025-03-06,21.27
2025-03-05,22.17
2025-03-04,23.47
2025-02-28,22.86
2025-02-27,19.32
2025-02-26,19.93
2025-02-25,19.6
2025-02-24,19.48
2025-02-21,18.64
2025-02-20,18.64
2025-02-19,18.49
2025-02-18,17.88
2025-02-17,18.06
2025-02-14,17.7
2025-02-13,18.03
2025-02-12,18.8
2025-02-11,19.28
