통계표,계정코드,단위,변환,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07
"3.3.1.1.1. 수출금액지수","  농림수산품","2020=100","원자료","67.52","58.37","72.15","76.07","65.96","60.56","61.13","47.14","58.40","93.47","75.35","107.93","59.24","64.95","84.26","88.86","65.08","75.52","73.39","64.10","74.36","117.07","113.51","111.08","80.45","53.89","76.40","80.01","65.07","70.88","70.25","71.62","74.33","87.61","105.01","120.77","53.17","48.50","67.01","69.42","61.15","74.58","69.25","70.36","75.12","76.25","92.19","91.56","80.95","58.46","67.48","63.78","59.39","76.17","84.66","99.00","77.47","100.05","82.94","128.94","101.06","72.31","79.84","92.12","84.78","71.78","89.90","71.66","85.33","109.24","110.59","117.52","86.09","74.79","84.16","81.51","76.03","76.63","73.15","68.43","82.51","102.03","174.32","157.30","97.64","76.29","94.31","110.51","97.17","103.35","119.68","88.14","105.01","135.93","121.27","180.37","90.37","92.12","133.66","147.81","128.03","146.40","137.74","117.21","131.62","139.89","141.40","197.46","97.54","124.73","141.13","126.10","158.14","161.41","131.88","121.94","132.23","155.08","155.92","150.39","144.83","104.45","129.38","118.16","147.56","126.87","143.79","107.69","121.01","167.96","125.85","144.19","120.27","104.34","117.71","115.10","109.79","129.16","116.14","117.96","108.35","129.00","98.67","128.92","90.57","69.16","94.27","115.56","90.18","103.29","98.46","80.46","113.41","103.69","104.67","126.16","73.75","71.04","111.56","96.00","118.23","109.79","104.67","115.74","124.05","121.42","126.33","128.64","83.06","81.51","95.31","90.58","104.15","92.66","88.01","102.37","103.31","99.21","133.15","120.92","121.11","85.82","102.76","96.07","94.31","84.16","105.67","94.82","80.70","113.17","128.00","117.56","110.91","87.59","109.20","145.15","87.23","97.09","101.57","107.09","91.40","120.48","110.87","138.82","105.23","87.56","93.49","109.63","66.48","91.26","92.96","89.08","89.93","108.39","127.20","138.81","94.29","75.93","114.49","120.22","85.20","84.19","101.00","89.67","92.21","116.01","121.08","136.03","112.01","99.30","99.73","136.17","104.49","118.43","98.35","102.59","94.76","97.76","124.24","131.64","103.60","111.33","128.59","125.41","98.89","100.17","87.88","106.26","92.22","132.34","145.88","144.98","100.96","101.99","97.51","140.84","96.09","72.93","93.55","104.66","123.29","138.77","146.51","157.07","100.96","122.91","117.41","121.41","100.64","87.67","99.02"
"3.3.1.1.1. 수출금액지수","    음식료품","2020=100","원자료","23.39","22.15","23.68","24.72","23.44","24.53","26.08","23.06","28.38","37.83","28.21","30.98","23.71","27.36","30.45","30.45","26.14","27.35","26.36","26.38","28.97","32.96","32.42","34.91","27.35","24.07","29.71","30.41","29.26","30.83","29.20","31.00","32.28","33.88","33.16","32.89","28.23","25.99","30.23","28.03","32.83","32.82","27.75","33.84","36.41","29.81","35.16","37.76","27.13","24.45","35.87","33.50","33.49","38.24","34.13","34.00","33.80","40.37","39.56","40.23","34.37","30.67","41.98","44.20","41.07","43.12","38.33","35.68","44.54","45.37","42.12","47.80","30.96","39.44","37.25","42.94","38.02","43.15","43.18","38.24","50.01","47.08","50.21","52.82","40.11","40.90","46.53","50.88","44.72","53.69","50.91","53.08","56.44","62.80","62.88","67.27","54.53","51.19","60.13","68.66","69.22","64.88","65.61","63.85","69.29","64.85","68.44","73.27","50.98","63.66","70.19","67.19","66.08","70.22","72.65","64.54","72.60","70.44","76.70","67.88","65.76","55.75","65.79","68.02","69.53","65.96","65.21","62.91","64.90","78.93","73.62","74.56","65.45","64.54","73.80","75.93","72.30","74.02","73.27","73.40","74.05","83.01","75.44","76.15","71.81","60.05","78.19","82.48","71.48","78.47","78.39","67.15","75.51","80.03","73.77","77.20","70.59","66.74","84.77","75.77","80.24","87.57","78.52","79.27","82.67","85.35","91.30","77.93","70.94","81.76","95.47","88.49","84.07","91.85","89.04","85.07","101.82","74.35","104.03","87.84","81.65","73.19","95.32","91.51","97.10","98.73","85.84","84.64","78.31","91.86","98.21","83.67","87.14","75.21","90.88","98.86","100.16","92.44","94.94","88.21","86.29","94.21","95.45","94.95","77.20","84.24","108.94","97.75","90.75","103.81","110.85","93.48","108.26","104.81","107.76","112.15","96.08","91.78","122.32","118.33","110.29","115.57","108.78","106.48","108.97","116.10","124.74","119.96","111.01","105.81","125.82","121.02","125.00","114.91","115.12","116.17","107.38","108.30","109.88","111.65","99.14","119.30","131.22","122.84","125.41","128.48","119.52","123.02","129.95","128.77","134.47","120.72","121.26","120.27","133.61","144.69","142.58","140.62","151.53","131.66","133.29","143.40","138.12","142.82","121.33","139.50","145.31","160.72","149.27","148.60","151.37"
"3.3.1.1.1. 수출금액지수","    섬유및가죽제품","2020=100","원자료","130.29","117.35","140.46","151.25","159.58","158.26","167.46","146.26","150.00","163.59","143.78","154.23","114.39","127.84","149.52","158.33","154.03","163.46","165.40","137.11","150.10","148.31","141.11","143.51","116.75","102.27","138.89","146.78","142.92","144.02","141.53","125.66","138.09","132.70","126.62","129.83","102.64","106.78","134.68","128.57","134.37","140.41","132.33","123.32","141.33","111.27","127.01","130.24","113.86","98.14","132.38","134.98","140.25","141.00","134.93","127.36","114.00","132.25","135.37","120.81","113.90","103.40","130.13","143.31","140.80","130.14","148.87","121.73","124.44","139.58","110.74","109.83","80.39","87.42","105.68","123.04","103.88","114.19","126.21","98.46","121.25","114.97","113.36","128.58","103.52","98.03","127.06","145.83","130.95","137.72","148.88","116.38","123.30","143.48","137.21","148.59","129.26","113.71","156.62","165.28","152.90","159.56","157.01","133.63","147.20","146.46","149.79","149.90","117.33","139.03","151.24","154.13","155.76","152.32","161.95","141.15","142.77","142.82","160.40","118.58","141.99","127.21","148.15","171.60","175.14","156.13","164.67","141.84","130.89","166.70","160.96","150.43","139.69","133.92","150.47","170.90","161.34","152.39","167.33","132.59","136.52","167.23","141.07","150.01","129.94","105.05","142.43","160.00","136.55","146.80","158.49","111.67","123.71","139.70","129.52","140.10","110.66","104.49","133.52","137.32","130.83","134.90","140.10","112.18","120.12","125.74","135.38","135.90","106.04","111.82","133.11","129.62","125.30","137.33","125.74","114.44","137.78","98.26","133.91","130.84","124.84","101.56","130.23","131.57","134.37","136.27","131.37","115.18","107.06","126.34","133.85","120.16","121.51","99.84","116.30","127.36","131.08","115.54","124.07","102.70","102.36","122.26","118.45","115.97","106.79","119.03","102.87","78.43","72.68","89.56","104.47","83.44","114.22","99.88","109.35","119.30","98.31","88.19","113.64","117.89","113.52","119.83","121.97","98.55","109.08","121.90","126.49","135.82","118.48","102.03","124.90","118.48","119.80","109.92","110.01","98.10","104.25","98.68","101.78","111.46","82.83","97.92","108.08","98.65","101.15","106.55","90.98","86.18","93.97","89.66","100.60","99.28","91.99","87.31","91.75","100.06","102.96","94.31","94.35","83.87","86.21","92.62","99.40","96.72","78.79","87.28","89.57","99.50","91.99","92.38","91.26"
"3.3.1.1.1. 수출금액지수","    목재및종이제품","2020=100","원자료","60.62","64.79","78.14","76.33","73.62","72.22","72.64","64.85","76.01","79.21","74.61","77.42","70.99","78.60","83.34","86.80","90.10","90.98","92.70","83.07","84.74","87.46","85.92","88.22","82.46","75.04","89.06","86.82","88.08","87.80","88.75","83.04","83.01","81.00","79.77","82.56","75.62","81.27","88.63","83.33","88.62","93.69","85.53","87.06","86.37","77.33","83.17","80.34","84.74","81.40","97.87","94.12","96.61","95.63","91.92","91.75","80.42","90.03","91.14","89.15","92.40","94.95","105.28","115.12","116.80","94.71","113.82","107.37","97.59","93.81","76.29","79.48","65.44","71.88","78.07","84.22","78.58","89.78","95.11","89.51","96.32","90.19","91.86","99.08","98.70","87.65","107.64","103.45","98.92","104.08","95.47","95.33","101.17","109.04","109.29","125.17","108.61","106.33","122.89","124.91","128.75","128.10","127.75","118.51","112.30","113.63","114.93","122.50","107.23","125.85","127.33","123.94","136.78","129.43","134.63","123.56","115.41","113.97","114.87","110.42","108.31","109.15","120.74","126.49","136.07","111.26","125.74","121.94","118.82","125.03","116.01","118.39","108.80","115.21","121.62","122.70","122.16","120.59","122.33","109.44","109.77","116.41","102.89","112.68","106.64","94.26","109.90","112.96","105.76","110.77","111.85","96.39","100.09","105.12","98.99","107.37","98.46","100.20","118.52","111.57","114.19","110.48","105.19","110.89","102.24","101.30","106.51","103.68","98.50","104.35","116.93","111.46","114.38","111.79","108.37","113.90","118.14","97.51","118.10","112.19","113.46","103.08","127.30","123.90","129.48","133.21","135.90","133.12","116.45","145.12","129.21","120.57","121.89","107.15","123.49","116.18","120.05","111.52","123.89","112.65","107.23","119.44","107.56","114.90","105.13","111.24","124.44","110.57","87.68","96.37","94.23","85.63","97.07","95.17","94.75","97.73","87.69","89.21","113.76","114.01","107.13","114.19","109.87","102.48","100.86","110.12","112.76","113.43","106.64","113.87","122.81","121.67","122.79","115.34","124.48","121.89","110.79","104.89","109.34","108.12","104.75","117.59","115.26","109.61","110.85","108.23","100.20","107.79","102.83","104.74","117.66","102.34","109.34","108.34","111.31","121.30","117.05","105.54","114.20","102.89","96.18","106.97","100.23","104.75","97.20","110.18","99.41","110.25","98.15","97.90","108.89"
"3.3.1.1.1. 수출금액지수","    석탄및석유제품","2020=100","원자료","28.26","33.05","36.27","30.72","19.71","24.54","30.42","23.41","20.06","27.23","26.64","26.60","31.17","35.57","37.15","37.42","54.00","15.61","41.45","40.14","48.04","54.09","51.30","56.88","45.17","39.23","51.48","43.96","56.38","56.56","67.97","77.56","83.53","75.57","81.85","77.04","61.95","57.88","63.96","78.36","83.21","79.70","110.42","124.70","103.29","81.31","81.50","77.31","58.84","77.98","85.19","92.73","84.05","88.99","99.40","109.44","102.45","113.71","135.32","131.42","107.95","114.46","140.80","148.52","187.84","198.25","237.79","195.80","190.73","146.47","99.31","78.39","67.64","70.87","76.84","77.60","74.29","102.38","105.48","109.20","104.86","113.42","115.87","113.22","98.85","98.94","112.49","134.51","123.65","133.51","125.65","135.23","135.41","152.26","150.09","153.03","153.64","158.31","215.47","242.43","223.40","211.40","239.41","246.49","208.82","200.38","218.50","222.98","216.96","228.02","235.04","211.67","218.17","226.68","215.03","241.59","255.55","255.00","240.73","219.88","242.27","225.56","240.53","184.03","207.99","213.33","201.15","227.65","220.30","214.75","257.59","172.09","234.05","190.93","228.68","217.21","229.24","183.65","220.04","237.63","205.92","211.07","187.97","153.59","135.22","111.67","151.44","127.33","138.31","154.23","149.50","135.22","133.47","114.34","115.70","108.49","81.38","82.45","93.17","117.97","106.56","113.46","131.18","102.25","117.32","112.86","117.09","126.04","136.41","142.88","147.47","122.17","136.44","118.42","133.44","141.80","179.54","127.63","168.15","165.92","178.47","163.22","148.99","193.66","192.39","199.74","192.58","208.10","207.71","222.19","191.18","170.62","176.00","146.26","148.25","190.08","172.62","148.42","174.69","175.22","172.62","162.58","169.16","162.12","165.50","134.29","113.89","73.82","58.08","81.82","101.46","99.31","95.91","82.09","87.22","106.63","93.06","119.11","136.57","147.99","155.11","151.21","179.22","153.58","177.52","201.86","190.55","192.60","181.59","206.19","271.42","255.48","321.80","275.32","316.06","326.69","260.53","221.35","238.34","230.69","208.74","227.23","222.12","182.05","210.12","166.67","192.97","220.51","242.46","255.85","221.66","221.60","237.46","219.15","229.96","213.98","223.76","182.30","222.05","215.58","197.36","167.71","180.58","196.51","167.56","192.27","164.87","183.81","176.70","179.55","208.46"
"3.3.1.1.1. 수출금액지수","    화학제품","2020=100","원자료","22.09","22.84","24.10","23.79","23.12","23.87","25.53","23.68","24.37","27.25","25.86","28.78","26.58","28.56","30.69","30.90","30.47","31.99","34.51","34.85","34.55","38.09","36.95","38.29","37.82","36.35","42.74","38.37","37.34","40.93","38.50","39.15","40.15","37.64","39.03","40.66","38.07","38.17","44.37","41.24","44.07","45.50","45.61","49.11","47.52","42.87","46.58","47.42","46.95","45.70","50.96","50.82","53.24","50.26","54.91","55.65","49.84","54.21","54.92","54.60","54.73","55.58","63.04","63.94","65.21","64.96","74.56","65.48","66.10","55.76","40.59","39.84","35.99","41.18","48.13","51.99","48.68","53.89","57.51","54.80","59.14","56.43","56.74","63.70","61.03","59.46","70.32","72.13","67.08","67.60","68.24","68.08","66.90","73.11","74.04","78.16","80.68","76.20","90.27","87.05","89.49","90.31","92.04","92.64","89.55","83.48","83.46","85.28","79.81","89.28","89.70","87.56","90.05","85.57","89.58","86.18","90.29","87.74","89.01","87.20","92.23","89.21","94.85","95.47","94.18","88.01","93.67","91.68","88.05","94.96","89.76","93.89","90.40","88.10","93.94","101.73","91.96","93.68","100.21","94.57","94.83","100.27","86.94","92.07","82.89","74.02","87.80","88.36","78.20","87.08","88.74","77.69","79.95","80.34","75.23","83.26","71.95","71.62","85.12","82.19","83.63","86.32","84.81","86.29","84.81","82.77","88.61","91.05","88.05","96.05","103.33","93.84","91.37","96.51","92.44","98.88","115.69","87.53","104.81","107.58","109.04","100.74","111.78","112.48","116.16","110.38","113.83","114.30","105.50","118.64","109.34","103.49","108.01","94.98","104.61","108.97","103.22","92.49","104.90","98.62","96.90","102.96","96.95","104.40","94.90","94.56","107.02","88.16","82.02","92.67","98.49","94.75","113.04","103.51","107.74","123.14","116.33","116.04","141.39","133.60","131.12","134.36","135.30","136.79","138.66","140.69","141.06","147.19","147.06","141.58","162.00","146.37","159.33","140.73","142.96","139.81","132.79","120.84","117.14","123.91","121.66","132.80","139.48","128.36","130.15","127.55","121.53","127.43","127.30","116.60","122.64","120.42","127.58","123.20","127.21","135.46","132.13","125.69","131.18","128.49","121.38","126.67","121.36","123.88","113.21","127.23","125.60","131.72","119.14","124.38","125.73"
"3.3.1.1.1. 수출금액지수","    비금속광물제품","2020=100","원자료","26.06","23.07","27.55","29.00","24.38","26.42","28.73","28.15","32.20","33.67","30.26","32.73","31.14","33.79","37.21","37.00","35.18","34.78","35.02","34.70","32.53","39.13","38.60","40.64","33.86","37.48","39.85","39.41","37.79","38.87","40.65","39.99","44.74","41.93","43.22","40.74","35.87","38.73","42.35","36.36","44.60","42.90","44.42","44.04","47.50","39.01","42.49","44.06","38.54","40.97","47.47","49.07","47.61","50.57","48.66","48.72","38.02","41.57","44.89","38.96","41.98","43.64","43.59","47.36","47.34","43.84","55.23","42.74","44.35","42.27","31.72","27.71","23.31","24.14","26.54","30.73","29.03","34.73","38.36","31.56","40.10","40.29","43.42","47.49","38.93","37.68","42.36","44.07","44.98","48.44","54.00","44.06","38.88","41.18","42.20","48.81","49.35","47.80","53.88","49.70","48.40","54.67","54.22","52.82","54.47","45.53","42.86","47.95","40.54","45.15","52.35","59.25","60.27","57.56","63.75","60.01","65.88","64.46","63.26","62.48","63.36","60.55","63.10","66.04","69.36","61.23","64.12","57.87","62.28","72.52","66.16","66.42","61.65","62.37","68.56","79.63","70.44","74.12","78.05","72.29","83.22","89.04","81.19","77.76","78.05","71.30","84.90","89.08","78.53","85.84","85.57","71.55","76.50","77.42","74.76","76.99","70.83","64.82","79.35","80.73","83.53","83.78","81.36","80.87","83.28","78.40","81.99","80.81","74.04","74.85","86.54","81.88","81.50","85.41","82.51","86.59","95.55","79.66","90.07","82.70","92.98","80.48","95.87","94.23","94.34","93.51","95.93","94.72","83.08","105.18","99.96","91.87","100.60","79.56","87.24","97.46","96.65","94.21","99.92","95.17","92.51","101.66","96.82","97.21","95.91","94.49","111.68","92.14","84.44","90.81","98.99","92.29","110.86","104.95","107.39","116.05","107.21","103.84","118.96","112.37","114.75","119.58","124.58","119.52","117.40","114.73","124.39","121.10","116.48","103.83","128.48","114.12","123.23","106.36","110.31","114.25","107.85","95.70","101.67","108.81","103.41","106.37","107.82","97.56","105.03","102.92","102.25","105.00","97.58","94.87","97.37","96.28","108.77","92.60","101.46","106.13","108.20","103.85","108.70","100.04","94.45","101.99","99.11","101.49","92.52","95.19","97.12","108.35","99.64","98.98","104.80"
"3.3.1.1.1. 수출금액지수","    1차금속제품","2020=100","원자료","28.03","29.26","32.10","30.44","30.42","30.24","29.67","30.26","33.85","42.71","42.12","51.96","47.68","48.01","64.59","60.06","51.89","46.44","48.78","48.27","48.28","48.68","48.82","53.53","52.53","46.84","57.80","51.37","55.73","52.57","50.48","50.85","52.07","53.48","53.59","56.74","52.38","54.83","60.27","59.81","68.84","70.45","65.59","68.47","75.57","70.61","78.69","76.74","76.16","70.52","78.88","80.74","85.03","80.49","78.84","77.17","71.46","82.31","78.69","78.35","82.24","80.70","93.74","105.88","107.20","101.52","122.55","108.09","105.49","102.96","75.30","74.79","60.03","66.64","73.37","72.20","70.15","69.44","76.41","73.29","80.05","78.78","81.01","93.07","81.93","81.43","96.25","101.93","105.84","102.49","99.78","94.47","98.51","112.07","112.72","123.66","118.60","107.33","129.80","123.11","129.26","127.73","134.99","135.17","140.64","132.16","135.00","131.42","115.83","130.42","123.83","124.82","127.83","125.22","122.59","117.35","120.30","117.27","116.02","115.87","111.97","106.63","106.93","107.70","111.90","101.01","105.83","98.72","96.60","109.70","106.29","107.86","104.74","103.75","109.71","117.76","108.45","111.02","116.18","112.67","117.01","118.89","111.00","119.67","102.03","94.41","105.79","99.86","92.37","96.15","97.63","88.85","89.06","89.37","83.29","90.52","78.48","80.91","87.31","85.61","87.67","87.66","91.26","94.95","90.83","87.89","93.17","95.74","90.93","94.61","103.96","104.37","104.96","106.52","102.63","108.03","112.45","93.89","107.74","106.53","111.29","106.18","111.49","116.23","119.05","109.83","121.26","116.86","104.14","110.95","107.91","103.78","113.21","106.56","108.95","108.12","111.27","103.91","109.32","101.31","97.67","100.78","97.40","107.38","98.90","104.08","107.67","93.73","81.31","87.83","98.14","93.19","110.73","103.56","107.84","113.02","109.80","109.88","125.73","129.91","134.97","140.92","144.75","145.88","141.62","144.80","150.76","157.74","154.87","138.85","159.27","156.48","161.92","147.40","143.26","143.51","124.99","121.42","118.20","124.54","116.32","128.22","136.98","133.28","141.80","132.91","121.92","125.57","119.95","119.89","113.42","114.98","116.70","111.04","115.58","115.51","129.10","116.63","130.39","127.41","120.93","121.30","117.74","127.57","111.19","115.24","115.67","133.77","123.50","125.23","140.35"
"3.3.1.1.1. 수출금액지수","    금속가공제품","2020=100","원자료","31.05","32.43","33.12","33.66","33.65","30.70","33.54","32.60","36.68","38.80","36.13","38.74","29.65","37.06","40.84","40.58","40.31","41.79","47.81","37.13","45.26","44.42","42.49","50.02","42.48","36.25","51.20","45.46","45.85","47.01","52.87","49.17","55.77","52.02","55.77","50.73","43.72","43.95","50.81","52.00","53.03","53.66","54.69","53.63","62.43","74.34","69.10","65.59","58.06","55.90","60.26","62.77","61.64","65.16","71.49","62.23","60.04","74.75","73.66","72.78","72.16","69.65","67.67","81.82","73.26","75.45","109.15","73.21","95.59","87.56","72.54","85.58","57.75","61.11","69.52","76.85","73.79","69.90","82.32","65.25","84.32","92.73","68.81","103.48","65.08","76.25","80.80","82.08","78.55","90.75","86.30","78.98","86.85","84.31","83.95","99.28","92.13","85.38","97.08","94.60","94.34","100.71","121.28","88.94","111.79","113.82","115.99","124.46","89.95","104.76","117.04","109.78","119.92","107.34","134.18","112.19","121.36","132.09","129.97","112.68","106.01","104.90","97.05","109.06","108.22","93.17","110.15","102.62","104.51","113.42","106.96","104.66","103.08","105.07","134.15","120.34","102.38","108.75","135.59","101.56","117.22","124.28","129.21","135.74","111.54","92.93","123.76","137.46","102.48","114.08","118.76","102.23","110.03","112.63","103.79","115.72","95.85","104.62","113.56","133.87","103.50","105.83","115.07","102.53","109.96","111.07","125.82","119.30","104.05","104.31","141.34","110.45","98.70","109.16","113.49","104.82","127.25","92.05","112.91","119.33","111.24","103.43","118.31","115.99","123.84","114.84","132.82","114.73","105.99","125.44","120.39","106.59","114.98","90.78","109.52","111.62","113.24","106.06","119.75","106.43","106.16","121.34","105.63","113.54","99.43","104.51","107.00","90.19","75.57","85.88","104.79","91.63","111.64","102.73","111.31","115.34","106.09","93.84","115.51","115.04","109.26","111.93","117.74","111.80","111.91","121.62","114.47","131.78","128.59","108.75","136.17","113.93","123.85","115.30","116.81","107.22","117.83","112.44","119.88","123.56","102.33","120.51","121.92","108.26","117.30","129.76","120.47","113.18","116.17","106.47","116.78","106.64","117.16","106.26","111.19","115.97","119.42","109.64","128.86","108.43","109.31","115.82","108.84","116.12","97.49","109.60","108.05","128.35","106.90","107.59","125.01"
"3.3.1.1.1. 수출금액지수","    컴퓨터,전자및광학기기","2020=100","원자료","36.07","32.58","37.05","35.89","34.96","37.37","41.09","42.98","47.00","52.17","50.85","51.68","48.90","50.71","55.76","54.44","56.85","56.18","54.21","53.42","54.42","59.99","60.83","52.55","55.27","50.63","59.13","54.42","56.36","57.64","58.05","60.18","63.76","66.52","66.89","59.43","59.82","57.16","63.93","58.09","61.91","61.34","60.18","66.52","72.32","69.90","72.98","63.61","68.90","62.46","69.16","64.50","65.95","69.14","74.40","77.67","75.17","88.36","86.68","72.08","75.33","67.90","80.20","78.30","77.58","77.01","80.77","76.90","81.25","80.01","56.09","42.65","45.76","51.16","58.37","62.31","63.84","66.85","71.92","70.23","77.89","79.80","78.06","74.43","73.11","70.43","83.59","82.48","84.43","85.77","88.67","88.68","88.95","92.61","89.17","85.24","83.21","72.79","86.82","85.48","85.38","84.56","83.38","83.46","89.39","87.17","81.93","79.24","70.58","72.77","78.78","75.10","80.37","80.07","79.12","81.25","87.92","91.67","91.17","82.14","81.44","74.21","85.50","86.98","92.97","81.59","87.36","90.83","94.64","101.90","92.39","86.85","85.08","81.08","93.89","91.51","87.46","87.96","90.97","90.39","97.20","101.25","96.41","95.30","89.24","79.06","90.67","89.60","90.75","87.52","84.67","89.32","100.22","100.69","90.30","81.62","73.44","70.23","86.46","77.05","81.21","83.77","79.92","87.08","89.54","92.40","92.12","91.31","89.46","90.86","104.44","100.67","99.91","103.34","101.68","113.37","125.61","120.19","123.56","118.25","116.71","102.68","124.89","111.59","121.51","126.36","120.63","133.99","136.10","134.26","120.91","103.56","91.85","81.18","102.53","98.37","91.09","95.88","93.10","100.21","103.96","101.50","93.47","93.20","87.24","89.26","104.33","83.96","91.74","97.61","96.17","99.58","115.26","107.36","109.12","118.39","107.47","99.85","112.77","110.20","115.63","126.27","126.63","135.21","143.23","132.30","142.69","147.11","125.83","122.06","151.15","128.02","129.58","134.11","123.73","123.18","134.75","115.35","106.78","107.06","80.52","77.70","98.80","78.33","90.70","100.53","91.36","101.49","115.95","109.96","114.16","117.47","105.06","105.57","122.05","108.21","123.39","137.40","124.32","134.03","147.47","136.43","134.84","148.50","105.84","106.23","135.37","122.02","138.08","146.98","145.74"
