"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"전세계","전산업",284418742396,325464848567,371489085894,422007327645,363533560807,466383761922,555213655930,547869792038,559632433929,572664606957,526756503179,495425838509,573694420293,604859656379,542232609994,512498037545,644400368680,683584759210,632225824016,683609488847,217925255043
"전세계","농림어업",466285792,396424327,425965246,469451021,537878452,641576674,749139568,769335630,877997315,795691418,667540698,668880270,678978875,718553506,763555143,689893464,721468960,686740349,688669017,655830157,201389509
"전세계","광업",128199179,171736540,223180679,364626973,141221662,273178194,452387501,393452764,312992110,360677088,390954847,277527338,389194369,565849157,546195732,621100415,1682614479,2129321146,1944015549,1147710200,291131651
"전세계","제조업",283130182429,323911284317,369643280555,419928907912,361836351552,464184056279,552775359634,545769229194,557723316035,570706972389,525028764855,493894547775,563938436527,596166231036,540362663937,510741772273,641175408301,679950978392,628771090667,680842629832,217102223201
"전세계","전기가스증기수도",-,-,-,-,648,-,-,-,-,-,500,28430,1542,0,-,-,-,-,1800,-,-
"전세계","폐수처리 및 자원재활용",694074996,985403383,1196659414,1244341739,1018108493,1284950775,1236769227,937774450,718128469,801266062,669242279,584854696,8687808980,7409022680,560195182,445271393,820876940,817719323,822046983,963318658,330510682
"가나","전산업",88810800,94225264,145769778,194935521,154079272,212684239,325944462,283878206,350954084,219953286,252855545,215327552,243875903,220020129,191413047,224745692,297972508,209453079,180895606,189083498,98806549
"가나","농림어업",2110,5745,0,112,7800,800,0,0,2170,454,5721,2405,3039,5582,3104,6112,1208,134,3816,1024,0
"가나","광업",-,0,10602,-,1071,-,0,14499,18703,30044,21847,15476,1042,13299,153,9471,8501,42292,145596,167620,88930
"가나","제조업",88808690,94219519,145753176,194935409,154070401,212680029,325944462,283845187,350933211,219922788,252827977,215309568,243871822,220001248,191312757,224730109,297962799,209410653,180746194,188911921,98717619
"가나","폐수처리 및 자원재활용",0,0,6000,0,0,3410,0,18520,0,0,0,103,0,0,97033,0,0,0,0,2933,0
