구분,목록명,목록수정일,키워드,유형
1,한국석유공사_세계석유 공급현황(지역별 석유 매장량),2024-06-21,"석유,매장량,지역,공급,에너지,통계,자원,2024년",파일 데이터 
2,한국석유공사_세계 원유 수출입 물량,2024-09-30,"원유,수출입,물동량,국가,연도,에너지,통계,2024년",파일 데이터 
3,한국석유공사_세계 석유제품 수출입 물량,2024-09-30,"석유제품,수출입,물동량,국가,연도,에너지,통계,2024년",파일 데이터 
4,한국석유공사_세계석유 공급현황(주요국별 석유 매장량),2024-09-30,"석유,매장량,국가,공급,에너지,통계,자원,2024년",파일 데이터 
5,한국석유공사_세계석유 공급현황(주요국별 석유 생산량),2024-09-30,"석유,생산량,국가,공급,에너지,연도,통계,2024년",파일 데이터 
6,한국석유공사_세계석유 수요현황(세계 석유소비량 추이),2024-09-30,"석유,소비량,수요,세계,연도,에너지,통계,2024년",파일 데이터 
7,한국석유공사_세계석유 수요현황(주요국 일인당 석유소비량),2024-09-30,"석유,소비량,일인당,국가,수요,통계,에너지,2024년",파일 데이터 
8,한국석유공사_저공해 자동차 보유현황,2024-07-15,"저공해,자동차,보유,친환경,차량,연도,통계,2024년",파일 데이터 
9,한국석유공사_에너지 사용량,2024-07-16,"에너지,사용량,석유,전기,가스,연도,통계,2024년",파일 데이터 
10,한국석유공사_저공해 자동차 구매임차 현황,2024-07-15,"저공해,자동차,구매,임차,친환경,연도,통계,2024년",파일 데이터 
11,한국석유공사_온실가스 감축실적,2024-07-15,"온실가스,감축,실적,연도,탄소중립,환경,통계,2024",파일 데이터 
12,한국석유공사_용수 사용량,2024-07-16,"용수,사용량,환경,자원,친환경,통계,ESG,2024년",파일 데이터 
13,한국석유공사_자동차충전소 평균 판매가격(지역별),2022-06-29,"자동차부탄,LPG,자동차충전소,지역별,판매가격,평균가격,링크데이터,2025년",링크 데이터
14,한국석유공사_자동차충전소 평균 판매가격(상표별),2022-06-29,"자동차부탄,LPG,자동차충전소,상품별,판매가격,평균가격,링크데이터,2025년",링크 데이터
15,한국석유공사_자동차충전소 전국 평균 판매가격,2022-06-29,"자동차부탄,LPG,자동차충전소,제품별,판매가격,평균가격,링크데이터,2025년",링크 데이터
16,한국석유공사_면세유 주유소 평균 판매가격(지역별),2022-06-29,"면세휘발유,면세경유,면세등유,지역별,판매가격,평균가격,주유소,2025년",링크 데이터
17,한국석유공사_면세유 주유소 평균 판매가격(상표별),2022-06-29,"면세휘발유,면세경유,면세등유,상표별,판매가격,평균가격,주유소,2025년",링크 데이터
18,한국석유공사_ 면세유 주유소 평균 판매가격(제품별),2022-06-29,"면세휘발유,면세경유,면세등유,제품별,판매가격,평균가격,주유소,2025년",링크 데이터
19,한국석유공사_상표권 보유 현황,2024-07-15,"상표권,등록일자,등록번호,보유현황,권리자,상태,지식재산,2024",파일 데이터 
20,한국석유공사_인천지역 경유 가격 현황,2024-06-03,"경유,인천,주유소,가격,월별,에너지",파일 데이터 
21,한국석유공사_인천지역 등유 가격 현황,2024-06-03,"등유,인천,주유소,가격,월별,난방",파일 데이터 
22,한국석유공사_인천지역 휘발유 가격 현황,2025-05-29,"휘발유,인천,주유소,가격,월별,에너지",파일 데이터 
23,한국석유공사_수의계약정보공개,2025-04-27,"수의계약,계약,사유",파일 데이터 
24,한국석유공사_수의계약업체,2025-04-27,"업체명,수의,주소",파일 데이터 
25,한국석유공사_지역별 주유소 수,2025-04-27,"주유소,지역별주유소,업체수",파일 데이터 
26,한국석유공사_국내 석유비축일수,2025-04-25,"석유비축,정부비축일수,IEA기준",파일 데이터 
27,한국석유공사_국내 석유비축시설 및 비축물량,2025-04-25,"석유비축물량,정부비축,IEA기준",파일 데이터 
28,한국석유공사_석유 정제가동율 현황,2025-01-10,"석유정제,정유사,가동율",파일 데이터 
29,한국석유공사_알뜰주유소 현황,2025-01-09,"알뜰주유소,주유소,주유소정보",파일 데이터 
30,한국석유공사_유통단계별 석유제품 소비 비율,2024-09-06,"석유소비,유통단계별,소비비율",파일 데이터 
31,한국석유공사_대전 석유제품 소비량,2024-08-28,"석유제품,대전,소비",파일 데이터 
32,한국석유공사_석유개발 기술자료 공개 제도,2024-08-19,"석유개발,기술자료,공개제도",링크 데이터
33,한국석유공사_주유소 요소수 평균판매가격_상표별,2024-08-14,"주유소,요소수가격,상표별",파일 데이터 
