년,휘발유,등유,경유,경질중유,중유,벙커C유,납사,용제,항공유,LPG,아스팔트,윤활유,기타제품,부생연료유,바이오연료
1992,32348,29309,152577,3360,1696,174319,65259,452,20901,14666,9674,,,,
1993,41271,31915,167967,3515,1600,184006,65480,429,20230,13982,9591,,,,
1994,50708,32305,169040,3479,1468,191434,67969,695,26196,14710,10447,,,,
1995,60459,41921,180908,3922,1444,203886,88319,736,34981,15722,10803,,,,
1996,70935,51302,216446,5495,1565,207845,103128,671,38819,15747,12174,,,,
1997,78648,71899,264173,4243,1451,232394,154319,626,42438,20854,14945,5028,20444,,
1998,76026,62501,232500,3127,1320,205654,153832,503,63801,27506,12807,4561,20706,,
1999,75159,90501,218670,3869,1258,235451,164447,630,53056,30229,13141,4806,19868,,
2000,76202,87797,227999,4243,959,225262,167012,629,59568,34915,13582,6739,21991,,
2001,76507,74833,218888,3826,841,220976,162670,790,65251,39362,14412,6701,21373,916,
2002,76943,61646,207736,4755,758,183610,163912,1300,67731,40507,18211,7437,21256,2560,
2003,73048,63338,202677,4717,668,198615,148923,2590,55065,38126,17314,9785,23361,2811,
2004,75494,49446,212548,4149,634,197186,167843,3799,76644,38580,19190,13195,24677,3030,
2005,73823,43294,230964,4097,719,206331,176369,4266,85288,37276,19854,14163,23488,2965,
2006,79677,40389,238350,3620,655,203110,183067,5061,95316,35953,21258,15899,24844,2784,
2007,78212,28387,253196,3440,761,180022,196755,4877,106099,33951,24484,17304,25696,2713,
2008,92864,30917,264470,3041,640,146894,173746,3925,108401,34534,26009,21032,29890,2387,
2009,108680,32514,261714,2940,488,121151,159064,4734,102649,35133,28008,22245,30745,2589,
2010,111811,38681,268392,3157,511,122501,169721,4766,105781,32631,29284,17908,31206,2577,
2011,123612,34718,292281,3168,531,121217,195101,3972,118172,18319,24179,19449,44963,2575,
2012,137387,26615,309738,2642,371,99602,207104,3912,130720,17251,24869,21098,50845,2553,
2013,135012,21499,297779,2383,335,76742,207645,3278,130025,20042,28915,19395,56327,2603,
2014,145056,16746,314502,2401,274,52500,218095,2928,135202,24344,32212,22937,60216,2680,
2015,157326,18493,333421,3017,266,54689,249936,2839,151711,25366,37174,21190,58793,2762,
2016,153557,19520,338517,3345,262,67357,259814,3104,160712,26026,40508,20550,61365,2973,
2017,157908,19896,344882,2624,199,65139,309868,4046,173856,31612,41476,21974,54004,2169,
2018,167195,21125,358780,2027,249,66690,313927,3651,170896,33900,35908,23444,59182,1899,
2019,168227,20705,366713,1999,125,55663,313163,3778,170744,32893,31219,20536,63131,1812,
2020,143047,43646,350147,1654,84,73529,286740,5356,112595,28279,25574,22373,64134,1846,
2021,166558,52825,336185,1630,66.04,73991,285600,3550,97180,29113,15414,31502,68226,1977,
2022,169068,46510,360818,1010,95.32,90957,300608,2817,122855,25253,17275,33095,71856,1774,
2023,173781,45316,352639,994,64.09,76310,305999,2926,139254,27047,18043,30972,71269,1869,
2024,188471,44646,355775,1048,35.02,80661,309428,2786,145120,29435,14431,31135,71414,1734,
