년,중국(물량),중국(금액),중국(단가),필리핀(물량),필리핀(금액),필리핀(단가),태국(물량),태국(금액),태국(단가),말레이시아(물량),말레이시아(금액),말레이시아(단가),인도네시아(물량),인도네시아(금액),인도네시아(단가),방글라데시(물량),방글라데시(금액),방글라데시(단가),브루나이(물량),브루나이(금액),브루나이(단가),호주(물량),호주(금액),호주(단가),뉴질랜드(물량),뉴질랜드(금액),뉴질랜드(단가),베트남(물량),베트남(금액),베트남(단가),미얀마(물량),미얀마(금액),미얀마(단가),파푸아뉴기니(물량),파푸아뉴기니(금액),파푸아뉴기니(단가),러시아(물량),러시아(금액),러시아(단가),카자흐스탄(물량),카자흐스탄(금액),카자흐스탄(단가),튀니지(물량),튀니지(금액),튀니지(단가),아제르바이잔(물량),아제르바이잔(금액),아제르바이잔(단가),알제리(물량),알제리(금액),알제리(단가),이집트(물량),이집트(금액),이집트(단가),리비아(물량),리비아(금액),리비아(단가),앙골라(물량),앙골라(금액),앙골라(단가),카메룬(물량),카메룬(금액),카메룬(단가),콩고(물량),콩고(금액),콩고(단가),가봉(물량),가봉(금액),가봉(단가),나이지리아(물량),나이지리아(금액),나이지리아(단가),수단(물량),수단(금액),수단(단가),적도기니(물량),적도기니(금액),적도기니(단가),모잠비크(물량),모잠비크(금액),모잠비크(단가),캐나다(물량),캐나다(금액),캐나다(단가),미국(물량),미국(금액),미국(단가),멕시코(물량),멕시코(금액),멕시코(단가),베네수엘라(물량),베네수엘라(금액),베네수엘라(단가),브라질(물량),브라질(금액),브라질(단가),에콰도르(물량),에콰도르(금액),에콰도르(단가),페루(물량),페루(금액),페루(단가),아르헨티나(물량),아르헨티나(금액),아르헨티나(단가),콜롬비아(물량),콜롬비아(금액),콜롬비아(단가),볼리비아(물량),볼리비아(금액),볼리비아(단가),이란(물량),이란(금액),이란(단가),이라크(물량),이라크(금액),이라크(단가),쿠웨이트(물량),쿠웨이트(금액),쿠웨이트(단가),카타르(물량),카타르(금액),카타르(단가),아랍에미레이트(물량),아랍에미레이트(금액),아랍에미레이트(단가),사우디아라비아(물량),사우디아라비아(금액),사우디아라비아(단가),예멘(물량),예멘(금액),예멘(단가),오만(물량),오만(금액),오만(단가),중립지대(물량),중립지대(금액),중립지대(단가),노르웨이(물량),노르웨이(금액),노르웨이(단가),영국(물량),영국(금액),영국(단가)
1980,266,8503,32,,,,,,,400,15928,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,19390,29,,,,662,22177,33,,,,,,,,,,,,,15515,556705,36,,,,44336,1420341,32,,,,,,,100735,2935219,29,,,,,,,5880,183088,31,,,,,,
1981,,,,,,,,,,2299,91311,40,2430,92342,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,45693,40,,,,,,,,,,,,,313,12482,40,,,,,,,,,,,,,,,,1752,56804,32,1986,67785,34,,,,6000,215458,36,,,,,,,,,,,,,14496,546484,38,,,,34513,1333636,39,,,,4182,158629,38,99371,3362304,34,,,,,,,3047,108154,35,,,,,,
1982,,,,,,,,,,2073,72541,35,14284,520649,36,,,,4696,164073,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,16291,30,5868,214804,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4677,142389,30,686,22272,32,,,,9123,325501,36,,,,,,,,,,,,,22899,706059,31,,,,21328,728471,34,,,,1153,37463,33,82820,2845797,34,,,,,,,1688,51973,31,,,,,,
1983,,,,,,,,,,9488,281496,30,8788,272184,31,,,,8026,242023,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,83589,28,9033,291942,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068,122757,30,,,,,,,7666,236130,31,,,,,,,,,,,,,31415,903519,29,3459,98705,29,20749,605500,29,1577,47032,30,7080,211477,30,58876,1771699,30,,,,17853,548451,31,1874,51492,27,,,,,,
1984,,,,,,,,,,15266,447473,29,16919,495519,29,,,,5692,168800,30,629,19144,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142,88150,28,8564,258596,30,,,,,,,,,,522,15467,30,,,,,,,,,,,,,,,,,,,3772,114580,30,,,,,,,11998,346276,29,410,12087,29,,,,,,,,,,39620,1089370,28,,,,15841,453742,29,3273,98393,30,12593,376822,30,35773,1050990,29,,,,24094,718569,30,1374,38411,28,,,,,,
1985,,,,,,,,,,19745,548281,28,20183,545668,27,,,,8067,227312,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,13052,27,3927,104531,27,4943,139410,28,,,,500,13235,26,,,,2055,52412,26,,,,,,,,,,,,,,,,,,,1333,39868,30,,,,,,,21983,612363,28,2077,54633,26,,,,,,,,,,34121,923542,27,,,,17520,498199,28,502,14342,29,19934,552061,28,13746,391244,28,,,,23125,661222,29,4065,108217,27,,,,,,
1986,,,,,,,440,6539,15,22787,343580,15,17212,256526,15,,,,9521,143524,15,798,10633,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,33125,17,7136,119150,17,,,,1784,41263,23,,,,2633,56403,21,,,,,,,,,,,,,416,10056,24,,,,3645,79368,22,,,,,,,19372,293487,15,1565,36277,23,,,,,,,,,,37346,512795,14,3542,42936,12,12706,183056,14,3683,47135,13,25192,387813,15,18931,286088,15,,,,25272,414044,16,3689,49391,13,,,,,,
1987,,,,,,,,,,20611,376879,18,18014,321174,18,,,,10387,193965,19,2253,40945,18,,,,,,,,,,,,,,,,,,,,,,,,,5427,98781,18,3753,61187,16,5116,98727,19,,,,845,15397,18,,,,,,,,,,,,,,,,,,,457,5408,12,561,10494,19,2991,48789,16,,,,,,,7089,125233,18,,,,,,,,,,,,,31773,538852,17,5436,96573,18,7881,139053,18,2518,46707,19,25255,456830,18,31394,547187,17,,,,28579,514859,18,3280,50452,15,,,,,,
1988,3444,41065,12,,,,,,,22623,351745,16,12680,198719,16,,,,11476,180031,16,1695,26596,16,,,,,,,,,,,,,,,,,,,,,,,,,3709,63995,17,9656,134859,14,,,,700,10537,15,630,9377,15,1437,21731,15,1644,22151,13,,,,,,,,,,,,,120,1381,12,,,,4954,69852,14,,,,,,,18771,273758,15,,,,,,,,,,,,,35863,511660,14,12458,170101,14,9466,136687,14,1276,20244,16,40066,586490,15,7341,107678,15,8873,139551,16,51300,749661,15,,,,,,,,,
1989,8099,119583,15,,,,,,,27444,502794,18,12362,216583,18,,,,12786,236601,19,1881,35668,19,,,,,,,,,,,,,,,,,,,,,,,,,5679,96806,17,6600,97806,15,,,,,,,2992,50411,17,,,,998,15730,16,,,,,,,,,,,,,831,12070,15,,,,,,,,,,,,,2996,45915,15,,,,,,,,,,,,,38599,610907,16,5751,85356,15,15097,237873,16,3470,60399,17,47011,774614,16,14974,243386,16,4523,80002,18,65967,1107824,17,14526,231274,16,,,,,,
