,합계,석탄,가스,석유,원자력,수력,바이오및폐기물,지열태양열및 기타,열,석유비율
2003/01,20337.0,4601.0,3475.0,9155.0,2937.0,44.0,120.0,4.0,2.0,0.45016472439396177
2003/02,16037.0,3599.0,2166.0,7772.0,2346.0,42.0,107.0,3.0,2.0,0.484629294755877
2003/03,17677.0,3987.0,2457.0,8178.0,2872.0,51.0,127.0,4.0,2.0,0.462635062510607
2003/04,15568.0,3944.0,2158.0,6779.0,2466.0,72.0,143.0,4.0,2.0,0.43544450154162384
2003/05,14886.0,3660.0,1573.0,7081.0,2257.0,165.0,145.0,4.0,2.0,0.4756818487169152
2003/06,14922.0,3883.0,1305.0,7120.0,2361.0,121.0,128.0,3.0,1.0,0.47714783541080286
2003/07,16273.0,4498.0,1194.0,7285.0,3038.0,140.0,113.0,3.0,2.0,0.44767406132858106
2003/08,15606.0,3951.0,1283.0,7119.0,2978.0,172.0,99.0,3.0,1.0,0.45617070357554784
2003/09,15289.0,4107.0,1240.0,7025.0,2601.0,220.0,92.0,3.0,1.0,0.45948067237883444
2003/10,17805.0,4639.0,1765.0,7963.0,2949.0,78.0,405.0,4.0,2.0,0.44723392305532156
2003/11,17258.0,3986.0,2081.0,8223.0,2782.0,58.0,124.0,3.0,2.0,0.47647467841001273
2003/12,20080.0,4279.0,3576.0,9171.0,2831.0,62.0,154.0,5.0,2.0,0.4567231075697211
2004/01,19596.0,4559.0,3583.0,8619.0,2594.0,56.0,178.0,6.0,2.0,0.4398346601347214
2004/02,17476.0,3849.0,3509.0,7527.0,2371.0,48.0,165.0,5.0,2.0,0.4307049668116274
2004/03,18518.0,4866.0,2763.0,8123.0,2548.0,50.0,162.0,5.0,2.0,0.43865428231990494
2004/04,16362.0,4246.0,2422.0,7080.0,2408.0,49.0,151.0,5.0,1.0,0.4327099376604327
2004/05,14631.0,3772.0,1571.0,6445.0,2602.0,74.0,160.0,5.0,2.0,0.4405030414872531
2004/06,15792.0,3831.0,1641.0,7360.0,2696.0,117.0,141.0,4.0,1.0,0.46605876393110435
2004/07,16263.0,4572.0,1667.0,6780.0,2900.0,212.0,126.0,4.0,2.0,0.4168972514296255
2004/08,16797.0,4680.0,1397.0,7252.0,3166.0,184.0,114.0,3.0,2.0,0.4317437637673394
2004/09,14753.0,3658.0,1295.0,6759.0,2818.0,101.0,118.0,4.0,1.0,0.45814410628346774
2004/10,17670.0,5056.0,1927.0,7668.0,2699.0,68.0,247.0,3.0,2.0,0.433955857385399
2004/11,17454.0,4499.0,2398.0,7422.0,2787.0,65.0,278.0,4.0,1.0,0.42523203850120317
2004/12,19908.0,4298.0,3655.0,8640.0,3090.0,59.0,160.0,5.0,2.0,0.43399638336347196
2005/01,20491.0,4748.0,3936.0,8730.0,2887.0,50.0,135.0,6.0,1.0,0.4260407007954712
2005/02,17348.0,3629.0,3400.0,7332.0,2831.0,36.0,114.0,5.0,1.0,0.4226423795250173
2005/03,19466.0,4318.0,3233.0,8553.0,3159.0,39.0,157.0,7.0,1.0,0.4393814856673174
2005/04,16678.0,4049.0,2027.0,7221.0,3164.0,50.0,161.0,6.0,1.0,0.4329655834032858
2005/05,15571.0,3958.0,1445.0,6606.0,3321.0,64.0,170.0,7.0,1.0,0.42425020872134095
2005/06,16358.0,4766.0,1598.0,6847.0,2923.0,68.0,150.0,5.0,1.0,0.4185719525614378
2005/07,16459.0,4982.0,1736.0,6485.0,2963.0,137.0,149.0,5.0,1.0,0.3940093565830245
2005/08,16635.0,4390.0,1595.0,7047.0,3314.0,143.0,141.0,5.0,1.0,0.4236248872858431
2005/09,16362.0,4586.0,1847.0,6831.0,2841.0,106.0,145.0,5.0,1.0,0.4174917491749175
2005/10,16178.0,4244.0,1915.0,6582.0,3171.0,97.0,162.0,6.0,1.0,0.4068488070218816
2005/11,17973.0,4541.0,2822.0,7402.0,2957.0,64.0,179.0,7.0,1.0,0.4118399821955155
2005/12,21827.0,4766.0,4815.0,8795.0,3165.0,65.0,210.0,10.0,1.0,0.40294131122004856
2006/01,20412.0,4829.0,3700.0,8434.0,3250.0,31.0,158.0,8.0,2.0,0.413188320595728
2006/02,18605.0,4256.0,3849.0,7421.0,2886.0,30.0,155.0,8.0,2.0,0.39887127116366566
2006/03,19140.0,4372.0,3727.0,8037.0,2781.0,33.0,180.0,9.0,1.0,0.41990595611285264
2006/04,17029.0,4378.0,2627.0,6988.0,2812.0,42.0,173.0,8.0,1.0,0.41035879969463857
2006/05,16389.0,3734.0,2000.0,7279.0,3100.0,82.0,184.0,8.0,2.0,0.4441393617670389
2006/06,17080.0,4838.0,1973.0,6852.0,3128.0,101.0,178.0,8.0,2.0,0.40117096018735365
2006/07,16174.0,4364.0,1652.0,6453.0,3337.0,190.0,169.0,8.0,1.0,0.3989736614319278
2006/08,17988.0,5265.0,1775.0,7203.0,3390.0,178.0,169.0,7.0,2.0,0.4004336224149433
2006/09,16789.0,4501.0,2023.0,6906.0,3099.0,64.0,186.0,8.0,2.0,0.41134075883018645
2006/10,16488.0,4290.0,1510.0,7210.0,3253.0,38.0,176.0,10.0,1.0,0.43728772440562835
2006/11,18526.0,4357.0,2958.0,7953.0,3019.0,39.0,188.0,12.0,2.0,0.4292885674187628
2006/12,21643.0,5179.0,4231.0,8855.0,3134.0,39.0,192.0,12.0,1.0,0.40913921360255046
2007/01,20438.0,4347.0,3854.0,9282.0,2718.0,33.0,191.0,12.0,1.0,0.4541540268127997
2007/02,19264.0,4911.0,3590.0,8177.0,2373.0,28.0,173.0,10.0,1.0,0.42447051495016613
2007/03,20220.0,4816.0,3518.0,8990.0,2638.0,37.0,207.0,12.0,1.0,0.4446092977250247
2007/04,18234.0,4461.0,2739.0,8206.0,2554.0,47.0,213.0,12.0,1.0,0.45003838982121314
2007/05,17531.0,4343.0,2191.0,8251.0,2466.0,58.0,208.0,12.0,1.0,0.4706519879071359
2007/06,17423.0,4873.0,2048.0,7872.0,2337.0,66.0,217.0,11.0,1.0,0.4518165643115422
2007/07,18042.0,5197.0,2075.0,7932.0,2554.0,73.0,202.0,8.0,1.0,0.43964083804456267
2007/08,18230.0,4769.0,2115.0,8201.0,2827.0,135.0,174.0,9.0,1.0,0.4498628634119583
2007/09,17332.0,4441.0,1929.0,8113.0,2517.0,137.0,184.0,10.0,1.0,0.46809369951534735
2007/10,19108.0,5454.0,2444.0,8453.0,2454.0,72.0,218.0,12.0,1.0,0.44238015490893867
2007/11,20365.0,5081.0,3813.0,8568.0,2612.0,52.0,224.0,14.0,1.0,0.4207218266633931
2007/12,21941.0,5456.0,4348.0,9174.0,2682.0,43.0,222.0,15.0,1.0,0.4181213253725901
2008/01,22086.0,4953.0,4704.0,9285.0,2873.0,48.0,208.0,13.0,3.0,0.4204020646563434
2008/02,20561.0,4885.0,4456.0,8227.0,2756.0,34.0,188.0,14.0,3.0,0.40012645299353145
2008/03,20633.0,5270.0,3269.0,8835.0,2953.0,57.0,234.0,14.0,3.0,0.4281975476178937
2008/04,18604.0,5144.0,2782.0,7757.0,2610.0,59.0,235.0,14.0,3.0,0.41695334336701784
2008/05,18731.0,5786.0,2253.0,7767.0,2607.0,59.0,241.0,14.0,3.0,0.4146601889915114
2008/06,16808.0,4872.0,1864.0,7205.0,2573.0,54.0,226.0,11.0,4.0,0.4286649214659686
2008/07,18750.0,5886.0,2193.0,7700.0,2654.0,70.0,231.0,14.0,3.0,0.4106666666666667
2008/08,18229.0,5285.0,1717.0,7957.0,2916.0,122.0,218.0,13.0,3.0,0.4365022765922431
2008/09,18259.0,5655.0,2205.0,7606.0,2497.0,62.0,219.0,12.0,3.0,0.41656169560216877
2008/10,18690.0,6014.0,2221.0,7544.0,2610.0,37.0,238.0,23.0,3.0,0.4036383092562868
2008/11,19063.0,5207.0,3032.0,7948.0,2567.0,30.0,246.0,30.0,3.0,0.4169333263389813
2008/12,20883.0,5970.0,3098.0,8682.0,2842.0,29.0,234.0,27.0,3.0,0.41574486424364315
2009/01,21959.0,4879.0,5263.0,8770.0,2773.0,32.0,211.0,27.0,4.0,0.39938066396466143
2009/02,19237.0,4545.0,3686.0,8299.0,2439.0,29.0,211.0,25.0,4.0,0.4314082237355097
2009/03,20612.0,5328.0,3559.0,8725.0,2663.0,32.0,270.0,31.0,4.0,0.4232971084804968
2009/04,18858.0,5300.0,2211.0,8442.0,2581.0,31.0,261.0,28.0,4.0,0.44766146993318484
2009/05,17947.0,4871.0,1638.0,8312.0,2780.0,46.0,268.0,30.0,4.0,0.46314147211233075
2009/06,18107.0,5317.0,1873.0,7907.0,2668.0,53.0,263.0,23.0,4.0,0.4366819462086486
2009/07,19475.0,6382.0,1985.0,7885.0,2811.0,126.0,257.0,25.0,5.0,0.40487804878048783
2009/08,18587.0,5506.0,1886.0,8053.0,2754.0,112.0,249.0,24.0,4.0,0.4332598052402217
2009/09,19410.0,6661.0,2148.0,7805.0,2437.0,55.0,275.0,24.0,4.0,0.40211231324059765
2009/10,19514.0,5734.0,2365.0,8464.0,2619.0,31.0,267.0,30.0,4.0,0.43373987906118683
2009/11,21066.0,6218.0,3659.0,8372.0,2464.0,30.0,283.0,35.0,4.0,0.3974176397987278
2009/12,23645.0,6354.0,4865.0,9269.0,2784.0,38.0,289.0,43.0,4.0,0.3920067667582999
2010/01,23737.0,6211.0,5486.0,8878.0,2849.0,35.0,244.0,33.0,1.0,0.3740152504528795
2010/02,20838.0,5939.0,4413.0,7734.0,2458.0,33.0,231.0,29.0,1.0,0.3711488626547653
2010/03,21643.0,6222.0,4163.0,8435.0,2438.0,61.0,287.0,36.0,1.0,0.3897334010996627
2010/04,21048.0,6352.0,3665.0,8171.0,2461.0,77.0,282.0,39.0,1.0,0.3882079057392626
2010/05,19276.0,5475.0,2479.0,8202.0,2706.0,87.0,287.0,40.0,1.0,0.425503216434945
2010/06,19776.0,6381.0,2479.0,7844.0,2676.0,73.0,290.0,32.0,2.0,0.39664239482200647
2010/07,20844.0,7084.0,2781.0,7762.0,2852.0,52.0,277.0,34.0,1.0,0.37238533870658225
2010/08,19859.0,5932.0,2372.0,8328.0,2860.0,85.0,245.0,36.0,1.0,0.41935646306460544
2010/09,19524.0,6541.0,2386.0,7805.0,2361.0,140.0,251.0,40.0,1.0,0.3997643925425118
2010/10,20312.0,5846.0,2906.0,8433.0,2718.0,63.0,296.0,49.0,1.0,0.41517329657345414
2010/11,22303.0,6426.0,3892.0,8809.0,2778.0,45.0,294.0,57.0,1.0,0.39496928664305253
2010/12,25241.0,7599.0,4660.0,9778.0,2792.0,46.0,291.0,74.0,2.0,0.38738560278911294
2011/01,26939.0,6418.0,8211.0,9188.0,2685.0,52.0,310.0,66.0,10.0,0.3410668547459074
2011/02,21379.0,6454.0,3750.0,8222.0,2554.0,49.0,295.0,43.0,11.0,0.3845830020113195
2011/03,23513.0,6897.0,4659.0,8657.0,2814.0,56.0,351.0,65.0,13.0,0.368179305065283
2011/04,21075.0,6398.0,4047.0,7437.0,2743.0,52.0,334.0,54.0,10.0,0.3528825622775801
2011/05,19753.0,6129.0,2371.0,7817.0,2919.0,122.0,338.0,47.0,10.0,0.39573735635093404
2011/06,20277.0,6438.0,2907.0,7813.0,2636.0,111.0,323.0,38.0,11.0,0.3853134092814519
2011/07,22049.0,7505.0,2968.0,8021.0,3006.0,199.0,295.0,43.0,12.0,0.3637806703251848
2011/08,20548.0,6463.0,2052.0,8412.0,3106.0,166.0,300.0,39.0,11.0,0.4093829083122445
2011/09,23254.0,7926.0,3819.0,8477.0,2592.0,55.0,327.0,46.0,11.0,0.3645394340758579
2011/10,20529.0,6041.0,2767.0,8535.0,2751.0,40.0,335.0,50.0,10.0,0.41575332456524916
2011/11,22946.0,7738.0,3370.0,8720.0,2688.0,38.0,332.0,47.0,13.0,0.3800226619018565
2011/12,26939.0,7980.0,6398.0,9323.0,2771.0,50.0,341.0,64.0,12.0,0.34607817662125545
2012/01,23344.0,6667.0,4276.0,9178.0,2767.0,41.0,348.0,57.0,10.0,0.3931631254283756
2012/02,24875.0,6336.0,6931.0,8616.0,2551.0,43.0,332.0,54.0,12.0,0.3463718592964824
2012/03,22826.0,7155.0,4294.0,8223.0,2633.0,55.0,388.0,68.0,10.0,0.3602470866555682
2012/04,20215.0,5590.0,3809.0,7896.0,2403.0,92.0,357.0,59.0,10.0,0.3906010388325501
2012/05,21113.0,6175.0,3135.0,8712.0,2589.0,79.0,370.0,43.0,11.0,0.41263676407900346
2012/06,21267.0,6565.0,3165.0,8403.0,2695.0,54.0,340.0,38.0,8.0,0.39511919875864016
2012/07,21049.0,6481.0,3024.0,8340.0,2729.0,75.0,347.0,44.0,9.0,0.3962183476649722
2012/08,23586.0,8216.0,3143.0,8794.0,2947.0,106.0,326.0,45.0,11.0,0.37284829983888745
2012/09,20054.0,5936.0,2804.0,7997.0,2819.0,105.0,341.0,43.0,11.0,0.3987733120574449
2012/10,21097.0,6129.0,3221.0,8583.0,2674.0,66.0,360.0,54.0,10.0,0.4068350950372091
2012/11,23893.0,7176.0,4927.0,8989.0,2306.0,58.0,370.0,55.0,12.0,0.3762189762692002
2012/12,25674.0,6633.0,6825.0,9103.0,2607.0,65.0,368.0,62.0,10.0,0.3545610345096206
2013/01,25059.0,6935.0,5752.0,9002.0,2884.0,58.0,364.0,54.0,10.0,0.3592322119797278
2013/02,22608.0,6810.0,5136.0,7813.0,2385.0,73.0,329.0,54.0,10.0,0.34558563340410475
2013/03,22967.0,6789.0,4811.0,8265.0,2548.0,77.0,401.0,65.0,10.0,0.359864152915052
2013/04,21431.0,6072.0,4379.0,8154.0,2281.0,77.0,396.0,62.0,9.0,0.3804768792870141
2013/05,21201.0,6570.0,3619.0,8249.0,2221.0,86.0,397.0,51.0,9.0,0.38908542049903305
2013/06,20960.0,6571.0,3282.0,8515.0,2067.0,83.0,389.0,44.0,9.0,0.40625
2013/07,21573.0,7087.0,3498.0,7993.0,2382.0,141.0,385.0,78.0,10.0,0.3705094330876559
2013/08,22789.0,7226.0,3756.0,8675.0,2576.0,116.0,366.0,65.0,9.0,0.38066611084295054
2013/09,19386.0,5894.0,2568.0,7965.0,2469.0,61.0,357.0,64.0,9.0,0.41086350974930363
2013/10,22244.0,6683.0,3925.0,8598.0,2480.0,53.0,415.0,81.0,9.0,0.38653119942456393
2013/11,23765.0,7046.0,4887.0,8807.0,2474.0,41.0,411.0,90.0,9.0,0.3705869976856722
2013/12,25549.0,6855.0,6331.0,9270.0,2516.0,40.0,422.0,104.0,11.0,0.3628322047829661
2014/01,25089.0,7027.0,5596.0,9004.0,2859.0,37.0,467.0,94.0,6.0,0.3588823787317151
2014/02,22578.0,6701.0,5255.0,7560.0,2536.0,42.0,401.0,77.0,6.0,0.3348392240233856
2014/03,22441.0,6253.0,4493.0,8368.0,2681.0,48.0,495.0,98.0,6.0,0.37288890869390845
2014/04,22044.0,6531.0,3926.0,8169.0,2823.0,49.0,461.0,79.0,6.0,0.3705770277626565
2014/05,21177.0,6572.0,3018.0,8092.0,2877.0,55.0,469.0,88.0,6.0,0.3821126694054871
2014/06,21135.0,6909.0,2561.0,8398.0,2662.0,55.0,468.0,76.0,6.0,0.3973503666903241
2014/07,21755.0,7040.0,3266.0,8028.0,2828.0,48.0,461.0,80.0,5.0,0.3690186164100207
2014/08,22342.0,7386.0,2717.0,8707.0,2955.0,58.0,436.0,78.0,5.0,0.3897144391728583
2014/09,20901.0,6520.0,3028.0,8149.0,2606.0,56.0,454.0,84.0,5.0,0.38988565140423903
2014/10,22669.0,7274.0,3509.0,8504.0,2746.0,46.0,484.0,98.0,6.0,0.3751378534562619
2014/11,21421.0,6032.0,3933.0,8306.0,2541.0,43.0,470.0,92.0,5.0,0.38775033845292
2014/12,27701.0,8518.0,6108.0,9509.0,2887.0,44.0,519.0,109.0,7.0,0.34327280603588317
2015/01,26243.0,7372.0,5807.0,9385.0,3000.0,43.0,504.0,122.0,11.0,0.35761917463704607
