변환,원자료,원자료,원자료,원자료,원자료
"1987/01","","","","",""
"1987/02","","","","",""
"1987/03","","","","",""
"1987/04","","","","",""
"1987/05","","","","",""
"1987/06","","","","",""
"1987/07","","","","",""
"1987/08","","","","",""
"1987/09","","","","",""
"1987/10","","","","",""
"1987/11","","","","",""
"1987/12","","","","",""
"1988/01","","","","",""
"1988/02","","","","",""
"1988/03","","","","",""
"1988/04","","","","",""
"1988/05","","","","",""
"1988/06","","","","",""
"1988/07","","","","",""
"1988/08","","","","",""
"1988/09","","","","",""
"1988/10","","","","",""
"1988/11","","","","",""
"1988/12","","","","",""
"1989/01","","","","",""
"1989/02","","","","",""
"1989/03","","","","",""
"1989/04","","","","",""
"1989/05","","","","",""
"1989/06","","","","",""
"1989/07","","","","",""
"1989/08","","","","",""
"1989/09","","","","",""
"1989/10","","","","",""
"1989/11","","","","",""
"1989/12","","","","",""
"1990/01","22.60","17.50","14.05","2,365.56","409.82"
"1990/02","22.20","16.68","14.05","2,358.94","417.18"
"1990/03","20.44","15.76","14.05","2,625.70","392.70"
"1990/04","18.53","14.25","14.05","2,685.23","374.29"
"1990/05","18.44","14.65","14.05","2,740.34","369.20"
"1990/06","16.70","13.28","14.05","2,583.81","352.53"
"1990/07","18.64","15.31","14.05","2,769.00","362.50"
"1990/08","27.15","25.09","14.05","2,956.40","394.63"
"1990/09","33.56","30.35","14.05","3,040.17","389.76"
"1990/10","36.34","31.41","14.05","2,742.55","381.00"
"1990/11","32.40","28.08","14.05","2,583.81","381.79"
"1990/12","27.12","23.26","14.05","2,484.61","376.68"
"1991/01","24.96","19.63","15.03","2,447.13","383.70"
"1991/02","20.67","14.52","15.03","2,447.13","364.39"
"1991/03","19.87","15.01","15.03","2,409.65","362.76"
"1991/04","20.82","15.37","15.03","2,471.38","358.32"
"1991/05","21.27","15.94","15.03","2,340.42","356.96"
"1991/06","20.19","15.41","15.03","2,218.07","366.91"
"1991/07","21.41","16.23","15.03","2,231.26","367.79"
"1991/08","21.69","16.61","15.03","2,236.19","356.67"
"1991/09","21.88","17.80","15.03","2,318.58","348.74"
"1991/10","23.25","18.88","15.03","2,360.65","358.81"
"1991/11","22.41","18.35","15.03","2,375.66","359.59"
"1991/12","19.47","15.30","15.03","2,205.92","361.53"
"1992/01","18.81","15.22","14.31","2,150.58","354.70"
"1992/02","19.07","15.72","14.31","2,208.89","353.78"
"1992/03","18.93","15.75","14.31","2,231.79","344.18"
"1992/04","20.24","16.64","14.31","2,214.17","338.69"
"1992/05","21.00","17.59","14.31","2,219.32","337.10"
"1992/06","22.41","19.01","14.31","2,296.44","341.02"
"1992/07","21.76","18.49","14.31","2,527.29","352.25"
"1992/08","21.37","17.80","14.31","2,513.47","342.89"
"1992/09","21.89","18.38","14.31","2,419.61","345.01"
"1992/10","21.71","18.14","14.31","2,262.46","344.89"
"1992/11","20.35","17.14","14.31","2,161.79","335.05"
"1992/12","19.45","16.22","14.31","2,211.95","334.81"
"1993/01","19.09","15.32","12.58","2,264.21","329.03"
"1993/02","20.08","16.05","12.58","2,212.18","329.30"
"1993/03","20.34","16.31","12.58","2,152.38","330.10"
"1993/04","20.28","16.39","12.58","1,953.62","342.06"
"1993/05","19.99","16.12","12.58","1,799.35","366.67"
"1993/06","19.12","15.64","12.58","1,857.87","371.81"
"1993/07","17.88","14.21","12.58","1,927.34","392.40"
"1993/08","18.00","14.65","12.58","1,951.07","378.70"
"1993/09","17.53","14.13","12.58","1,858.25","354.40"
"1993/10","18.17","14.75","12.58","1,647.00","362.38"
"1993/11","16.69","13.79","12.58","1,632.57","374.17"
"1993/12","14.51","12.22","12.58","1,723.63","383.30"
"1994/01","15.01","13.08","11.45","1,807.07","387.08"
"1994/02","14.77","12.75","11.45","1,865.08","382.30"
"1994/03","14.65","12.08","11.45","1,913.17","383.88"
"1994/04","16.35","13.75","11.45","1,881.37","377.32"
"1994/05","17.83","14.79","11.45","2,144.50","381.59"
"1994/06","19.01","15.69","11.45","2,363.09","385.74"
"1994/07","19.62","16.40","11.45","2,447.24","385.40"
"1994/08","18.38","15.93","11.45","2,409.75","380.76"
"1994/09","17.44","15.25","11.45","2,504.84","391.93"
"1994/10","17.66","15.37","11.45","2,546.02","389.59"
"1994/11","18.09","15.92","11.45","2,803.55","384.44"
"1994/12","17.21","15.46","11.45","2,980.70","379.40"
"1995/01","17.98","16.01","12.27","3,003.26","378.55"
"1995/02","18.54","16.55","12.27","2,870.45","376.51"
"1995/03","18.54","16.33","12.27","2,919.67","381.66"
"1995/04","19.76","17.38","12.27","2,894.89","391.04"
"1995/05","19.69","17.29","12.27","2,771.57","385.22"
"1995/06","18.42","16.19","12.27","2,987.68","387.49"
"1995/07","17.32","15.07","12.27","3,076.45","386.24"
"1995/08","18.03","15.41","12.27","3,040.14","383.70"
"1995/09","18.22","15.53","12.27","2,910.43","383.22"
"1995/10","17.44","14.87","12.27","2,810.07","383.07"
"1995/11","17.98","15.74","12.27","2,981.62","385.68"
"1995/12","19.05","17.17","12.27","2,918.21","387.56"
"1996/01","18.90","16.72","12.97","2,605.00","400.07"
"1996/02","19.08","16.00","12.97","2,544.67","404.48"
"1996/03","21.33","16.97","12.97","2,563.35","396.33"
"1996/04","23.53","17.66","12.97","2,594.17","393.14"
"1996/05","21.27","16.92","12.97","2,658.76","391.94"
"1996/06","20.44","17.31","12.97","2,177.60","385.27"
"1996/07","21.31","17.72","12.97","1,983.93","383.59"
"1996/08","21.93","18.60","12.97","2,017.86","387.47"
"1996/09","23.91","20.27","12.97","1,935.07","382.96"
"1996/10","24.90","21.63","12.97","1,960.20","381.07"
"1996/11","23.71","20.95","12.97","2,215.43","378.52"
"1996/12","25.52","21.57","12.97","2,264.60","368.98"
"1997/01","25.20","21.41","13.04","2,427.27","355.20"
"1997/02","22.22","18.89","13.04","2,406.63","346.71"
"1997/03","20.97","18.17","13.04","2,420.18","351.81"
"1997/04","19.72","16.76","13.04","2,389.32","344.58"
"1997/05","20.85","18.48","13.04","2,513.30","343.70"
"1997/06","19.16","17.27","13.04","2,611.29","340.48"
"1997/07","19.63","17.28","13.04","2,449.20","324.09"
"1997/08","19.93","17.69","13.04","2,250.10","324.05"
"1997/09","19.78","17.96","13.04","2,104.31","324.48"
"1997/10","21.26","19.06","13.04","2,050.70","323.88"
"1997/11","20.07","18.51","13.04","1,918.50","305.35"
"1997/12","18.31","16.35","13.04","1,761.45","287.62"
"1998/01","16.75","13.70","13.41","1,687.60","289.50"
"1998/02","16.06","12.44","13.41","1,664.00","297.46"
"1998/03","15.02","11.51","13.41","1,747.16","295.95"
"1998/04","15.25","12.23","13.41","1,800.13","308.29"
"1998/05","14.85","12.76","13.41","1,731.66","298.98"
"1998/06","13.66","11.91","13.41","1,656.60","292.54"
