"시점","재별 및 상품군별",계절조정지수
"1995.01","내구재",26.3
"1995.02","내구재",25.8
"1995.03","내구재",26.0
"1995.04","내구재",26.7
"1995.05","내구재",24.7
"1995.06","내구재",25.1
"1995.07","내구재",26.7
"1995.08","내구재",25.8
"1995.09","내구재",26.4
"1995.10","내구재",26.7
"1995.11","내구재",26.0
"1995.12","내구재",30.0
"1996.01","내구재",27.8
"1996.02","내구재",27.6
"1996.03","내구재",28.0
"1996.04","내구재",28.2
"1996.05","내구재",30.1
"1996.06","내구재",29.6
"1996.07","내구재",28.3
"1996.08","내구재",28.2
"1996.09","내구재",28.0
"1996.10","내구재",28.2
"1996.11","내구재",30.2
"1996.12","내구재",30.4
"1997.01","내구재",23.9
"1997.02","내구재",29.4
"1997.03","내구재",28.0
"1997.04","내구재",31.1
"1997.05","내구재",31.3
"1997.06","내구재",28.9
"1997.07","내구재",31.1
"1997.08","내구재",32.8
"1997.09","내구재",31.3
"1997.10","내구재",27.9
"1997.11","내구재",27.7
"1997.12","내구재",22.4
"1998.01","내구재",18.7
"1998.02","내구재",19.2
"1998.03","내구재",19.0
"1998.04","내구재",19.0
"1998.05","내구재",17.7
"1998.06","내구재",17.7
"1998.07","내구재",17.4
"1998.08","내구재",17.4
"1998.09","내구재",18.5
"1998.10","내구재",20.1
"1998.11","내구재",19.7
"1998.12","내구재",20.3
"1999.01","내구재",21.5
"1999.02","내구재",21.9
"1999.03","내구재",22.5
"1999.04","내구재",22.5
"1999.05","내구재",23.5
"1999.06","내구재",24.2
"1999.07","내구재",25.3
"1999.08","내구재",26.2
"1999.09","내구재",26.4
"1999.10","내구재",29.1
"1999.11","내구재",29.5
"1999.12","내구재",28.6
"2000.01","내구재",31.0
"2000.02","내구재",32.1
"2000.03","내구재",30.9
"2000.04","내구재",30.7
"2000.05","내구재",31.7
"2000.06","내구재",32.7
"2000.07","내구재",34.8
"2000.08","내구재",31.5
"2000.09","내구재",31.0
"2000.10","내구재",30.5
"2000.11","내구재",30.0
"2000.12","내구재",29.6
"2001.01","내구재",29.7
"2001.02","내구재",31.5
"2001.03","내구재",32.8
"2001.04","내구재",33.7
"2001.05","내구재",34.5
"2001.06","내구재",35.6
"2001.07","내구재",34.8
"2001.08","내구재",34.3
"2001.09","내구재",36.5
"2001.10","내구재",35.9
"2001.11","내구재",35.8
"2001.12","내구재",33.1
"2002.01","내구재",39.0
"2002.02","내구재",38.5
"2002.03","내구재",39.6
"2002.04","내구재",39.8
"2002.05","내구재",42.3
"2002.06","내구재",38.6
"2002.07","내구재",39.5
"2002.08","내구재",41.6
"2002.09","내구재",38.2
"2002.10","내구재",38.6
"2002.11","내구재",39.8
"2002.12","내구재",37.4
"2003.01","내구재",38.7
"2003.02","내구재",37.2
"2003.03","내구재",36.4
"2003.04","내구재",36.3
"2003.05","내구재",35.9
"2003.06","내구재",34.5
"2003.07","내구재",34.6
"2003.08","내구재",35.4
"2003.09","내구재",36.6
"2003.10","내구재",35.8
"2003.11","내구재",35.1
"2003.12","내구재",33.2
"2004.01","내구재",37.6
"2004.02","내구재",35.8
"2004.03","내구재",34.9
"2004.04","내구재",36.3
"2004.05","내구재",35.3
"2004.06","내구재",35.9
"2004.07","내구재",36.9
"2004.08","내구재",36.8
"2004.09","내구재",37.6
"2004.10","내구재",38.6
"2004.11","내구재",37.6
"2004.12","내구재",37.8
"2005.01","내구재",36.0
"2005.02","내구재",35.6
"2005.03","내구재",35.9
"2005.04","내구재",36.9
"2005.05","내구재",37.0
"2005.06","내구재",37.0
"2005.07","내구재",39.4
"2005.08","내구재",38.2
"2005.09","내구재",37.5
"2005.10","내구재",38.5
"2005.11","내구재",40.5
"2005.12","내구재",42.9
"2006.01","내구재",40.4
"2006.02","내구재",41.1
"2006.03","내구재",40.7
"2006.04","내구재",40.9
"2006.05","내구재",41.2
"2006.06","내구재",41.4
"2006.07","내구재",38.3
"2006.08","내구재",41.9
"2006.09","내구재",43.9
"2006.10","내구재",44.2
"2006.11","내구재",44.2
"2006.12","내구재",52.8
"2007.01","내구재",45.3
"2007.02","내구재",46.3
"2007.03","내구재",46.0
"2007.04","내구재",44.9
"2007.05","내구재",46.0
"2007.06","내구재",45.2
"2007.07","내구재",45.1
"2007.08","내구재",46.3
"2007.09","내구재",46.1
"2007.10","내구재",44.8
"2007.11","내구재",45.4
"2007.12","내구재",46.2
"2008.01","내구재",48.7
"2008.02","내구재",47.0
"2008.03","내구재",50.6
"2008.04","내구재",50.4
"2008.05","내구재",49.1
