"시점",계
"시점",고용률 (%)
"1999.06",56.8
"1999.07",56.7
"1999.08",57.3
"1999.09",58.0
"1999.10",58.2
"1999.11",58.3
"1999.12",58.1
"2000.01",57.8
"2000.02",57.9
"2000.03",58.1
"2000.04",58.2
"2000.05",58.4
"2000.06",58.5
"2000.07",58.9
"2000.08",58.9
"2000.09",58.8
"2000.10",59.0
"2000.11",58.8
"2000.12",58.5
"2001.01",57.9
"2001.02",57.8
"2001.03",58.1
"2001.04",59.1
"2001.05",59.3
"2001.06",59.2
"2001.07",59.3
"2001.08",59.4
"2001.09",59.5
"2001.10",59.5
"2001.11",59.6
"2001.12",59.6
"2002.01",59.7
"2002.02",60.0
"2002.03",59.9
"2002.04",60.2
"2002.05",60.1
"2002.06",60.2
"2002.07",60.2
"2002.08",60.1
"2002.09",60.3
"2002.10",60.1
"2002.11",59.9
"2002.12",60.2
"2003.01",59.7
"2003.02",59.6
"2003.03",59.5
"2003.04",59.2
"2003.05",59.2
"2003.06",59.2
"2003.07",59.4
"2003.08",59.3
"2003.09",59.2
"2003.10",59.4
"2003.11",59.4
"2003.12",59.7
"2004.01",60.2
"2004.02",60.5
"2004.03",60.4
"2004.04",60.2
"2004.05",59.8
"2004.06",59.9
"2004.07",59.7
"2004.08",59.5
"2004.09",60.1
"2004.10",60.1
"2004.11",59.9
"2004.12",60.3
"2005.01",60.0
"2005.02",60.0
"2005.03",60.2
"2005.04",59.9
"2005.05",59.9
"2005.06",59.9
"2005.07",59.8
"2005.08",59.7
"2005.09",59.7
"2005.10",59.8
"2005.11",59.9
"2005.12",59.9
"2006.01",60.2
"2006.02",60.1
"2006.03",60.1
"2006.04",60.0
"2006.05",60.0
"2006.06",60.0
"2006.07",59.9
"2006.08",59.9
"2006.09",59.9
"2006.10",59.9
"2006.11",60.1
"2006.12",60.2
"2007.01",60.3
"2007.02",60.3
"2007.03",60.3
"2007.04",60.2
"2007.05",60.1
"2007.06",60.1
"2007.07",60.1
"2007.08",60.0
"2007.09",60.0
"2007.10",60.0
"2007.11",60.1
"2007.12",60.1
"2008.01",60.2
"2008.02",60.1
"2008.03",60.0
"2008.04",60.0
"2008.05",59.9
"2008.06",59.8
"2008.07",59.8
"2008.08",59.6
"2008.09",59.5
"2008.10",59.5
"2008.11",59.5
"2008.12",59.3
"2009.01",59.1
"2009.02",58.9
"2009.03",58.7
"2009.04",58.7
"2009.05",58.5
"2009.06",59.0
"2009.07",58.7
"2009.08",58.8
"2009.09",58.9
"2009.10",58.8
"2009.11",58.7
"2009.12",58.5
"2010.01",58.3
"2010.02",58.4
"2010.03",58.6
"2010.04",59.0
"2010.05",59.2
"2010.06",59.1
"2010.07",59.2
"2010.08",59.0
"2010.09",58.8
"2010.10",58.9
"2010.11",58.8
"2010.12",59.0
"2011.01",58.5
"2011.02",59.0
"2011.03",59.2
"2011.04",59.3
"2011.05",59.5
"2011.06",59.6
"2011.07",59.4
"2011.08",59.5
"2011.09",58.8
"2011.10",59.5
"2011.11",59.4
"2011.12",59.4
"2012.01",59.2
"2012.02",59.4
"2012.03",59.6
"2012.04",59.7
"2012.05",60.0
"2012.06",59.8
"2012.07",59.8
"2012.08",59.6
"2012.09",59.7
"2012.10",59.7
"2012.11",59.5
"2012.12",59.3
"2013.01",59.3
"2013.02",59.1
"2013.03",59.4
"2013.04",59.8
"2013.05",59.8
"2013.06",59.9
"2013.07",59.9
"2013.08",59.9
"2013.09",60.1
"2013.10",60.2
"2013.11",60.2
"2013.12",60.1
"2014.01",60.4
"2014.02",60.6
"2014.03",60.4
"2014.04",60.7
"2014.05",60.3
"2014.06",60.3
"2014.07",60.5
"2014.08",60.7
"2014.09",60.6
"2014.10",60.5
"2014.11",60.6
"2014.12",60.4
"2015.01",60.6
"2015.02",60.7
"2015.03",60.4
"2015.04",60.4
"2015.05",60.4
"2015.06",60.3
"2015.07",60.5
"2015.08",60.5
"2015.09",60.6
"2015.10",60.6
"2015.11",60.5
"2015.12",60.8
"2016.01",60.7
"2016.02",60.5
"2016.03",60.3
"2016.04",60.3
"2016.05",60.4
"2016.06",60.5
"2016.07",60.5
"2016.08",60.8
"2016.09",60.6
"2016.10",60.6
"2016.11",60.7
"2016.12",60.9
"2017.01",60.7
"2017.02",60.8
"2017.03",60.9
"2017.04",60.8
"2017.05",60.8
"2017.06",60.7
"2017.07",60.8
"2017.08",60.8
"2017.09",60.9
"2017.10",60.9
"2017.11",60.8
"2017.12",61.1
"2018.01",61.1
"2018.02",60.6
"2018.03",60.8
"2018.04",60.8
"2018.05",60.6
"2018.06",60.7
"2018.07",60.6
"2018.08",60.4
"2018.09",60.6
"2018.10",60.7
"2018.11",60.9
"2018.12",60.8
"2019.01",60.8
"2019.02",60.8
"2019.03",60.9
"2019.04",60.7
"2019.05",60.8
"2019.06",60.8
"2019.07",60.8
"2019.08",61.0
"2019.09",61.0
"2019.10",61.1
"2019.11",61.1
"2019.12",61.5
"2020.01",61.7
"2020.02",61.5
"2020.03",60.0
"2020.04",59.3
"2020.05",59.5
"2020.06",59.7
"2020.07",59.8
"2020.08",60.0
"2020.09",59.8
"2020.10",59.9
"2020.11",60.2
"2020.12",59.8
"2021.01",59.1
"2021.02",59.9
"2021.03",60.3
"2021.04",60.4
"2021.05",60.4
"2021.06",60.6
"2021.07",60.6
"2021.08",60.7
"2021.09",60.9
"2021.10",60.9
"2021.11",61.0
"2021.12",61.2
"2022.01",61.3
"2022.02",62.0
"2022.03",61.8
