변환,원자료
"1988/01","9.54"
"1988/02","9.94"
"1988/03","11.60"
"1988/04","11.13"
"1988/05","11.27"
"1988/06","11.96"
"1988/07","12.57"
"1988/08","12.16"
"1988/09","12.58"
"1988/10","12.31"
"1988/11","13.10"
"1988/12","14.89"
"1989/01","10.54"
"1989/02","10.41"
"1989/03","12.88"
"1989/04","11.42"
"1989/05","11.87"
"1989/06","12.82"
"1989/07","12.28"
"1989/08","12.63"
"1989/09","12.83"
"1989/10","12.32"
"1989/11","13.02"
"1989/12","13.95"
"1990/01","9.48"
"1990/02","10.98"
"1990/03","12.58"
"1990/04","11.64"
"1990/05","12.40"
"1990/06","13.03"
"1990/07","12.81"
"1990/08","12.44"
"1990/09","14.21"
"1990/10","11.88"
"1990/11","13.66"
"1990/12","15.10"
"1991/01","11.12"
"1991/02","11.47"
"1991/03","13.18"
"1991/04","13.43"
"1991/05","14.00"
"1991/06","14.78"
"1991/07","13.21"
"1991/08","13.13"
"1991/09","13.31"
"1991/10","14.83"
"1991/11","14.53"
"1991/12","16.37"
"1992/01","12.83"
"1992/02","11.91"
"1992/03","14.45"
"1992/04","14.66"
"1992/05","14.48"
"1992/06","15.86"
"1992/07","15.06"
"1992/08","14.25"
"1992/09","14.71"
"1992/10","15.84"
"1992/11","14.64"
"1992/12","16.50"
"1993/01","12.40"
"1993/02","13.85"
"1993/03","15.94"
"1993/04","15.88"
"1993/05","15.38"
"1993/06","16.39"
"1993/07","15.94"
"1993/08","15.04"
"1993/09","16.60"
"1993/10","15.73"
"1993/11","16.18"
"1993/12","18.08"
"1994/01","14.15"
"1994/02","13.88"
"1994/03","17.66"
"1994/04","17.43"
"1994/05","17.82"
"1994/06","19.03"
"1994/07","18.18"
"1994/08","17.77"
"1994/09","18.79"
"1994/10","20.14"
"1994/11","20.91"
"1994/12","23.63"
"1995/01","18.13"
"1995/02","19.38"
"1995/03","23.17"
"1995/04","22.81"
"1995/05","23.86"
"1995/06","24.88"
"1995/07","24.12"
"1995/08","23.72"
"1995/09","24.10"
"1995/10","25.91"
"1995/11","25.57"
"1995/12","26.29"
"1996/01","23.12"
"1996/02","22.38"
"1996/03","25.47"
"1996/04","24.29"
"1996/05","24.24"
"1996/06","23.89"
"1996/07","22.58"
"1996/08","21.88"
"1996/09","22.79"
"1996/10","25.50"
"1996/11","25.61"
"1996/12","27.07"
"1997/01","21.21"
"1997/02","21.31"
"1997/03","25.53"
"1997/04","25.98"
"1997/05","27.13"
"1997/06","27.87"
"1997/07","26.51"
"1997/08","25.03"
"1997/09","25.52"
"1997/10","27.82"
"1997/11","26.48"
"1997/12","26.90"
"1998/01","21.36"
"1998/02","25.77"
"1998/03","27.29"
"1998/04","26.47"
"1998/05","26.24"
"1998/06","24.57"
"1998/07","23.57"
"1998/08","21.89"
"1998/09","24.66"
"1998/10","24.68"
"1998/11","25.41"
"1998/12","26.69"
"1999/01","22.13"
"1999/02","21.93"
"1999/03","26.84"
"1999/04","26.21"
"1999/05","26.52"
"1999/06","28.64"
"1999/07","27.92"
"1999/08","26.29"
"1999/09","28.04"
"1999/10","31.69"
"1999/11","32.07"
"1999/12","32.74"
"2000/01","28.92"
"2000/02","28.88"
"2000/03","33.15"
"2000/04","31.13"
