"시점",전국,전국
"시점",제조업,제조업
"시점",생산자제품 출하지수(계절조정),생산자제품 재고지수(계절조정)
"1975.01",-,-
"1975.02",-,-
"1975.03",-,-
"1975.04",-,-
"1975.05",-,-
"1975.06",-,-
"1975.07",-,-
"1975.08",-,-
"1975.09",-,-
"1975.10",-,-
"1975.11",-,-
"1975.12",-,-
"1976.01",-,-
"1976.02",-,-
"1976.03",-,-
"1976.04",-,-
"1976.05",-,-
"1976.06",-,-
"1976.07",-,-
"1976.08",-,-
"1976.09",-,-
"1976.10",-,-
"1976.11",-,-
"1976.12",-,-
"1977.01",-,-
"1977.02",-,-
"1977.03",-,-
"1977.04",-,-
"1977.05",-,-
"1977.06",-,-
"1977.07",-,-
"1977.08",-,-
"1977.09",-,-
"1977.10",-,-
"1977.11",-,-
"1977.12",-,-
"1978.01",-,-
"1978.02",-,-
"1978.03",-,-
"1978.04",-,-
"1978.05",-,-
"1978.06",-,-
"1978.07",-,-
"1978.08",-,-
"1978.09",-,-
"1978.10",-,-
"1978.11",-,-
"1978.12",-,-
"1979.01",-,-
"1979.02",-,-
"1979.03",-,-
"1979.04",-,-
"1979.05",-,-
"1979.06",-,-
"1979.07",-,-
"1979.08",-,-
"1979.09",-,-
"1979.10",-,-
"1979.11",-,-
"1979.12",-,-
"1980.01",7.013,6.901
"1980.02",6.818,6.653
"1980.03",6.747,7.150
"1980.04",6.552,7.352
"1980.05",6.552,7.901
"1980.06",6.613,8.201
"1980.07",6.818,8.155
"1980.08",6.818,8.449
"1980.09",6.818,8.404
"1980.10",7.085,8.351
"1980.11",7.147,8.404
"1980.12",7.217,7.953
"1981.01",7.280,7.953
"1981.02",7.147,8.005
"1981.03",7.608,8.201
"1981.04",7.608,8.404
"1981.05",7.475,8.501
"1981.06",7.608,8.553
"1981.07",7.608,8.553
"1981.08",7.945,8.704
"1981.09",7.742,9.050
"1981.10",7.812,9.252
"1981.11",7.875,9.455
"1981.12",7.875,9.455
"1982.01",7.342,9.605
"1982.02",7.546,9.755
"1982.03",7.679,9.951
"1982.04",7.679,10.252
"1982.05",7.812,10.153
"1982.06",7.812,10.003
"1982.07",7.945,10.101
"1982.08",7.875,9.703
"1982.09",8.203,9.651
"1982.10",8.140,9.755
"1982.11",8.140,9.905
"1982.12",8.337,9.605
"1983.01",8.203,10.055
"1983.02",8.540,9.951
"1983.03",8.602,9.951
"1983.04",8.869,9.755
"1983.05",9.269,9.651
"1983.06",9.330,9.651
"1983.07",9.330,9.800
"1983.08",9.534,9.853
"1983.09",9.659,9.951
"1983.10",9.659,10.003
"1983.11",9.792,9.951
"1983.12",9.659,9.755
"1984.01",9.925,10.003
"1984.02",10.059,10.206
"1984.03",10.191,10.303
"1984.04",10.396,10.506
"1984.05",10.520,10.551
"1984.06",10.520,10.852
"1984.07",10.653,10.956
"1984.08",10.724,11.204
"1984.09",10.396,11.407
"1984.10",10.786,11.453
"1984.11",10.858,11.453
"1984.12",10.786,11.453
"1985.01",10.191,11.354
"1985.02",10.591,11.602
"1985.03",10.520,11.707
"1985.04",10.919,11.805
"1985.05",10.786,12.054
"1985.06",10.724,12.054
"1985.07",10.786,11.707
"1985.08",10.919,12.054
"1985.09",11.053,12.106
"1985.10",11.248,12.106
"1985.11",11.319,11.707
"1985.12",11.985,11.858
"1986.01",11.985,12.405
"1986.02",12.047,12.902
