REF_AREA,TIME_PERIOD,OBS_VALUE
AUS,Jan-70,100.967
AUS,Feb-70,100.6905
AUS,Mar-70,100.3752
AUS,Apr-70,100.0545
AUS,May-70,99.79275
AUS,Jun-70,99.6207
AUS,Jul-70,99.53503
AUS,Aug-70,99.51836
AUS,Sep-70,99.53757
AUS,Oct-70,99.55549
AUS,Nov-70,99.53333
AUS,Dec-70,99.45742
AUS,Jan-71,99.34007
AUS,Feb-71,99.20069
AUS,Mar-71,99.06567
AUS,Apr-71,98.94234
AUS,May-71,98.82066
AUS,Jun-71,98.70296
AUS,Jul-71,98.57466
AUS,Aug-71,98.43666
AUS,Sep-71,98.31357
AUS,Oct-71,98.23303
AUS,Nov-71,98.23286
AUS,Dec-71,98.32041
AUS,Jan-72,98.50609
AUS,Feb-72,98.80254
AUS,Mar-72,99.20437
AUS,Apr-72,99.67415
AUS,May-72,100.1788
AUS,Jun-72,100.6816
AUS,Jul-72,101.1753
AUS,Aug-72,101.6775
AUS,Sep-72,102.1607
AUS,Oct-72,102.5985
AUS,Nov-72,102.9904
AUS,Dec-72,103.3129
AUS,Jan-73,103.5661
AUS,Feb-73,103.7408
AUS,Mar-73,103.8665
AUS,Apr-73,103.9252
AUS,May-73,103.9173
AUS,Jun-73,103.8339
AUS,Jul-73,103.6743
AUS,Aug-73,103.4311
AUS,Sep-73,103.0901
AUS,Oct-73,102.6939
AUS,Nov-73,102.2675
AUS,Dec-73,101.8327
AUS,Jan-74,101.3964
AUS,Feb-74,100.9126
AUS,Mar-74,100.3456
AUS,Apr-74,99.68446
AUS,May-74,98.93223
AUS,Jun-74,98.12276
AUS,Jul-74,97.34287
AUS,Aug-74,96.6817
AUS,Sep-74,96.22737
AUS,Oct-74,96.01044
AUS,Nov-74,96.03024
AUS,Dec-74,96.25276
AUS,Jan-75,96.6193
AUS,Feb-75,97.06353
AUS,Mar-75,97.51752
AUS,Apr-75,97.93571
AUS,May-75,98.29093
AUS,Jun-75,98.57034
AUS,Jul-75,98.76932
AUS,Aug-75,98.92127
AUS,Sep-75,99.05481
AUS,Oct-75,99.20441
AUS,Nov-75,99.37731
AUS,Dec-75,99.58746
AUS,Jan-76,99.81163
AUS,Feb-76,100.0349
AUS,Mar-76,100.2288
AUS,Apr-76,100.3798
AUS,May-76,100.4829
AUS,Jun-76,100.5603
AUS,Jul-76,100.5937
AUS,Aug-76,100.566
AUS,Sep-76,100.4677
AUS,Oct-76,100.2881
AUS,Nov-76,100.0645
AUS,Dec-76,99.83671
AUS,Jan-77,99.62543
AUS,Feb-77,99.43556
AUS,Mar-77,99.27932
AUS,Apr-77,99.15928
AUS,May-77,99.08594
AUS,Jun-77,99.06651
AUS,Jul-77,99.10604
AUS,Aug-77,99.19578
AUS,Sep-77,99.31512
AUS,Oct-77,99.43938
AUS,Nov-77,99.55325
AUS,Dec-77,99.63447
AUS,Jan-78,99.67173
AUS,Feb-78,99.69401
AUS,Mar-78,99.71186
AUS,Apr-78,99.74293
AUS,May-78,99.78508
AUS,Jun-78,99.84081
AUS,Jul-78,99.91409
AUS,Aug-78,100.0191
AUS,Sep-78,100.1524
AUS,Oct-78,100.2955
AUS,Nov-78,100.43
AUS,Dec-78,100.5479
AUS,Jan-79,100.6475
AUS,Feb-79,100.7269
AUS,Mar-79,100.788
AUS,Apr-79,100.8416
AUS,May-79,100.9064
AUS,Jun-79,100.9802
AUS,Jul-79,101.0863
AUS,Aug-79,101.2148
AUS,Sep-79,101.3584
AUS,Oct-79,101.4762
AUS,Nov-79,101.553
AUS,Dec-79,101.5831
AUS,Jan-80,101.5699
AUS,Feb-80,101.5238
AUS,Mar-80,101.4556
AUS,Apr-80,101.4037
AUS,May-80,101.4038
AUS,Jun-80,101.4745
AUS,Jul-80,101.5879
AUS,Aug-80,101.7289
AUS,Sep-80,101.8764
AUS,Oct-80,102.0138
AUS,Nov-80,102.1042
AUS,Dec-80,102.1293
AUS,Jan-81,102.1046
AUS,Feb-81,102.0439
AUS,Mar-81,101.9646
AUS,Apr-81,101.846
AUS,May-81,101.6643
AUS,Jun-81,101.4004
AUS,Jul-81,101.0691
AUS,Aug-81,100.7053
AUS,Sep-81,100.3073
AUS,Oct-81,99.89107
AUS,Nov-81,99.46626
AUS,Dec-81,99.02622
AUS,Jan-82,98.56686
AUS,Feb-82,98.10297
AUS,Mar-82,97.66151
AUS,Apr-82,97.26028
AUS,May-82,96.91254
AUS,Jun-82,96.64566
AUS,Jul-82,96.4612
AUS,Aug-82,96.34692
AUS,Sep-82,96.29405
AUS,Oct-82,96.28895
AUS,Nov-82,96.3424
AUS,Dec-82,96.46628
AUS,Jan-83,96.68221
AUS,Feb-83,97.00479
AUS,Mar-83,97.44248
AUS,Apr-83,97.96679
AUS,May-83,98.52569
AUS,Jun-83,99.06898
AUS,Jul-83,99.59853
AUS,Aug-83,100.1119
AUS,Sep-83,100.5838
AUS,Oct-83,100.9848
AUS,Nov-83,101.2817
AUS,Dec-83,101.4557
AUS,Jan-84,101.5049
AUS,Feb-84,101.45
AUS,Mar-84,101.327
AUS,Apr-84,101.1708
AUS,May-84,101.0079
AUS,Jun-84,100.8911
AUS,Jul-84,100.8267
AUS,Aug-84,100.7912
AUS,Sep-84,100.7637
AUS,Oct-84,100.7172
AUS,Nov-84,100.6632
AUS,Dec-84,100.6092
AUS,Jan-85,100.5775
AUS,Feb-85,100.5846
AUS,Mar-85,100.6404
AUS,Apr-85,100.7365
AUS,May-85,100.8139
AUS,Jun-85,100.8571
AUS,Jul-85,100.8518
AUS,Aug-85,100.796
AUS,Sep-85,100.6687
AUS,Oct-85,100.4804
AUS,Nov-85,100.2565
AUS,Dec-85,100.0207
AUS,Jan-86,99.7974
AUS,Feb-86,99.56754
AUS,Mar-86,99.33762
AUS,Apr-86,99.11887
AUS,May-86,98.93191
AUS,Jun-86,98.79456
AUS,Jul-86,98.73708
AUS,Aug-86,98.7868
AUS,Sep-86,98.94752
AUS,Oct-86,99.17855
AUS,Nov-86,99.42166
AUS,Dec-86,99.63898
AUS,Jan-87,99.84322
AUS,Feb-87,100.0622
AUS,Mar-87,100.3122
AUS,Apr-87,100.5803
AUS,May-87,100.844
AUS,Jun-87,101.0711
AUS,Jul-87,101.2288
AUS,Aug-87,101.2778
AUS,Sep-87,101.2076
AUS,Oct-87,101.094
AUS,Nov-87,101.0077
AUS,Dec-87,101.0045
AUS,Jan-88,101.0814
AUS,Feb-88,101.2053
AUS,Mar-88,101.3733
AUS,Apr-88,101.5692
AUS,May-88,101.7737
AUS,Jun-88,101.9788
AUS,Jul-88,102.1659
AUS,Aug-88,102.2994
AUS,Sep-88,102.3456
AUS,Oct-88,102.2814
AUS,Nov-88,102.1138
AUS,Dec-88,101.8714
AUS,Jan-89,101.5813
AUS,Feb-89,101.2971
AUS,Mar-89,101.0408
AUS,Apr-89,100.8038
AUS,May-89,100.5853
AUS,Jun-89,100.3926
AUS,Jul-89,100.2177
AUS,Aug-89,100.0492
AUS,Sep-89,99.87304
AUS,Oct-89,99.67859
AUS,Nov-89,99.47307
AUS,Dec-89,99.25524
AUS,Jan-90,99.02966
AUS,Feb-90,98.81084
AUS,Mar-90,98.6011
AUS,Apr-90,98.39924
AUS,May-90,98.21242
AUS,Jun-90,98.02405
AUS,Jul-90,97.82461
AUS,Aug-90,97.62053
AUS,Sep-90,97.43546
AUS,Oct-90,97.30351
AUS,Nov-90,97.24848
AUS,Dec-90,97.2853
AUS,Jan-91,97.42417
AUS,Feb-91,97.66248
AUS,Mar-91,97.97606
AUS,Apr-91,98.31973
AUS,May-91,98.64834
AUS,Jun-91,98.93107
AUS,Jul-91,99.15718
AUS,Aug-91,99.32338
AUS,Sep-91,99.4298
AUS,Oct-91,99.49895
AUS,Nov-91,99.54228
AUS,Dec-91,99.58073
AUS,Jan-92,99.62183
AUS,Feb-92,99.67782
AUS,Mar-92,99.75768
AUS,Apr-92,99.84895
AUS,May-92,99.9209
AUS,Jun-92,99.95689
AUS,Jul-92,99.97049
AUS,Aug-92,99.99152
AUS,Sep-92,100.0388
AUS,Oct-92,100.1221
AUS,Nov-92,100.2384
AUS,Dec-92,100.3687
AUS,Jan-93,100.4901
AUS,Feb-93,100.588
AUS,Mar-93,100.6755
AUS,Apr-93,100.768
AUS,May-93,100.8634
AUS,Jun-93,100.9688
AUS,Jul-93,101.094
AUS,Aug-93,101.2469
AUS,Sep-93,101.4376
AUS,Oct-93,101.656
AUS,Nov-93,101.8816
AUS,Dec-93,102.099
AUS,Jan-94,102.2792
AUS,Feb-94,102.3758
AUS,Mar-94,102.3776
AUS,Apr-94,102.324
AUS,May-94,102.2382
AUS,Jun-94,102.1313
AUS,Jul-94,102.0007
AUS,Aug-94,101.8322
AUS,Sep-94,101.598
AUS,Oct-94,101.2992
