REF_AREA,TIME_PERIOD,OBS_VALUE
BRA,Jan-89,99.86559
BRA,Feb-89,100.0869
BRA,Mar-89,100.3051
BRA,Apr-89,100.4663
BRA,May-89,100.5205
BRA,Jun-89,100.467
BRA,Jul-89,100.3176
BRA,Aug-89,100.0987
BRA,Sep-89,99.82977
BRA,Oct-89,99.54015
BRA,Nov-89,99.26688
BRA,Dec-89,99.04082
BRA,Jan-90,98.89491
BRA,Feb-90,98.85478
BRA,Mar-90,98.90935
BRA,Apr-90,99.03199
BRA,May-90,99.18459
BRA,Jun-90,99.3278
BRA,Jul-90,99.42859
BRA,Aug-90,99.46313
BRA,Sep-90,99.46156
BRA,Oct-90,99.46662
BRA,Nov-90,99.51453
BRA,Dec-90,99.60045
BRA,Jan-91,99.70856
BRA,Feb-91,99.8146
BRA,Mar-91,99.88898
BRA,Apr-91,99.89776
BRA,May-91,99.8035
BRA,Jun-91,99.60298
BRA,Jul-91,99.30156
BRA,Aug-91,98.91588
BRA,Sep-91,98.50979
BRA,Oct-91,98.15633
BRA,Nov-91,97.91452
BRA,Dec-91,97.79224
BRA,Jan-92,97.78738
BRA,Feb-92,97.88308
BRA,Mar-92,98.0306
BRA,Apr-92,98.18116
BRA,May-92,98.29905
BRA,Jun-92,98.39257
BRA,Jul-92,98.47997
BRA,Aug-92,98.58924
BRA,Sep-92,98.73193
BRA,Oct-92,98.91399
BRA,Nov-92,99.13348
BRA,Dec-92,99.36021
BRA,Jan-93,99.55931
BRA,Feb-93,99.70743
BRA,Mar-93,99.79634
BRA,Apr-93,99.83023
BRA,May-93,99.82212
BRA,Jun-93,99.79245
BRA,Jul-93,99.76476
BRA,Aug-93,99.76154
BRA,Sep-93,99.79608
BRA,Oct-93,99.87912
BRA,Nov-93,100.0158
BRA,Dec-93,100.1852
BRA,Jan-94,100.3651
BRA,Feb-94,100.5358
BRA,Mar-94,100.6899
BRA,Apr-94,100.8213
BRA,May-94,100.9282
BRA,Jun-94,101.0281
BRA,Jul-94,101.1282
BRA,Aug-94,101.2175
BRA,Sep-94,101.2692
BRA,Oct-94,101.2519
BRA,Nov-94,101.1418
BRA,Dec-94,100.9353
BRA,Jan-95,100.6372
BRA,Feb-95,100.2587
BRA,Mar-95,99.84017
BRA,Apr-95,99.42243
BRA,May-95,99.03772
BRA,Jun-95,98.71732
BRA,Jul-95,98.49081
BRA,Aug-95,98.36658
BRA,Sep-95,98.33547
BRA,Oct-95,98.37793
BRA,Nov-95,98.47424
BRA,Dec-95,98.62231
BRA,Jan-96,98.81312
BRA,Feb-96,99.03227
BRA,Mar-96,99.26015
BRA,Apr-96,99.4828
BRA,May-96,99.68567
BRA,Jun-96,99.85802
BRA,Jul-96,99.99393
BRA,Aug-96,100.0912
BRA,Sep-96,100.1769
BRA,Oct-96,100.275
BRA,Nov-96,100.3965
BRA,Dec-96,100.5335
BRA,Jan-97,100.6686
BRA,Feb-97,100.774
BRA,Mar-97,100.8424
BRA,Apr-97,100.865
BRA,May-97,100.8301
BRA,Jun-97,100.7394
BRA,Jul-97,100.5938
BRA,Aug-97,100.3954
BRA,Sep-97,100.1414
BRA,Oct-97,99.83096
BRA,Nov-97,99.47628
BRA,Dec-97,99.134
BRA,Jan-98,98.86705
BRA,Feb-98,98.71925
BRA,Mar-98,98.66125
BRA,Apr-98,98.63339
BRA,May-98,98.57217
BRA,Jun-98,98.43868
BRA,Jul-98,98.21621
BRA,Aug-98,97.9191
BRA,Sep-98,97.60694
BRA,Oct-98,97.36729
BRA,Nov-98,97.26073
BRA,Dec-98,97.29568
BRA,Jan-99,97.45486
BRA,Feb-99,97.71662
BRA,Mar-99,98.0694
BRA,Apr-99,98.48627
BRA,May-99,98.92621
BRA,Jun-99,99.3364
BRA,Jul-99,99.68307
BRA,Aug-99,99.94672
BRA,Sep-99,100.1405
BRA,Oct-99,100.2804
BRA,Nov-99,100.3836
BRA,Dec-99,100.4751
BRA,Jan-00,100.5717
BRA,Feb-00,100.6858
BRA,Mar-00,100.8096
