REF_AREA,TIME_PERIOD,OBS_VALUE
CAN,Jan-70,98.57915
CAN,Feb-70,98.2908
CAN,Mar-70,98.01544
CAN,Apr-70,97.77031
CAN,May-70,97.58097
CAN,Jun-70,97.45857
CAN,Jul-70,97.38885
CAN,Aug-70,97.38145
CAN,Sep-70,97.44299
CAN,Oct-70,97.60614
CAN,Nov-70,97.89931
CAN,Dec-70,98.32285
CAN,Jan-71,98.82125
CAN,Feb-71,99.33192
CAN,Mar-71,99.79026
CAN,Apr-71,100.1762
CAN,May-71,100.4789
CAN,Jun-71,100.7024
CAN,Jul-71,100.8558
CAN,Aug-71,100.9492
CAN,Sep-71,101.0034
CAN,Oct-71,101.0584
CAN,Nov-71,101.166
CAN,Dec-71,101.3394
CAN,Jan-72,101.5414
CAN,Feb-72,101.7265
CAN,Mar-72,101.8829
CAN,Apr-72,102.0208
CAN,May-72,102.1529
CAN,Jun-72,102.2973
CAN,Jul-72,102.4884
CAN,Aug-72,102.7564
CAN,Sep-72,103.0784
CAN,Oct-72,103.4111
CAN,Nov-72,103.7094
CAN,Dec-72,103.9181
CAN,Jan-73,104.0047
CAN,Feb-73,103.9582
CAN,Mar-73,103.7958
CAN,Apr-73,103.548
CAN,May-73,103.2618
CAN,Jun-73,102.9898
CAN,Jul-73,102.7664
CAN,Aug-73,102.5947
CAN,Sep-73,102.4893
CAN,Oct-73,102.405
CAN,Nov-73,102.2843
CAN,Dec-73,102.1163
CAN,Jan-74,101.8998
CAN,Feb-74,101.6106
CAN,Mar-74,101.2314
CAN,Apr-74,100.7558
CAN,May-74,100.1984
CAN,Jun-74,99.58453
CAN,Jul-74,98.94288
CAN,Aug-74,98.29301
CAN,Sep-74,97.68371
CAN,Oct-74,97.16618
CAN,Nov-74,96.7882
CAN,Dec-74,96.6033
CAN,Jan-75,96.65443
CAN,Feb-75,96.90885
CAN,Mar-75,97.29329
CAN,Apr-75,97.75786
CAN,May-75,98.24216
CAN,Jun-75,98.70491
CAN,Jul-75,99.10761
CAN,Aug-75,99.42409
CAN,Sep-75,99.65344
CAN,Oct-75,99.82716
CAN,Nov-75,99.97913
CAN,Dec-75,100.1237
CAN,Jan-76,100.2641
CAN,Feb-76,100.3749
CAN,Mar-76,100.4276
CAN,Apr-76,100.4096
CAN,May-76,100.3128
CAN,Jun-76,100.1527
CAN,Jul-76,99.96941
CAN,Aug-76,99.80658
CAN,Sep-76,99.67503
CAN,Oct-76,99.61723
CAN,Nov-76,99.66372
CAN,Dec-76,99.80599
CAN,Jan-77,99.98922
CAN,Feb-77,100.184
CAN,Mar-77,100.3643
CAN,Apr-77,100.5024
CAN,May-77,100.5991
CAN,Jun-77,100.6518
CAN,Jul-77,100.6629
CAN,Aug-77,100.6528
CAN,Sep-77,100.6576
CAN,Oct-77,100.6995
CAN,Nov-77,100.7854
CAN,Dec-77,100.907
CAN,Jan-78,101.0451
CAN,Feb-78,101.2107
CAN,Mar-78,101.4109
CAN,Apr-78,101.631
CAN,May-78,101.8457
CAN,Jun-78,102.032
CAN,Jul-78,102.1814
CAN,Aug-78,102.2936
CAN,Sep-78,102.3712
CAN,Oct-78,102.3941
CAN,Nov-78,102.3671
CAN,Dec-78,102.287
CAN,Jan-79,102.1607
CAN,Feb-79,102.0083
CAN,Mar-79,101.8575
CAN,Apr-79,101.7217
CAN,May-79,101.6049
CAN,Jun-79,101.4984
CAN,Jul-79,101.3855
CAN,Aug-79,101.2531
CAN,Sep-79,101.0844
CAN,Oct-79,100.893
CAN,Nov-79,100.7142
CAN,Dec-79,100.5585
CAN,Jan-80,100.4133
