REF_AREA,TIME_PERIOD,OBS_VALUE
CHN,May-92,101.9408
CHN,Jun-92,102.2039
CHN,Jul-92,102.4199
CHN,Aug-92,102.5848
CHN,Sep-92,102.7015
CHN,Oct-92,102.7749
CHN,Nov-92,102.799
CHN,Dec-92,102.781
CHN,Jan-93,102.7286
CHN,Feb-93,102.6463
CHN,Mar-93,102.5207
CHN,Apr-93,102.3347
CHN,May-93,102.0831
CHN,Jun-93,101.7643
CHN,Jul-93,101.3879
CHN,Aug-93,100.9986
CHN,Sep-93,100.664
CHN,Oct-93,100.4235
CHN,Nov-93,100.2954
CHN,Dec-93,100.2715
CHN,Jan-94,100.3069
CHN,Feb-94,100.3686
CHN,Mar-94,100.434
CHN,Apr-94,100.4829
CHN,May-94,100.4948
CHN,Jun-94,100.4704
CHN,Jul-94,100.4165
CHN,Aug-94,100.3537
CHN,Sep-94,100.308
CHN,Oct-94,100.2959
CHN,Nov-94,100.3357
CHN,Dec-94,100.4281
CHN,Jan-95,100.5781
CHN,Feb-95,100.7696
CHN,Mar-95,100.9561
CHN,Apr-95,101.1254
CHN,May-95,101.2691
CHN,Jun-95,101.3902
CHN,Jul-95,101.5004
CHN,Aug-95,101.5944
CHN,Sep-95,101.6561
CHN,Oct-95,101.6774
CHN,Nov-95,101.6493
CHN,Dec-95,101.5636
CHN,Jan-96,101.4214
CHN,Feb-96,101.2335
CHN,Mar-96,101.0267
CHN,Apr-96,100.8304
CHN,May-96,100.6715
CHN,Jun-96,100.5694
CHN,Jul-96,100.5262
CHN,Aug-96,100.5534
CHN,Sep-96,100.6064
CHN,Oct-96,100.6571
CHN,Nov-96,100.6732
CHN,Dec-96,100.6226
CHN,Jan-97,100.4684
CHN,Feb-97,100.2081
CHN,Mar-97,99.85378
CHN,Apr-97,99.43045
CHN,May-97,98.9738
CHN,Jun-97,98.51734
CHN,Jul-97,98.07937
CHN,Aug-97,97.66956
CHN,Sep-97,97.311
CHN,Oct-97,97.01652
CHN,Nov-97,96.78391
CHN,Dec-97,96.60796
CHN,Jan-98,96.48473
CHN,Feb-98,96.44018
CHN,Mar-98,96.4864
CHN,Apr-98,96.62456
CHN,May-98,96.84622
CHN,Jun-98,97.13303
CHN,Jul-98,97.47179
CHN,Aug-98,97.84586
CHN,Sep-98,98.21727
CHN,Oct-98,98.55208
CHN,Nov-98,98.82052
CHN,Dec-98,99.02131
CHN,Jan-99,99.16609
CHN,Feb-99,99.34702
CHN,Mar-99,99.52007
CHN,Apr-99,99.69626
CHN,May-99,99.87387
CHN,Jun-99,100.0343
CHN,Jul-99,100.1572
CHN,Aug-99,100.22
CHN,Sep-99,100.2083
CHN,Oct-99,100.1324
CHN,Nov-99,100.0187
CHN,Dec-99,99.90685
CHN,Jan-00,99.82037
CHN,Feb-00,99.77231
CHN,Mar-00,99.74886
CHN,Apr-00,99.72824
CHN,May-00,99.6879
CHN,Jun-00,99.61156
CHN,Jul-00,99.48755
CHN,Aug-00,99.33116
CHN,Sep-00,99.15965
CHN,Oct-00,99.00527
CHN,Nov-00,98.88924
CHN,Dec-00,98.81292
CHN,Jan-01,98.7616
CHN,Feb-01,98.72314
CHN,Mar-01,98.68983
CHN,Apr-01,98.64046
CHN,May-01,98.55069
CHN,Jun-01,98.41231
CHN,Jul-01,98.22183
CHN,Aug-01,98.01147
CHN,Sep-01,97.82969
CHN,Oct-01,97.71021
CHN,Nov-01,97.67628
CHN,Dec-01,97.73464
CHN,Jan-02,97.86892
CHN,Feb-02,98.08907
CHN,Mar-02,98.3794
CHN,Apr-02,98.70622
CHN,May-02,99.04324
CHN,Jun-02,99.37451
CHN,Jul-02,99.68752
CHN,Aug-02,99.95335
CHN,Sep-02,100.1641
CHN,Oct-02,100.3252
CHN,Nov-02,100.452
CHN,Dec-02,100.5569
CHN,Jan-03,100.6551
CHN,Feb-03,100.7507
CHN,Mar-03,100.8322
CHN,Apr-03,100.8909
CHN,May-03,100.9272
CHN,Jun-03,100.9386
CHN,Jul-03,100.9356
CHN,Aug-03,100.9365
CHN,Sep-03,100.9594
CHN,Oct-03,101.0147
CHN,Nov-03,101.1049
CHN,Dec-03,101.2127
CHN,Jan-04,101.3041
CHN,Feb-04,101.3222
CHN,Mar-04,101.2291
CHN,Apr-04,101.0319
CHN,May-04,100.7738
CHN,Jun-04,100.5146
CHN,Jul-04,100.3027
CHN,Aug-04,100.1478
CHN,Sep-04,100.0347
CHN,Oct-04,99.94417
CHN,Nov-04,99.86576
CHN,Dec-04,99.79028
CHN,Jan-05,99.71934
CHN,Feb-05,99.6614
CHN,Mar-05,99.62949
CHN,Apr-05,99.63262
CHN,May-05,99.6583
CHN,Jun-05,99.69984
CHN,Jul-05,99.74138
CHN,Aug-05,99.76563
CHN,Sep-05,99.76778
CHN,Oct-05,99.76384
CHN,Nov-05,99.76732
CHN,Dec-05,99.7928
CHN,Jan-06,99.84126
CHN,Feb-06,99.90681
CHN,Mar-06,99.98209
CHN,Apr-06,100.0711
CHN,May-06,100.1705
CHN,Jun-06,100.2737
CHN,Jul-06,100.381
CHN,Aug-06,100.5259
CHN,Sep-06,100.7493
CHN,Oct-06,101.073
CHN,Nov-06,101.4902
CHN,Dec-06,101.9799
CHN,Jan-07,102.5184
CHN,Feb-07,103.0793
CHN,Mar-07,103.649
CHN,Apr-07,104.2207
CHN,May-07,104.7648
CHN,Jun-07,105.259
CHN,Jul-07,105.702
CHN,Aug-07,106.0792
CHN,Sep-07,106.2989
CHN,Oct-07,106.2492
CHN,Nov-07,105.8759
CHN,Dec-07,105.2045
CHN,Jan-08,104.28
CHN,Feb-08,103.1699
CHN,Mar-08,101.9526
CHN,Apr-08,100.6832
CHN,May-08,99.40183
CHN,Jun-08,98.13155
CHN,Jul-08,96.89497
CHN,Aug-08,95.73843
CHN,Sep-08,94.73409
CHN,Oct-08,93.97363
CHN,Nov-08,93.54031
CHN,Dec-08,93.47197
CHN,Jan-09,93.75347
CHN,Feb-09,94.32465
CHN,Mar-09,95.10839
CHN,Apr-09,96.04209
CHN,May-09,97.07235
CHN,Jun-09,98.13455
CHN,Jul-09,99.15283
CHN,Aug-09,100.0505
CHN,Sep-09,100.7992
CHN,Oct-09,101.4005
CHN,Nov-09,101.8464
CHN,Dec-09,102.116
CHN,Jan-10,102.1965
CHN,Feb-10,102.1069
CHN,Mar-10,101.8822
CHN,Apr-10,101.5569
CHN,May-10,101.1765
CHN,Jun-10,100.8105
CHN,Jul-10,100.5271
CHN,Aug-10,100.3681
CHN,Sep-10,100.342
CHN,Oct-10,100.4292
CHN,Nov-10,100.5837
CHN,Dec-10,100.7634
CHN,Jan-11,100.9399
CHN,Feb-11,101.0914
CHN,Mar-11,101.1979
CHN,Apr-11,101.2413
CHN,May-11,101.214
CHN,Jun-11,101.1107
CHN,Jul-11,100.9415
CHN,Aug-11,100.7207
CHN,Sep-11,100.4815
CHN,Oct-11,100.2466
CHN,Nov-11,100.044
CHN,Dec-11,99.89289
CHN,Jan-12,99.80067
CHN,Feb-12,99.74516
CHN,Mar-12,99.69418
CHN,Apr-12,99.64771
CHN,May-12,99.61961
CHN,Jun-12,99.61324
CHN,Jul-12,99.63013
CHN,Aug-12,99.6744
CHN,Sep-12,99.7532
CHN,Oct-12,99.88033
CHN,Nov-12,100.0549
CHN,Dec-12,100.2672
CHN,Jan-13,100.4919
CHN,Feb-13,100.6827
CHN,Mar-13,100.8196
CHN,Apr-13,100.9032
CHN,May-13,100.9509
CHN,Jun-13,100.9867
CHN,Jul-13,101.0222
CHN,Aug-13,101.0588
CHN,Sep-13,101.0853
CHN,Oct-13,101.0864
CHN,Nov-13,101.0474
CHN,Dec-13,100.9623
CHN,Jan-14,100.8308
CHN,Feb-14,100.6729
CHN,Mar-14,100.5034
CHN,Apr-14,100.3389
CHN,May-14,100.1916
CHN,Jun-14,100.0665
CHN,Jul-14,99.97251
CHN,Aug-14,99.91573
CHN,Sep-14,99.88853
CHN,Oct-14,99.90021
CHN,Nov-14,99.95527
CHN,Dec-14,100.0535
CHN,Jan-15,100.1728
CHN,Feb-15,100.3028
CHN,Mar-15,100.4353
CHN,Apr-15,100.5378
CHN,May-15,100.5584
CHN,Jun-15,100.4785
CHN,Jul-15,100.3301
CHN,Aug-15,100.1657
CHN,Sep-15,100.0201
CHN,Oct-15,99.90652
CHN,Nov-15,99.81258
CHN,Dec-15,99.72096
CHN,Jan-16,99.63569
CHN,Feb-16,99.57587
CHN,Mar-16,99.54845
CHN,Apr-16,99.54858
CHN,May-16,99.57275
CHN,Jun-16,99.63062
CHN,Jul-16,99.72692
CHN,Aug-16,99.85082
CHN,Sep-16,99.99939
CHN,Oct-16,100.1533
CHN,Nov-16,100.296
CHN,Dec-16,100.4114
CHN,Jan-17,100.4969
CHN,Feb-17,100.5538
CHN,Mar-17,100.586
CHN,Apr-17,100.6052
CHN,May-17,100.6243
CHN,Jun-17,100.6498
CHN,Jul-17,100.6743
CHN,Aug-17,100.685
CHN,Sep-17,100.6692
CHN,Oct-17,100.622
CHN,Nov-17,100.5425
CHN,Dec-17,100.4341
CHN,Jan-18,100.3139
CHN,Feb-18,100.1862
CHN,Mar-18,100.0525
CHN,Apr-18,99.90244
CHN,May-18,99.72285
CHN,Jun-18,99.50889
CHN,Jul-18,99.27322
CHN,Aug-18,99.0351
CHN,Sep-18,98.81068
CHN,Oct-18,98.60232
CHN,Nov-18,98.42344
CHN,Dec-18,98.29204
CHN,Jan-19,98.23314
CHN,Feb-19,98.25024
CHN,Mar-19,98.32241
CHN,Apr-19,98.41454
CHN,May-19,98.50302
CHN,Jun-19,98.58697
CHN,Jul-19,98.657
CHN,Aug-19,98.70633
CHN,Sep-19,98.73888
CHN,Oct-19,98.77103
CHN,Nov-19,98.83167
CHN,Dec-19,98.93513
CHN,Jan-20,96.75153
CHN,Feb-20,87.59276
CHN,Mar-20,84.4019
CHN,Apr-20,89.91287
CHN,May-20,95.93953
CHN,Jun-20,99.17693
CHN,Jul-20,99.97273
CHN,Aug-20,100.8706
CHN,Sep-20,101.9758
CHN,Oct-20,102.3327
CHN,Nov-20,102.5966
CHN,Dec-20,102.7542
CHN,Jan-21,102.8085
CHN,Feb-21,102.7434
CHN,Mar-21,102.5747
CHN,Apr-21,102.3219
CHN,May-21,102.0014
CHN,Jun-21,101.6243
CHN,Jul-21,101.2083
CHN,Aug-21,100.7935
CHN,Sep-21,100.416
CHN,Oct-21,100.0966
CHN,Nov-21,99.8268
CHN,Dec-21,99.57495
CHN,Jan-22,99.29847
CHN,Feb-22,98.98177
CHN,Mar-22,98.64981
CHN,Apr-22,98.33802
CHN,May-22,98.07855
CHN,Jun-22,97.89124
CHN,Jul-22,97.7802
CHN,Aug-22,97.76793
CHN,Sep-22,97.85987
CHN,Oct-22,98.05393
CHN,Nov-22,98.35928
CHN,Dec-22,98.7701
CHN,Jan-23,99.24833
CHN,Feb-23,99.74464
CHN,Mar-23,100.2143
CHN,Apr-23,100.6305
CHN,May-23,100.9927
CHN,Jun-23,101.3029
CHN,Jul-23,101.5373
CHN,Aug-23,101.6684
CHN,Sep-23,101.6774
CHN,Oct-23,101.57
CHN,Nov-23,101.3629
CHN,Dec-23,101.0797
CHN,Jan-24,100.7444
CHN,Feb-24,100.3831
CHN,Mar-24,100.0238
CHN,Apr-24,99.69282
CHN,May-24,99.4101
CHN,Jun-24,99.18997
CHN,Jul-24,99.05229
CHN,Aug-24,99.02107
CHN,Sep-24,99.10889
CHN,Oct-24,99.29776
CHN,Nov-24,99.53449
CHN,Dec-24,99.77421
CHN,Jan-25,99.97978
CHN,Feb-25,100.1319
CHN,Mar-25,100.2203
CHN,Apr-25,100.2514
CHN,May-25,100.2565
CHN,Jun-25,100.2565
