REF_AREA,TIME_PERIOD,OBS_VALUE
ESP,Jan-85,96.05418
ESP,Feb-85,95.89692
ESP,Mar-85,95.77108
ESP,Apr-85,95.67952
ESP,May-85,95.62953
ESP,Jun-85,95.63074
ESP,Jul-85,95.67446
ESP,Aug-85,95.7466
ESP,Sep-85,95.84319
ESP,Oct-85,95.9575
ESP,Nov-85,96.07845
ESP,Dec-85,96.20893
ESP,Jan-86,96.36406
ESP,Feb-86,96.58407
ESP,Mar-86,96.89843
ESP,Apr-86,97.29769
ESP,May-86,97.76287
ESP,Jun-86,98.25031
ESP,Jul-86,98.6423
ESP,Aug-86,99.00674
ESP,Sep-86,99.32508
ESP,Oct-86,99.58846
ESP,Nov-86,99.79086
ESP,Dec-86,99.93203
ESP,Jan-87,100.0289
ESP,Feb-87,100.1057
ESP,Mar-87,100.1807
ESP,Apr-87,100.2788
ESP,May-87,100.4131
ESP,Jun-87,100.5848
ESP,Jul-87,100.7689
ESP,Aug-87,100.9266
ESP,Sep-87,101.0308
ESP,Oct-87,101.0828
ESP,Nov-87,101.1123
ESP,Dec-87,101.1638
ESP,Jan-88,101.2627
ESP,Feb-88,101.4088
ESP,Mar-88,101.5947
ESP,Apr-88,101.8024
ESP,May-88,102.0115
ESP,Jun-88,102.2131
ESP,Jul-88,102.3984
ESP,Aug-88,102.5568
ESP,Sep-88,102.6683
ESP,Oct-88,102.7406
ESP,Nov-88,102.7843
ESP,Dec-88,102.8162
ESP,Jan-89,102.8454
ESP,Feb-89,102.9496
ESP,Mar-89,103.0789
ESP,Apr-89,103.2479
ESP,May-89,103.455
ESP,Jun-89,103.6827
ESP,Jul-89,103.9003
ESP,Aug-89,104.0824
ESP,Sep-89,104.1972
ESP,Oct-89,104.2263
ESP,Nov-89,104.1577
ESP,Dec-89,103.9979
ESP,Jan-90,103.7579
ESP,Feb-90,103.4764
ESP,Mar-90,103.187
ESP,Apr-90,102.9147
ESP,May-90,102.6672
ESP,Jun-90,102.4327
ESP,Jul-90,102.1836
ESP,Aug-90,101.9011
ESP,Sep-90,101.5961
ESP,Oct-90,101.3112
ESP,Nov-90,101.0834
ESP,Dec-90,100.9249
ESP,Jan-91,100.8431
ESP,Feb-91,100.8601
ESP,Mar-91,100.945
ESP,Apr-91,101.0502
ESP,May-91,101.1591
ESP,Jun-91,101.2449
ESP,Jul-91,101.296
ESP,Aug-91,101.3019
ESP,Sep-91,101.2537
ESP,Oct-91,101.1347
ESP,Nov-91,100.9408
ESP,Dec-91,100.677
ESP,Jan-92,100.3504
ESP,Feb-92,99.9623
ESP,Mar-92,99.51778
ESP,Apr-92,99.03294
ESP,May-92,98.51051
ESP,Jun-92,97.95518
ESP,Jul-92,97.37296
ESP,Aug-92,96.79829
ESP,Sep-92,96.28048
ESP,Oct-92,95.82885
ESP,Nov-92,95.45063
ESP,Dec-92,95.13652
ESP,Jan-93,94.88211
ESP,Feb-93,94.69537
ESP,Mar-93,94.58641
ESP,Apr-93,94.55005
ESP,May-93,94.56006
ESP,Jun-93,94.60185
ESP,Jul-93,94.69854
ESP,Aug-93,94.85552
ESP,Sep-93,95.09799
ESP,Oct-93,95.42136
ESP,Nov-93,95.8276
ESP,Dec-93,96.31276
ESP,Jan-94,96.85744
ESP,Feb-94,97.45085
ESP,Mar-94,98.06405
ESP,Apr-94,98.67914
ESP,May-94,99.27596
ESP,Jun-94,99.81532
ESP,Jul-94,100.264
ESP,Aug-94,100.6019
ESP,Sep-94,100.8118
ESP,Oct-94,100.8867
ESP,Nov-94,100.8457
ESP,Dec-94,100.7039
ESP,Jan-95,100.4909
ESP,Feb-95,100.2499
ESP,Mar-95,100.005
ESP,Apr-95,99.77533
ESP,May-95,99.56042
ESP,Jun-95,99.36234
ESP,Jul-95,99.19606
ESP,Aug-95,99.06786
ESP,Sep-95,98.95872
ESP,Oct-95,98.85858
ESP,Nov-95,98.7725
ESP,Dec-95,98.68832
ESP,Jan-96,98.59958
ESP,Feb-96,98.49768
ESP,Mar-96,98.38723
ESP,Apr-96,98.27254
ESP,May-96,98.16987
ESP,Jun-96,98.08585
ESP,Jul-96,98.03296
ESP,Aug-96,98.03688
ESP,Sep-96,98.10645
ESP,Oct-96,98.2403
ESP,Nov-96,98.42088
ESP,Dec-96,98.63193
ESP,Jan-97,98.84959
ESP,Feb-97,99.05835
ESP,Mar-97,99.26672
ESP,Apr-97,99.48281
ESP,May-97,99.70601
ESP,Jun-97,99.93001
ESP,Jul-97,100.1415
ESP,Aug-97,100.3386
ESP,Sep-97,100.5299
ESP,Oct-97,100.7368
ESP,Nov-97,100.9674
ESP,Dec-97,101.2161
ESP,Jan-98,101.4786
ESP,Feb-98,101.7456
ESP,Mar-98,102.0048
ESP,Apr-98,102.2423
ESP,May-98,102.4562
ESP,Jun-98,102.6489
ESP,Jul-98,102.8289
ESP,Aug-98,103.0025
ESP,Sep-98,103.172
ESP,Oct-98,103.3317
ESP,Nov-98,103.4535
ESP,Dec-98,103.5077
ESP,Jan-99,103.4874
ESP,Feb-99,103.4077
ESP,Mar-99,103.2923
ESP,Apr-99,103.1692
ESP,May-99,103.0679
ESP,Jun-99,103.0062
ESP,Jul-99,102.992
ESP,Aug-99,103.0358
ESP,Sep-99,103.1375
ESP,Oct-99,103.2813
ESP,Nov-99,103.4318
ESP,Dec-99,103.5617
ESP,Jan-00,103.656
ESP,Feb-00,103.6887
ESP,Mar-00,103.6349
ESP,Apr-00,103.4862
ESP,May-00,103.257
ESP,Jun-00,102.9775
ESP,Jul-00,102.673
ESP,Aug-00,102.3673
ESP,Sep-00,102.0827
ESP,Oct-00,101.8353
ESP,Nov-00,101.6246
ESP,Dec-00,101.4325
ESP,Jan-01,101.2449
ESP,Feb-01,101.044
ESP,Mar-01,100.8154
ESP,Apr-01,100.5504
ESP,May-01,100.2585
ESP,Jun-01,99.94864
ESP,Jul-01,99.64228
ESP,Aug-01,99.36129
ESP,Sep-01,99.10612
ESP,Oct-01,98.87253
ESP,Nov-01,98.64142
ESP,Dec-01,98.40216
ESP,Jan-02,98.15361
ESP,Feb-02,97.90642
ESP,Mar-02,97.66869
ESP,Apr-02,97.45268
ESP,May-02,97.26425
ESP,Jun-02,97.10181
ESP,Jul-02,96.97702
ESP,Aug-02,96.89833
ESP,Sep-02,96.86228
ESP,Oct-02,96.83852
ESP,Nov-02,96.8116
ESP,Dec-02,96.77998
ESP,Jan-03,96.77455
ESP,Feb-03,96.81757
ESP,Mar-03,96.9226
ESP,Apr-03,97.09347
ESP,May-03,97.31102
ESP,Jun-03,97.55577
ESP,Jul-03,97.81175
ESP,Aug-03,98.07612
ESP,Sep-03,98.34097
ESP,Oct-03,98.59284
ESP,Nov-03,98.82648
ESP,Dec-03,99.02516
ESP,Jan-04,99.18488
ESP,Feb-04,99.31311
ESP,Mar-04,99.41434
ESP,Apr-04,99.49933
ESP,May-04,99.57426
ESP,Jun-04,99.65063
ESP,Jul-04,99.74564
ESP,Aug-04,99.86779
ESP,Sep-04,100.021
ESP,Oct-04,100.1868
ESP,Nov-04,100.3357
ESP,Dec-04,100.4527
ESP,Jan-05,100.5329
ESP,Feb-05,100.5893
ESP,Mar-05,100.6417
ESP,Apr-05,100.7111
ESP,May-05,100.8042
ESP,Jun-05,100.9232
ESP,Jul-05,101.0635
ESP,Aug-05,101.2172
ESP,Sep-05,101.3734
ESP,Oct-05,101.52
ESP,Nov-05,101.6548
ESP,Dec-05,101.7813
ESP,Jan-06,101.8949
ESP,Feb-06,102.0067
ESP,Mar-06,102.1286
ESP,Apr-06,102.2687
ESP,May-06,102.4374
ESP,Jun-06,102.6509
ESP,Jul-06,102.9234
ESP,Aug-06,103.2551
ESP,Sep-06,103.6261
ESP,Oct-06,104.0046
ESP,Nov-06,104.347
ESP,Dec-06,104.6233
ESP,Jan-07,104.836
ESP,Feb-07,105.0047
ESP,Mar-07,105.1442
ESP,Apr-07,105.2643
ESP,May-07,105.3691
ESP,Jun-07,105.4433
ESP,Jul-07,105.4648
ESP,Aug-07,105.4128
ESP,Sep-07,105.2762
ESP,Oct-07,105.0386
ESP,Nov-07,104.6802
ESP,Dec-07,104.1946
ESP,Jan-08,103.5916
