REF_AREA,TIME_PERIOD,OBS_VALUE
FRA,Jan-70,101.4095
FRA,Feb-70,101.1303
FRA,Mar-70,100.8288
FRA,Apr-70,100.5084
FRA,May-70,100.1929
FRA,Jun-70,99.90211
FRA,Jul-70,99.68079
FRA,Aug-70,99.57948
FRA,Sep-70,99.61682
FRA,Oct-70,99.7702
FRA,Nov-70,100.0022
FRA,Dec-70,100.2413
FRA,Jan-71,100.4231
FRA,Feb-71,100.5326
FRA,Mar-71,100.5544
FRA,Apr-71,100.4966
FRA,May-71,100.3901
FRA,Jun-71,100.2782
FRA,Jul-71,100.1742
FRA,Aug-71,100.0532
FRA,Sep-71,99.92458
FRA,Oct-71,99.81038
FRA,Nov-71,99.75546
FRA,Dec-71,99.77546
FRA,Jan-72,99.88161
FRA,Feb-72,100.0654
FRA,Mar-72,100.3098
FRA,Apr-72,100.6111
FRA,May-72,100.9601
FRA,Jun-72,101.3221
FRA,Jul-72,101.6855
FRA,Aug-72,102.0336
FRA,Sep-72,102.348
FRA,Oct-72,102.6097
FRA,Nov-72,102.807
FRA,Dec-72,102.9612
FRA,Jan-73,103.1014
FRA,Feb-73,103.1933
FRA,Mar-73,103.288
FRA,Apr-73,103.3735
FRA,May-73,103.4378
FRA,Jun-73,103.4697
FRA,Jul-73,103.4403
FRA,Aug-73,103.3244
FRA,Sep-73,103.1304
FRA,Oct-73,102.8537
FRA,Nov-73,102.489
FRA,Dec-73,102.069
FRA,Jan-74,101.6381
FRA,Feb-74,101.1912
FRA,Mar-74,100.7287
FRA,Apr-74,100.2443
FRA,May-74,99.70264
FRA,Jun-74,99.07059
FRA,Jul-74,98.36556
FRA,Aug-74,97.63446
FRA,Sep-74,96.93887
FRA,Oct-74,96.35859
FRA,Nov-74,95.97038
FRA,Dec-74,95.76595
FRA,Jan-75,95.68894
FRA,Feb-75,95.70491
FRA,Mar-75,95.78436
FRA,Apr-75,95.94472
FRA,May-75,96.21002
FRA,Jun-75,96.60779
FRA,Jul-75,97.14268
FRA,Aug-75,97.80993
FRA,Sep-75,98.58177
FRA,Oct-75,99.3969
FRA,Nov-75,100.1574
FRA,Dec-75,100.7935
FRA,Jan-76,101.2686
FRA,Feb-76,101.5756
FRA,Mar-76,101.7606
FRA,Apr-76,101.8414
FRA,May-76,101.8064
FRA,Jun-76,101.6612
FRA,Jul-76,101.4234
FRA,Aug-76,101.1311
FRA,Sep-76,100.8377
FRA,Oct-76,100.5536
FRA,Nov-76,100.3002
FRA,Dec-76,100.0699
FRA,Jan-77,99.8216
FRA,Feb-77,99.51945
FRA,Mar-77,99.18326
FRA,Apr-77,98.87222
FRA,May-77,98.66315
FRA,Jun-77,98.5963
FRA,Jul-77,98.64181
FRA,Aug-77,98.76247
FRA,Sep-77,98.92605
FRA,Oct-77,99.11195
FRA,Nov-77,99.2962
FRA,Dec-77,99.50225
FRA,Jan-78,99.7708
FRA,Feb-78,100.1417
FRA,Mar-78,100.5667
FRA,Apr-78,100.972
FRA,May-78,101.3212
FRA,Jun-78,101.5989
FRA,Jul-78,101.8318
FRA,Aug-78,102.0175
FRA,Sep-78,102.1489
FRA,Oct-78,102.1989
FRA,Nov-78,102.1638
FRA,Dec-78,102.0364
FRA,Jan-79,101.843
FRA,Feb-79,101.6436
FRA,Mar-79,101.4695
FRA,Apr-79,101.357
FRA,May-79,101.3237
FRA,Jun-79,101.3541
FRA,Jul-79,101.4038
FRA,Aug-79,101.4434
FRA,Sep-79,101.4476
FRA,Oct-79,101.4107
FRA,Nov-79,101.3354
FRA,Dec-79,101.2138
FRA,Jan-80,101.0436
FRA,Feb-80,100.8204
FRA,Mar-80,100.5517
FRA,Apr-80,100.257
FRA,May-80,99.95635
FRA,Jun-80,99.71835
FRA,Jul-80,99.5778
FRA,Aug-80,99.51572
FRA,Sep-80,99.50866
FRA,Oct-80,99.53436
FRA,Nov-80,99.56429
FRA,Dec-80,99.58826
FRA,Jan-81,99.6008
FRA,Feb-81,99.62661
FRA,Mar-81,99.67081
FRA,Apr-81,99.72237
FRA,May-81,99.77245
FRA,Jun-81,99.8292
FRA,Jul-81,99.91273
FRA,Aug-81,100.0347
FRA,Sep-81,100.1777
FRA,Oct-81,100.3391
FRA,Nov-81,100.529
FRA,Dec-81,100.7526
FRA,Jan-82,100.974
FRA,Feb-82,101.1157
FRA,Mar-82,101.1428
FRA,Apr-82,101.0532
FRA,May-82,100.8921
FRA,Jun-82,100.6945
FRA,Jul-82,100.4986
FRA,Aug-82,100.3522
FRA,Sep-82,100.2658
FRA,Oct-82,100.2262
FRA,Nov-82,100.2086
FRA,Dec-82,100.159
FRA,Jan-83,100.0617
FRA,Feb-83,99.90959
FRA,Mar-83,99.71259
