REF_AREA,TIME_PERIOD,OBS_VALUE
G20,Jan-70,100.374
G20,Feb-70,100.1741
G20,Mar-70,99.97387
G20,Apr-70,99.78063
G20,May-70,99.61164
G20,Jun-70,99.47485
G20,Jul-70,99.35868
G20,Aug-70,99.26483
G20,Sep-70,99.20714
G20,Oct-70,99.20427
G20,Nov-70,99.27702
G20,Dec-70,99.41905
G20,Jan-71,99.59101
G20,Feb-71,99.75766
G20,Mar-71,99.89799
G20,Apr-71,100.0096
G20,May-71,100.0942
G20,Jun-71,100.1592
G20,Jul-71,100.2203
G20,Aug-71,100.2863
G20,Sep-71,100.3863
G20,Oct-71,100.5497
G20,Nov-71,100.791
G20,Dec-71,101.1062
G20,Jan-72,101.4574
G20,Feb-72,101.8131
G20,Mar-72,102.1571
G20,Apr-72,102.48
G20,May-72,102.7756
G20,Jun-72,103.0455
G20,Jul-72,103.3119
G20,Aug-72,103.5981
G20,Sep-72,103.8976
G20,Oct-72,104.1936
G20,Nov-72,104.4579
G20,Dec-72,104.6571
G20,Jan-73,104.7647
G20,Feb-73,104.74
G20,Mar-73,104.6222
G20,Apr-73,104.4213
G20,May-73,104.1635
G20,Jun-73,103.8755
G20,Jul-73,103.5757
G20,Aug-73,103.2746
G20,Sep-73,102.9658
G20,Oct-73,102.6431
G20,Nov-73,102.2873
G20,Dec-73,101.9057
G20,Jan-74,101.5212
G20,Feb-74,101.1314
G20,Mar-74,100.7198
G20,Apr-74,100.2762
G20,May-74,99.79586
G20,Jun-74,99.2759
G20,Jul-74,98.71889
G20,Aug-74,98.13418
G20,Sep-74,97.55015
G20,Oct-74,97.02096
G20,Nov-74,96.60532
G20,Dec-74,96.35525
G20,Jan-75,96.30357
G20,Feb-75,96.43203
G20,Mar-75,96.70222
G20,Apr-75,97.07996
G20,May-75,97.5256
G20,Jun-75,98.00753
G20,Jul-75,98.50169
G20,Aug-75,98.99353
G20,Sep-75,99.47992
G20,Oct-75,99.94492
G20,Nov-75,100.3829
G20,Dec-75,100.7872
G20,Jan-76,101.1368
G20,Feb-76,101.41
G20,Mar-76,101.5989
G20,Apr-76,101.7112
G20,May-76,101.7508
G20,Jun-76,101.7295
G20,Jul-76,101.6635
G20,Aug-76,101.5673
G20,Sep-76,101.4653
G20,Oct-76,101.3815
G20,Nov-76,101.3297
G20,Dec-76,101.3
G20,Jan-77,101.2755
G20,Feb-77,101.2447
G20,Mar-77,101.2008
G20,Apr-77,101.1449
G20,May-77,101.0912
G20,Jun-77,101.0494
G20,Jul-77,101.034
G20,Aug-77,101.0485
G20,Sep-77,101.0901
G20,Oct-77,101.1524
G20,Nov-77,101.2257
G20,Dec-77,101.3117
G20,Jan-78,101.4142
G20,Feb-78,101.5331
G20,Mar-78,101.6895
G20,Apr-78,101.877
G20,May-78,102.0783
G20,Jun-78,102.2786
G20,Jul-78,102.4623
G20,Aug-78,102.6096
G20,Sep-78,102.7095
G20,Oct-78,102.7493
G20,Nov-78,102.7434
G20,Dec-78,102.7208
G20,Jan-79,102.7052
G20,Feb-79,102.6994
G20,Mar-79,102.6824
G20,Apr-79,102.6269
G20,May-79,102.5236
G20,Jun-79,102.3707
G20,Jul-79,102.1805
G20,Aug-79,101.9688
G20,Sep-79,101.7397
G20,Oct-79,101.4892
G20,Nov-79,101.2159
G20,Dec-79,100.9246
G20,Jan-80,100.6174
