REF_AREA,TIME_PERIOD,OBS_VALUE
DEU,Jan-70,101.0581
DEU,Feb-70,100.7472
DEU,Mar-70,100.513
DEU,Apr-70,100.3464
DEU,May-70,100.2369
DEU,Jun-70,100.1621
DEU,Jul-70,100.1101
DEU,Aug-70,100.062
DEU,Sep-70,100.0013
DEU,Oct-70,99.9339
DEU,Nov-70,99.87207
DEU,Dec-70,99.81125
DEU,Jan-71,99.73064
DEU,Feb-71,99.62
DEU,Mar-71,99.46241
DEU,Apr-71,99.25211
DEU,May-71,99.00523
DEU,Jun-71,98.72824
DEU,Jul-71,98.43276
DEU,Aug-71,98.15451
DEU,Sep-71,97.97084
DEU,Oct-71,97.93746
DEU,Nov-71,98.07357
DEU,Dec-71,98.36443
DEU,Jan-72,98.7668
DEU,Feb-72,99.22662
DEU,Mar-72,99.71344
DEU,Apr-72,100.1962
DEU,May-72,100.6572
DEU,Jun-72,101.097
DEU,Jul-72,101.5069
DEU,Aug-72,101.8821
DEU,Sep-72,102.2177
DEU,Oct-72,102.5105
DEU,Nov-72,102.756
DEU,Dec-72,102.9234
DEU,Jan-73,102.9562
DEU,Feb-73,102.6379
DEU,Mar-73,102.1806
DEU,Apr-73,101.6338
DEU,May-73,101.0345
DEU,Jun-73,100.4303
DEU,Jul-73,99.8751
DEU,Aug-73,99.40889
DEU,Sep-73,99.04041
DEU,Oct-73,98.77473
DEU,Nov-73,98.63083
DEU,Dec-73,98.61462
DEU,Jan-74,98.71392
DEU,Feb-74,98.87749
DEU,Mar-74,99.04165
DEU,Apr-74,99.14682
DEU,May-74,99.14677
DEU,Jun-74,99.01073
DEU,Jul-74,98.74402
DEU,Aug-74,98.36487
DEU,Sep-74,97.92677
DEU,Oct-74,97.51223
DEU,Nov-74,97.17636
DEU,Dec-74,96.95616
DEU,Jan-75,96.8893
DEU,Feb-75,96.97202
DEU,Mar-75,97.18433
DEU,Apr-75,97.50699
DEU,May-75,97.91132
DEU,Jun-75,98.39006
DEU,Jul-75,98.9144
DEU,Aug-75,99.46647
DEU,Sep-75,100.0264
DEU,Oct-75,100.5525
DEU,Nov-75,101.0083
DEU,Dec-75,101.373
DEU,Jan-76,101.6397
DEU,Feb-76,101.8047
DEU,Mar-76,101.8883
DEU,Apr-76,101.9242
DEU,May-76,101.9273
DEU,Jun-76,101.8918
DEU,Jul-76,101.8127
DEU,Aug-76,101.6836
DEU,Sep-76,101.4917
DEU,Oct-76,101.2466
DEU,Nov-76,100.9619
DEU,Dec-76,100.6469
DEU,Jan-77,100.3268
DEU,Feb-77,100.0384
DEU,Mar-77,99.78304
DEU,Apr-77,99.57449
DEU,May-77,99.42515
DEU,Jun-77,99.33585
DEU,Jul-77,99.30695
DEU,Aug-77,99.3317
DEU,Sep-77,99.3848
DEU,Oct-77,99.43768
DEU,Nov-77,99.46474
DEU,Dec-77,99.46254
DEU,Jan-78,99.44547
DEU,Feb-78,99.4498
DEU,Mar-78,99.52175
DEU,Apr-78,99.68607
DEU,May-78,99.94387
DEU,Jun-78,100.2783
DEU,Jul-78,100.6485
DEU,Aug-78,101.0196
DEU,Sep-78,101.349
DEU,Oct-78,101.6229
DEU,Nov-78,101.8483
DEU,Dec-78,102.0364
DEU,Jan-79,102.2079
DEU,Feb-79,102.3727
DEU,Mar-79,102.5069
DEU,Apr-79,102.5717
DEU,May-79,102.5422
DEU,Jun-79,102.415
DEU,Jul-79,102.2038
DEU,Aug-79,101.9341
DEU,Sep-79,101.6419
DEU,Oct-79,101.3537
DEU,Nov-79,101.082
DEU,Dec-79,100.8428
DEU,Jan-80,100.6183
DEU,Feb-80,100.3776
DEU,Mar-80,100.094
DEU,Apr-80,99.76979
DEU,May-80,99.43653
DEU,Jun-80,99.13941
DEU,Jul-80,98.91427
DEU,Aug-80,98.75912
DEU,Sep-80,98.64565
DEU,Oct-80,98.54567
DEU,Nov-80,98.45579
DEU,Dec-80,98.38548
DEU,Jan-81,98.325
DEU,Feb-81,98.26335
DEU,Mar-81,98.19204
DEU,Apr-81,98.12316
DEU,May-81,98.0605
DEU,Jun-81,98.02821
DEU,Jul-81,98.0383
DEU,Aug-81,98.07856
DEU,Sep-81,98.14912
DEU,Oct-81,98.22605
DEU,Nov-81,98.28099
DEU,Dec-81,98.30312
DEU,Jan-82,98.28584
DEU,Feb-82,98.22655
DEU,Mar-82,98.1023
DEU,Apr-82,97.90153
DEU,May-82,97.64965
DEU,Jun-82,97.38689
DEU,Jul-82,97.15984
DEU,Aug-82,97.04504
DEU,Sep-82,97.09882
DEU,Oct-82,97.35102
DEU,Nov-82,97.7751
DEU,Dec-82,98.30432
DEU,Jan-83,98.85669
DEU,Feb-83,99.35855
DEU,Mar-83,99.77695
DEU,Apr-83,100.0872
DEU,May-83,100.3171
DEU,Jun-83,100.4938
DEU,Jul-83,100.6448
DEU,Aug-83,100.7981
DEU,Sep-83,100.9482
DEU,Oct-83,101.0919
DEU,Nov-83,101.2249
DEU,Dec-83,101.3125
DEU,Jan-84,101.3216
DEU,Feb-84,101.2369
DEU,Mar-84,101.0759
DEU,Apr-84,100.8897
DEU,May-84,100.7234
DEU,Jun-84,100.6086
DEU,Jul-84,100.5668
DEU,Aug-84,100.5673
DEU,Sep-84,100.584
DEU,Oct-84,100.6
DEU,Nov-84,100.6079
DEU,Dec-84,100.6113
DEU,Jan-85,100.6061
DEU,Feb-85,100.5892
DEU,Mar-85,100.5674
DEU,Apr-85,100.547
DEU,May-85,100.5318
DEU,Jun-85,100.5227
DEU,Jul-85,100.5247
DEU,Aug-85,100.5259
DEU,Sep-85,100.5178
DEU,Oct-85,100.4841
DEU,Nov-85,100.4166
DEU,Dec-85,100.3285
DEU,Jan-86,100.2361
DEU,Feb-86,100.1447
DEU,Mar-86,100.0624
DEU,Apr-86,99.99191
DEU,May-86,99.91465
DEU,Jun-86,99.83656
DEU,Jul-86,99.74194
DEU,Aug-86,99.62312
DEU,Sep-86,99.48914
DEU,Oct-86,99.34195
DEU,Nov-86,99.19228
DEU,Dec-86,99.06386
DEU,Jan-87,98.97541
DEU,Feb-87,98.96012
DEU,Mar-87,99.01038
DEU,Apr-87,99.10378
DEU,May-87,99.21844
DEU,Jun-87,99.33665
DEU,Jul-87,99.4249
DEU,Aug-87,99.48147
DEU,Sep-87,99.49971
DEU,Oct-87,99.47299
DEU,Nov-87,99.42927
DEU,Dec-87,99.42137
DEU,Jan-88,99.49206
DEU,Feb-88,99.6358
DEU,Mar-88,99.82589
DEU,Apr-88,100.0316
DEU,May-88,100.221
DEU,Jun-88,100.375
DEU,Jul-88,100.4844
DEU,Aug-88,100.5691
DEU,Sep-88,100.6233
DEU,Oct-88,100.6495
DEU,Nov-88,100.6634
DEU,Dec-88,100.6567
DEU,Jan-89,100.6353
DEU,Feb-89,100.6237
DEU,Mar-89,100.6305
DEU,Apr-89,100.6539
DEU,May-89,100.6849
DEU,Jun-89,100.717
DEU,Jul-89,100.7327
DEU,Aug-89,100.7369
DEU,Sep-89,100.7438
DEU,Oct-89,100.7643
DEU,Nov-89,100.8121
DEU,Dec-89,100.8873
DEU,Jan-90,100.9803
DEU,Feb-90,101.0914
DEU,Mar-90,101.2244
DEU,Apr-90,101.3678
DEU,May-90,101.5022
DEU,Jun-90,101.6065
DEU,Jul-90,101.6667
DEU,Aug-90,101.6536
DEU,Sep-90,101.5442
DEU,Oct-90,101.3442
DEU,Nov-90,101.075
DEU,Dec-90,100.7614
DEU,Jan-91,100.4338
DEU,Feb-91,100.1415
DEU,Mar-91,99.926
DEU,Apr-91,99.80101
DEU,May-91,99.74477
DEU,Jun-91,99.72945
DEU,Jul-91,99.73216
DEU,Aug-91,99.75258
DEU,Sep-91,99.78118
DEU,Oct-91,99.80302
DEU,Nov-91,99.79263
DEU,Dec-91,99.7419
DEU,Jan-92,99.65031
DEU,Feb-92,99.52099
DEU,Mar-92,99.35249
DEU,Apr-92,99.14865
DEU,May-92,98.9104
DEU,Jun-92,98.63263
DEU,Jul-92,98.30219
DEU,Aug-92,97.92164
DEU,Sep-92,97.52312
DEU,Oct-92,97.14895
DEU,Nov-92,96.84917
DEU,Dec-92,96.65404
DEU,Jan-93,96.54689
DEU,Feb-93,96.51423
DEU,Mar-93,96.55413
DEU,Apr-93,96.65797
DEU,May-93,96.81138
DEU,Jun-93,97.00381
DEU,Jul-93,97.22698
DEU,Aug-93,97.47545
DEU,Sep-93,97.7287
DEU,Oct-93,97.98742
DEU,Nov-93,98.27564
DEU,Dec-93,98.61192
DEU,Jan-94,99.00465
DEU,Feb-94,99.45582
DEU,Mar-94,99.93725
DEU,Apr-94,100.416
DEU,May-94,100.8601
DEU,Jun-94,101.2536
DEU,Jul-94,101.5893
DEU,Aug-94,101.8775
DEU,Sep-94,102.1141
DEU,Oct-94,102.2703
DEU,Nov-94,102.3213
DEU,Dec-94,102.2559
DEU,Jan-95,102.0836
DEU,Feb-95,101.8448
DEU,Mar-95,101.5708
DEU,Apr-95,101.2915
DEU,May-95,101.0888
DEU,Jun-95,100.8964
DEU,Jul-95,100.7139
DEU,Aug-95,100.5218
DEU,Sep-95,100.3123
DEU,Oct-95,100.0854
DEU,Nov-95,99.84906
DEU,Dec-95,99.61095
DEU,Jan-96,99.39302
DEU,Feb-96,99.23055
DEU,Mar-96,99.1448
DEU,Apr-96,99.13577
DEU,May-96,99.18471
DEU,Jun-96,99.27663
DEU,Jul-96,99.40348
DEU,Aug-96,99.54677
DEU,Sep-96,99.69247
DEU,Oct-96,99.82354
DEU,Nov-96,99.92794
DEU,Dec-96,100.0232
DEU,Jan-97,100.1261
DEU,Feb-97,100.2304
DEU,Mar-97,100.3435
DEU,Apr-97,100.4609
DEU,May-97,100.565
DEU,Jun-97,100.6697
DEU,Jul-97,100.767
DEU,Aug-97,100.8587
DEU,Sep-97,100.9388
DEU,Oct-97,100.9891
DEU,Nov-97,101.0035
DEU,Dec-97,100.9957
DEU,Jan-98,100.9709
DEU,Feb-98,100.9367
DEU,Mar-98,100.8917
DEU,Apr-98,100.8146
DEU,May-98,100.6941
DEU,Jun-98,100.5322
DEU,Jul-98,100.3292
DEU,Aug-98,100.097
DEU,Sep-98,99.8692
DEU,Oct-98,99.6678
DEU,Nov-98,99.51418
DEU,Dec-98,99.4108
DEU,Jan-99,99.35487
DEU,Feb-99,99.33858
DEU,Mar-99,99.36656
DEU,Apr-99,99.44051
DEU,May-99,99.57336
DEU,Jun-99,99.75556
DEU,Jul-99,99.96175
DEU,Aug-99,100.1974
DEU,Sep-99,100.4544
DEU,Oct-99,100.7207
DEU,Nov-99,100.9726
DEU,Dec-99,101.1997
DEU,Jan-00,101.4049
DEU,Feb-00,101.6017
DEU,Mar-00,101.7882
DEU,Apr-00,101.9689
DEU,May-00,102.1297
DEU,Jun-00,102.2496
DEU,Jul-00,102.3329
DEU,Aug-00,102.3574
DEU,Sep-00,102.3118
DEU,Oct-00,102.188
DEU,Nov-00,101.981
DEU,Dec-00,101.6789
DEU,Jan-01,101.2904
DEU,Feb-01,100.8401
DEU,Mar-01,100.3637
DEU,Apr-01,99.88858
DEU,May-01,99.43674
DEU,Jun-01,99.01768
DEU,Jul-01,98.66139
DEU,Aug-01,98.39071
DEU,Sep-01,98.21819
DEU,Oct-01,98.17459
DEU,Nov-01,98.25752
DEU,Dec-01,98.44417
DEU,Jan-02,98.68929
DEU,Feb-02,98.95532
DEU,Mar-02,99.17673
DEU,Apr-02,99.30545
DEU,May-02,99.3312
DEU,Jun-02,99.25897
DEU,Jul-02,99.11533
DEU,Aug-02,98.93275
DEU,Sep-02,98.74085
DEU,Oct-02,98.56544
DEU,Nov-02,98.43841
DEU,Dec-02,98.3813
DEU,Jan-03,98.39652
DEU,Feb-03,98.45784
DEU,Mar-03,98.54034
DEU,Apr-03,98.64833
DEU,May-03,98.80125
DEU,Jun-03,99.02117
DEU,Jul-03,99.28526
DEU,Aug-03,99.56561
DEU,Sep-03,99.82826
DEU,Oct-03,100.0552
DEU,Nov-03,100.2222
DEU,Dec-03,100.3191
DEU,Jan-04,100.3694
DEU,Feb-04,100.4038
DEU,Mar-04,100.4325
DEU,Apr-04,100.4519
DEU,May-04,100.4507
DEU,Jun-04,100.4286
DEU,Jul-04,100.3976
DEU,Aug-04,100.3593
DEU,Sep-04,100.3127
DEU,Oct-04,100.2513
DEU,Nov-04,100.1805
DEU,Dec-04,100.1001
DEU,Jan-05,99.9905
DEU,Feb-05,99.85109
DEU,Mar-05,99.70779
DEU,Apr-05,99.60002
DEU,May-05,99.55311
DEU,Jun-05,99.58038
DEU,Jul-05,99.68209
DEU,Aug-05,99.84013
