REF_AREA,TIME_PERIOD,OBS_VALUE
IDN,Jan-94,102.6164
IDN,Feb-94,102.699
IDN,Mar-94,102.7127
IDN,Apr-94,102.707
IDN,May-94,102.7125
IDN,Jun-94,102.7345
IDN,Jul-94,102.7884
IDN,Aug-94,102.8443
IDN,Sep-94,102.8543
IDN,Oct-94,102.8093
IDN,Nov-94,102.6913
IDN,Dec-94,102.5076
IDN,Jan-95,102.2797
IDN,Feb-95,102.0271
IDN,Mar-95,101.7955
IDN,Apr-95,101.6382
IDN,May-95,101.5717
IDN,Jun-95,101.5814
IDN,Jul-95,101.652
IDN,Aug-95,101.7801
IDN,Sep-95,101.9793
IDN,Oct-95,102.2567
IDN,Nov-95,102.6195
IDN,Dec-95,103.0624
IDN,Jan-96,103.5634
IDN,Feb-96,104.0901
IDN,Mar-96,104.622
IDN,Apr-96,105.117
IDN,May-96,105.5256
IDN,Jun-96,105.8167
IDN,Jul-96,106.0263
IDN,Aug-96,106.2101
IDN,Sep-96,106.3998
IDN,Oct-96,106.6392
IDN,Nov-96,106.9389
IDN,Dec-96,107.2931
IDN,Jan-97,107.6899
IDN,Feb-97,108.0671
IDN,Mar-97,108.318
IDN,Apr-97,108.3605
IDN,May-97,108.1689
IDN,Jun-97,107.6861
IDN,Jul-97,106.8753
IDN,Aug-97,105.7959
IDN,Sep-97,104.5433
IDN,Oct-97,103.1827
IDN,Nov-97,101.7334
IDN,Dec-97,100.1679
IDN,Jan-98,98.43983
IDN,Feb-98,96.56458
IDN,Mar-98,94.56774
IDN,Apr-98,92.58588
IDN,May-98,90.83469
IDN,Jun-98,89.59568
IDN,Jul-98,89.03622
IDN,Aug-98,89.13294
IDN,Sep-98,89.73981
IDN,Oct-98,90.65215
IDN,Nov-98,91.64633
IDN,Dec-98,92.58322
IDN,Jan-99,93.43439
IDN,Feb-99,94.27863
IDN,Mar-99,95.19396
IDN,Apr-99,96.21088
IDN,May-99,97.2848
IDN,Jun-99,98.28101
IDN,Jul-99,99.08759
IDN,Aug-99,99.68916
IDN,Sep-99,100.1881
IDN,Oct-99,100.687
IDN,Nov-99,101.1941
IDN,Dec-99,101.6496
IDN,Jan-00,101.9964
IDN,Feb-00,102.1933
IDN,Mar-00,102.1948
IDN,Apr-00,102.0143
IDN,May-00,101.6969
IDN,Jun-00,101.3065
IDN,Jul-00,100.8985
IDN,Aug-00,100.5078
IDN,Sep-00,100.145
IDN,Oct-00,99.79462
IDN,Nov-00,99.45053
IDN,Dec-00,99.11102
IDN,Jan-01,98.7819
IDN,Feb-01,98.47748
IDN,Mar-01,98.23933
IDN,Apr-01,98.12568
IDN,May-01,98.26716
IDN,Jun-01,98.51094
IDN,Jul-01,98.81444
IDN,Aug-01,99.11591
IDN,Sep-01,99.35039
IDN,Oct-01,99.50373
IDN,Nov-01,99.60294
IDN,Dec-01,99.70962
IDN,Jan-02,99.89381
IDN,Feb-02,100.1916
IDN,Mar-02,100.5897
IDN,Apr-02,100.9883
IDN,May-02,101.2896
IDN,Jun-02,101.4172
IDN,Jul-02,101.3403
IDN,Aug-02,101.0794
IDN,Sep-02,100.6765
IDN,Oct-02,100.2016
IDN,Nov-02,99.74738
IDN,Dec-02,99.37614
IDN,Jan-03,99.11912
IDN,Feb-03,99.00134
IDN,Mar-03,99.03052
IDN,Apr-03,99.20187
IDN,May-03,99.4837
IDN,Jun-03,99.81934
IDN,Jul-03,100.1521
IDN,Aug-03,100.4481
IDN,Sep-03,100.7165
IDN,Oct-03,100.9518
IDN,Nov-03,101.1479
IDN,Dec-03,101.3261
IDN,Jan-04,101.4606
IDN,Feb-04,101.5321
IDN,Mar-04,101.5665
IDN,Apr-04,101.5833
IDN,May-04,101.6157
IDN,Jun-04,101.7128
IDN,Jul-04,101.8975
IDN,Aug-04,102.1588
IDN,Sep-04,102.4877
IDN,Oct-04,102.8198
IDN,Nov-04,103.0605
IDN,Dec-04,103.1357
IDN,Jan-05,103.0113
IDN,Feb-05,102.7317
IDN,Mar-05,102.3464
IDN,Apr-05,101.9439
IDN,May-05,101.5606
IDN,Jun-05,101.1565
IDN,Jul-05,100.6888
IDN,Aug-05,100.1387
IDN,Sep-05,99.53981
IDN,Oct-05,98.98293
IDN,Nov-05,98.58379
IDN,Dec-05,98.38036
IDN,Jan-06,98.31894
IDN,Feb-06,98.34326
IDN,Mar-06,98.42042
IDN,Apr-06,98.50777
IDN,May-06,98.58741
IDN,Jun-06,98.69109
IDN,Jul-06,98.85702
IDN,Aug-06,99.10206
IDN,Sep-06,99.42401
IDN,Oct-06,99.79005
IDN,Nov-06,100.1509
IDN,Dec-06,100.4319
IDN,Jan-07,100.6265
IDN,Feb-07,100.7751
IDN,Mar-07,100.9233
IDN,Apr-07,101.0952
IDN,May-07,101.261
IDN,Jun-07,101.3832
IDN,Jul-07,101.4425
IDN,Aug-07,101.4346
IDN,Sep-07,101.3792
IDN,Oct-07,101.2682
IDN,Nov-07,101.0864
IDN,Dec-07,100.8217
IDN,Jan-08,100.4635
IDN,Feb-08,100.0053
IDN,Mar-08,99.44328
IDN,Apr-08,98.82488
IDN,May-08,98.20766
IDN,Jun-08,97.64027
IDN,Jul-08,97.17497
IDN,Aug-08,96.82602
IDN,Sep-08,96.57642
IDN,Oct-08,96.45164
IDN,Nov-08,96.48569
IDN,Dec-08,96.65063
IDN,Jan-09,96.91418
IDN,Feb-09,97.26914
IDN,Mar-09,97.7217
IDN,Apr-09,98.24292
IDN,May-09,98.77856
IDN,Jun-09,99.28329
IDN,Jul-09,99.71941
IDN,Aug-09,100.0432
IDN,Sep-09,100.2438
IDN,Oct-09,100.3375
IDN,Nov-09,100.3472
IDN,Dec-09,100.3196
IDN,Jan-10,100.2875
IDN,Feb-10,100.2733
IDN,Mar-10,100.2685
IDN,Apr-10,100.2511
IDN,May-10,100.2319
IDN,Jun-10,100.2454
IDN,Jul-10,100.2994
IDN,Aug-10,100.3796
IDN,Sep-10,100.477
IDN,Oct-10,100.5802
IDN,Nov-10,100.6613
IDN,Dec-10,100.7091
IDN,Jan-11,100.7277
IDN,Feb-11,100.7256
IDN,Mar-11,100.7295
IDN,Apr-11,100.7651
IDN,May-11,100.8293
IDN,Jun-11,100.9122
IDN,Jul-11,100.995
IDN,Aug-11,101.0633
IDN,Sep-11,101.1282
IDN,Oct-11,101.1721
IDN,Nov-11,101.1759
IDN,Dec-11,101.1297
IDN,Jan-12,101.0277
IDN,Feb-12,100.8753
IDN,Mar-12,100.7351
IDN,Apr-12,100.6534
IDN,May-12,100.6503
IDN,Jun-12,100.712
IDN,Jul-12,100.8171
IDN,Aug-12,100.9525
IDN,Sep-12,101.1174
