REF_AREA,TIME_PERIOD,OBS_VALUE
IND,Apr-94,98.81176
IND,May-94,99.28113
IND,Jun-94,99.71182
IND,Jul-94,100.0988
IND,Aug-94,100.4397
IND,Sep-94,100.7352
IND,Oct-94,100.9897
IND,Nov-94,101.2079
IND,Dec-94,101.397
IND,Jan-95,101.5643
IND,Feb-95,101.7173
IND,Mar-95,101.86
IND,Apr-95,101.9929
IND,May-95,102.1136
IND,Jun-95,102.2189
IND,Jul-95,102.3053
IND,Aug-95,102.3676
IND,Sep-95,102.4031
IND,Oct-95,102.4111
IND,Nov-95,102.3938
IND,Dec-95,102.353
IND,Jan-96,102.2899
IND,Feb-96,102.2044
IND,Mar-96,102.0958
IND,Apr-96,101.964
IND,May-96,101.8089
IND,Jun-96,101.6336
IND,Jul-96,101.4425
IND,Aug-96,101.2433
IND,Sep-96,101.0455
IND,Oct-96,100.8591
IND,Nov-96,100.6925
IND,Dec-96,100.5517
IND,Jan-97,100.4366
IND,Feb-97,100.3434
IND,Mar-97,100.2658
IND,Apr-97,100.1969
IND,May-97,100.1274
IND,Jun-97,100.0476
IND,Jul-97,99.94913
IND,Aug-97,99.82774
IND,Sep-97,99.68362
IND,Oct-97,99.51848
IND,Nov-97,99.33578
IND,Dec-97,99.14265
IND,Jan-98,98.9463
IND,Feb-98,98.75764
IND,Mar-98,98.58479
IND,Apr-98,98.43626
IND,May-98,98.32137
IND,Jun-98,98.25098
IND,Jul-98,98.23626
IND,Aug-98,98.2854
IND,Sep-98,98.40282
IND,Oct-98,98.5903
IND,Nov-98,98.84778
IND,Dec-98,99.17215
IND,Jan-99,99.55766
IND,Feb-99,99.99668
IND,Mar-99,100.482
IND,Apr-99,101.0051
IND,May-99,101.4202
IND,Jun-99,101.8507
IND,Jul-99,102.2873
IND,Aug-99,102.718
IND,Sep-99,103.1298
IND,Oct-99,103.5043
IND,Nov-99,103.8196
IND,Dec-99,104.0547
IND,Jan-00,104.192
IND,Feb-00,104.2246
IND,Mar-00,104.1546
IND,Apr-00,103.9918
IND,May-00,103.752
IND,Jun-00,103.4548
IND,Jul-00,103.1198
IND,Aug-00,102.7669
IND,Sep-00,102.4125
IND,Oct-00,102.069
IND,Nov-00,101.7405
IND,Dec-00,101.4277
IND,Jan-01,101.1316
IND,Feb-01,100.8508
IND,Mar-01,100.5803
IND,Apr-01,100.3179
IND,May-01,100.0609
IND,Jun-01,99.79272
IND,Jul-01,99.52956
IND,Aug-01,99.27478
IND,Sep-01,99.03297
IND,Oct-01,98.81073
IND,Nov-01,98.61248
IND,Dec-01,98.4381
IND,Jan-02,98.28446
IND,Feb-02,98.14663
IND,Mar-02,98.02091
IND,Apr-02,97.90445
IND,May-02,97.79535
IND,Jun-02,97.69243
IND,Jul-02,97.59479
IND,Aug-02,97.50493
IND,Sep-02,97.42572
IND,Oct-02,97.36273
IND,Nov-02,97.32178
IND,Dec-02,97.30843
IND,Jan-03,97.32818
IND,Feb-03,97.38623
IND,Mar-03,97.48639
IND,Apr-03,97.62823
IND,May-03,97.80663
IND,Jun-03,98.01421
IND,Jul-03,98.24311
IND,Aug-03,98.48492
IND,Sep-03,98.73042
IND,Oct-03,98.97124
IND,Nov-03,99.19814
IND,Dec-03,99.40286
IND,Jan-04,99.57867
IND,Feb-04,99.72248
IND,Mar-04,99.83398
IND,Apr-04,99.91477
IND,May-04,99.96719
IND,Jun-04,99.99635
IND,Jul-04,100.0046
IND,Aug-04,99.99296
IND,Sep-04,99.96281
IND,Oct-04,99.91529
IND,Nov-04,99.85166
IND,Dec-04,99.77464
IND,Jan-05,99.68956
IND,Feb-05,99.60213
IND,Mar-05,99.51734
IND,Apr-05,99.44033
IND,May-05,99.37466
IND,Jun-05,99.32273
IND,Jul-05,99.28664
IND,Aug-05,99.26648
IND,Sep-05,99.26123
IND,Oct-05,99.27076
IND,Nov-05,99.29659
IND,Dec-05,99.33896
IND,Jan-06,99.39697
IND,Feb-06,99.46828
IND,Mar-06,99.54822
IND,Apr-06,99.6309
IND,May-06,99.71225
IND,Jun-06,99.79408
IND,Jul-06,99.87899
IND,Aug-06,99.96875
IND,Sep-06,100.0645
IND,Oct-06,100.1664
IND,Nov-06,100.2742
IND,Dec-06,100.3877
IND,Jan-07,100.511
IND,Feb-07,100.6494
IND,Mar-07,100.8081
IND,Apr-07,100.9874
IND,May-07,101.1812
IND,Jun-07,101.3771
IND,Jul-07,101.5596
IND,Aug-07,101.7122
IND,Sep-07,101.8198
IND,Oct-07,101.8684
IND,Nov-07,101.8456
IND,Dec-07,101.7453
IND,Jan-08,101.5683
IND,Feb-08,101.3245
IND,Mar-08,101.0282
IND,Apr-08,100.6979
IND,May-08,100.3549
IND,Jun-08,100.0237
IND,Jul-08,99.72941
IND,Aug-08,99.49118
IND,Sep-08,99.32395
IND,Oct-08,99.23638
IND,Nov-08,99.2323
IND,Dec-08,99.30984
IND,Jan-09,99.46243
IND,Feb-09,99.68134
IND,Mar-09,99.95542
IND,Apr-09,100.2713
IND,May-09,100.6148
IND,Jun-09,100.9718
IND,Jul-09,101.3308
IND,Aug-09,101.6812
IND,Sep-09,102.0145
IND,Oct-09,102.3238
IND,Nov-09,102.6026
IND,Dec-09,102.8442
IND,Jan-10,103.0446
IND,Feb-10,103.2013
IND,Mar-10,103.3149
IND,Apr-10,103.3873
IND,May-10,103.4219
IND,Jun-10,103.4255
IND,Jul-10,103.4029
IND,Aug-10,103.357
IND,Sep-10,103.2893
IND,Oct-10,103.1992
IND,Nov-10,103.0848
IND,Dec-10,102.9451
IND,Jan-11,102.779
IND,Feb-11,102.5879
IND,Mar-11,102.372
IND,Apr-11,102.132
IND,May-11,101.8714
IND,Jun-11,101.5969
IND,Jul-11,101.3147
IND,Aug-11,101.0316
IND,Sep-11,100.7551
IND,Oct-11,100.4917
IND,Nov-11,100.2447
IND,Dec-11,100.0164
IND,Jan-12,99.80817
IND,Feb-12,99.61889
IND,Mar-12,99.44767
IND,Apr-12,99.29504
IND,May-12,99.16113
IND,Jun-12,99.04516
IND,Jul-12,98.9448
IND,Aug-12,98.85758
IND,Sep-12,98.77987
IND,Oct-12,98.70719
IND,Nov-12,98.63608
IND,Dec-12,98.56388
IND,Jan-13,98.48859
IND,Feb-13,98.40953
IND,Mar-13,98.32823
IND,Apr-13,98.24688
IND,May-13,98.16867
IND,Jun-13,98.09933
IND,Jul-13,98.04687
IND,Aug-13,98.02126
IND,Sep-13,98.03235
IND,Oct-13,98.0824
IND,Nov-13,98.16874
IND,Dec-13,98.28721
IND,Jan-14,98.43254
IND,Feb-14,98.59967
IND,Mar-14,98.783
IND,Apr-14,98.97589
IND,May-14,99.1714
IND,Jun-14,99.36189
IND,Jul-14,99.54185
IND,Aug-14,99.70739
IND,Sep-14,99.85541
IND,Oct-14,99.98391
IND,Nov-14,100.0921
IND,Dec-14,100.1792
IND,Jan-15,100.2463
IND,Feb-15,100.2945
IND,Mar-15,100.3257
IND,Apr-15,100.3426
IND,May-15,100.3474
IND,Jun-15,100.3409
IND,Jul-15,100.3225
IND,Aug-15,100.2919
