REF_AREA,TIME_PERIOD,OBS_VALUE
JPN,Jan-70,100.7729
JPN,Feb-70,100.8282
JPN,Mar-70,100.7756
JPN,Apr-70,100.6097
JPN,May-70,100.3446
JPN,Jun-70,100.0257
JPN,Jul-70,99.66528
JPN,Aug-70,99.28129
JPN,Sep-70,98.88649
JPN,Oct-70,98.50769
JPN,Nov-70,98.15649
JPN,Dec-70,97.83993
JPN,Jan-71,97.57479
JPN,Feb-71,97.39431
JPN,Mar-71,97.31889
JPN,Apr-71,97.31998
JPN,May-71,97.38116
JPN,Jun-71,97.47948
JPN,Jul-71,97.58656
JPN,Aug-71,97.66843
JPN,Sep-71,97.72871
JPN,Oct-71,97.80289
JPN,Nov-71,97.92654
JPN,Dec-71,98.1285
JPN,Jan-72,98.42387
JPN,Feb-72,98.79656
JPN,Mar-72,99.23694
JPN,Apr-72,99.73093
JPN,May-72,100.2562
JPN,Jun-72,100.7849
JPN,Jul-72,101.3208
JPN,Aug-72,101.9003
JPN,Sep-72,102.5341
JPN,Oct-72,103.2107
JPN,Nov-72,103.8766
JPN,Dec-72,104.4651
JPN,Jan-73,104.9165
JPN,Feb-73,105.2028
JPN,Mar-73,105.3468
JPN,Apr-73,105.3289
JPN,May-73,105.1866
JPN,Jun-73,104.9589
JPN,Jul-73,104.6906
JPN,Aug-73,104.4274
JPN,Sep-73,104.1332
JPN,Oct-73,103.7735
JPN,Nov-73,103.3022
JPN,Dec-73,102.7101
JPN,Jan-74,101.9911
JPN,Feb-74,101.1766
JPN,Mar-74,100.3139
JPN,Apr-74,99.48582
JPN,May-74,98.74055
JPN,Jun-74,98.10136
JPN,Jul-74,97.54615
JPN,Aug-74,97.03005
JPN,Sep-74,96.52293
JPN,Oct-74,96.02916
JPN,Nov-74,95.60468
JPN,Dec-74,95.29674
JPN,Jan-75,95.14301
JPN,Feb-75,95.16208
JPN,Mar-75,95.33885
JPN,Apr-75,95.62954
JPN,May-75,96.02055
JPN,Jun-75,96.48154
JPN,Jul-75,96.99564
JPN,Aug-75,97.53831
JPN,Sep-75,98.10054
JPN,Oct-75,98.64742
JPN,Nov-75,99.15544
JPN,Dec-75,99.62053
JPN,Jan-76,100.0128
JPN,Feb-76,100.3416
JPN,Mar-76,100.6199
JPN,Apr-76,100.8712
JPN,May-76,101.0934
JPN,Jun-76,101.2716
JPN,Jul-76,101.3876
JPN,Aug-76,101.4539
JPN,Sep-76,101.4901
JPN,Oct-76,101.5052
JPN,Nov-76,101.4858
JPN,Dec-76,101.4061
JPN,Jan-77,101.2373
JPN,Feb-77,100.9411
JPN,Mar-77,100.543
JPN,Apr-77,100.0931
JPN,May-77,99.65972
JPN,Jun-77,99.29364
JPN,Jul-77,99.07394
JPN,Aug-77,99.02787
JPN,Sep-77,99.09687
JPN,Oct-77,99.23579
JPN,Nov-77,99.41886
JPN,Dec-77,99.63361
JPN,Jan-78,99.87218
JPN,Feb-78,100.1119
JPN,Mar-78,100.3399
JPN,Apr-78,100.5514
JPN,May-78,100.7518
JPN,Jun-78,100.9601
JPN,Jul-78,101.1984
JPN,Aug-78,101.4509
JPN,Sep-78,101.727
JPN,Oct-78,102.0077
JPN,Nov-78,102.2718
JPN,Dec-78,102.5355
JPN,Jan-79,102.7975
JPN,Feb-79,103.0665
JPN,Mar-79,103.3135
JPN,Apr-79,103.4997
JPN,May-79,103.5919
JPN,Jun-79,103.5998
JPN,Jul-79,103.5139
JPN,Aug-79,103.3187
JPN,Sep-79,103.0338
JPN,Oct-79,102.6642
JPN,Nov-79,102.2152
JPN,Dec-79,101.7008
JPN,Jan-80,101.1564
JPN,Feb-80,100.604
JPN,Mar-80,100.0755
JPN,Apr-80,99.59383
JPN,May-80,99.17599
JPN,Jun-80,98.85181
JPN,Jul-80,98.62001
JPN,Aug-80,98.48647
JPN,Sep-80,98.47359
JPN,Oct-80,98.57136
JPN,Nov-80,98.75385
JPN,Dec-80,99.00771
JPN,Jan-81,99.29787
JPN,Feb-81,99.59367
JPN,Mar-81,99.8593
JPN,Apr-81,100.0828
JPN,May-81,100.2444
JPN,Jun-81,100.3446
JPN,Jul-81,100.4008
JPN,Aug-81,100.4515
JPN,Sep-81,100.5093
JPN,Oct-81,100.5804
JPN,Nov-81,100.6512
JPN,Dec-81,100.6926
JPN,Jan-82,100.6825
JPN,Feb-82,100.6209
JPN,Mar-82,100.5165
JPN,Apr-82,100.3932
JPN,May-82,100.2859
JPN,Jun-82,100.1969
JPN,Jul-82,100.1238
JPN,Aug-82,100.0652
JPN,Sep-82,100.0023
JPN,Oct-82,99.92422
JPN,Nov-82,99.82331
JPN,Dec-82,99.7006
JPN,Jan-83,99.57476
JPN,Feb-83,99.43253
JPN,Mar-83,99.33029
JPN,Apr-83,99.29315
JPN,May-83,99.32038
JPN,Jun-83,99.3981
JPN,Jul-83,99.48244
JPN,Aug-83,99.58036
JPN,Sep-83,99.67963
JPN,Oct-83,99.76703
JPN,Nov-83,99.82417
JPN,Dec-83,99.83704
JPN,Jan-84,99.80892
JPN,Feb-84,99.75269
JPN,Mar-84,99.68314
JPN,Apr-84,99.59737
JPN,May-84,99.48128
JPN,Jun-84,99.32152
JPN,Jul-84,99.15319
JPN,Aug-84,98.99076
JPN,Sep-84,98.86212
JPN,Oct-84,98.83451
JPN,Nov-84,98.94086
JPN,Dec-84,99.1848
JPN,Jan-85,99.51639
JPN,Feb-85,99.81033
JPN,Mar-85,100.0326
JPN,Apr-85,100.1227
JPN,May-85,100.0669
JPN,Jun-85,99.88993
JPN,Jul-85,99.63904
JPN,Aug-85,99.36111
JPN,Sep-85,99.09768
JPN,Oct-85,98.86153
JPN,Nov-85,98.65576
JPN,Dec-85,98.50931
JPN,Jan-86,98.43459
JPN,Feb-86,98.42329
JPN,Mar-86,98.46088
JPN,Apr-86,98.54413
JPN,May-86,98.64648
JPN,Jun-86,98.74826
JPN,Jul-86,98.8394
JPN,Aug-86,98.90498
JPN,Sep-86,98.94309
JPN,Oct-86,98.96101
JPN,Nov-86,98.98975
JPN,Dec-86,99.06294
JPN,Jan-87,99.18196
JPN,Feb-87,99.3617
JPN,Mar-87,99.63361
JPN,Apr-87,100.0091
JPN,May-87,100.4591
JPN,Jun-87,100.9267
JPN,Jul-87,101.3508
JPN,Aug-87,101.6887
JPN,Sep-87,101.9199
JPN,Oct-87,102.0526
JPN,Nov-87,102.1164
JPN,Dec-87,102.1252
JPN,Jan-88,102.1179
JPN,Feb-88,102.1062
JPN,Mar-88,102.0793
JPN,Apr-88,102.0553
JPN,May-88,102.0419
JPN,Jun-88,102.0119
JPN,Jul-88,101.9365
JPN,Aug-88,101.8246
JPN,Sep-88,101.6943
JPN,Oct-88,101.5932
JPN,Nov-88,101.5606
JPN,Dec-88,101.5924
JPN,Jan-89,101.6686
JPN,Feb-89,101.7618
JPN,Mar-89,101.8292
JPN,Apr-89,101.8171
JPN,May-89,101.7405
JPN,Jun-89,101.6393
JPN,Jul-89,101.5487
JPN,Aug-89,101.4984
JPN,Sep-89,101.4938
JPN,Oct-89,101.5376
JPN,Nov-89,101.6185
JPN,Dec-89,101.7219
JPN,Jan-90,101.8188
JPN,Feb-90,101.8915
JPN,Mar-90,101.9335
JPN,Apr-90,101.9454
JPN,May-90,101.9266
JPN,Jun-90,101.8769
JPN,Jul-90,101.7891
JPN,Aug-90,101.6508
JPN,Sep-90,101.4555
JPN,Oct-90,101.199
JPN,Nov-90,100.908
JPN,Dec-90,100.6233
JPN,Jan-91,100.3621
JPN,Feb-91,100.1324
JPN,Mar-91,99.92864
JPN,Apr-91,99.7417
JPN,May-91,99.57093
JPN,Jun-91,99.39761
JPN,Jul-91,99.23228
JPN,Aug-91,99.0807
JPN,Sep-91,98.95741
JPN,Oct-91,98.84847
JPN,Nov-91,98.73816
JPN,Dec-91,98.62178
JPN,Jan-92,98.505
JPN,Feb-92,98.38693
JPN,Mar-92,98.27666
JPN,Apr-92,98.17309
JPN,May-92,98.07068
JPN,Jun-92,97.97366
JPN,Jul-92,97.87135
JPN,Aug-92,97.7663
JPN,Sep-92,97.66823
JPN,Oct-92,97.59163
JPN,Nov-92,97.5562
JPN,Dec-92,97.57826
JPN,Jan-93,97.66373
JPN,Feb-93,97.80484
JPN,Mar-93,97.98608
JPN,Apr-93,98.17228
JPN,May-93,98.34007
JPN,Jun-93,98.46573
JPN,Jul-93,98.54624
JPN,Aug-93,98.59291
JPN,Sep-93,98.60146
JPN,Oct-93,98.60348
JPN,Nov-93,98.64281
JPN,Dec-93,98.75559
JPN,Jan-94,98.96651
JPN,Feb-94,99.24365
JPN,Mar-94,99.5591
JPN,Apr-94,99.89044
JPN,May-94,100.2092
JPN,Jun-94,100.4933
JPN,Jul-94,100.7174
JPN,Aug-94,100.8795
JPN,Sep-94,100.9668
JPN,Oct-94,100.9987
JPN,Nov-94,100.9777
JPN,Dec-94,100.9019
JPN,Jan-95,100.7748
JPN,Feb-95,100.6022
JPN,Mar-95,100.4129
JPN,Apr-95,100.2455
JPN,May-95,100.1211
JPN,Jun-95,100.0832
JPN,Jul-95,100.1597
JPN,Aug-95,100.3322
JPN,Sep-95,100.5771
JPN,Oct-95,100.8712
JPN,Nov-95,101.1728
JPN,Dec-95,101.4503
JPN,Jan-96,101.681
JPN,Feb-96,101.8572
JPN,Mar-96,101.9922
JPN,Apr-96,102.1195
JPN,May-96,102.2204
JPN,Jun-96,102.2968
JPN,Jul-96,102.3596
JPN,Aug-96,102.3835
JPN,Sep-96,102.372
JPN,Oct-96,102.3141
JPN,Nov-96,102.2021
JPN,Dec-96,102.058
JPN,Jan-97,101.8935
JPN,Feb-97,101.7257
JPN,Mar-97,101.5549
JPN,Apr-97,101.3823
JPN,May-97,101.1959
JPN,Jun-97,100.9657
JPN,Jul-97,100.678
JPN,Aug-97,100.3352
JPN,Sep-97,99.95137
JPN,Oct-97,99.54047
JPN,Nov-97,99.13723
JPN,Dec-97,98.77117
JPN,Jan-98,98.44299
JPN,Feb-98,98.14526
JPN,Mar-98,97.87598
JPN,Apr-98,97.64272
JPN,May-98,97.4508
JPN,Jun-98,97.30124
JPN,Jul-98,97.19194
JPN,Aug-98,97.13267
JPN,Sep-98,97.13599
JPN,Oct-98,97.22723
JPN,Nov-98,97.42098
JPN,Dec-98,97.71107
JPN,Jan-99,98.0793
JPN,Feb-99,98.48909
JPN,Mar-99,98.89204
JPN,Apr-99,99.27104
JPN,May-99,99.60509
JPN,Jun-99,99.90299
JPN,Jul-99,100.1662
JPN,Aug-99,100.3988
JPN,Sep-99,100.6031
JPN,Oct-99,100.7923
JPN,Nov-99,100.9743
JPN,Dec-99,101.1435
JPN,Jan-00,101.3
JPN,Feb-00,101.4122
JPN,Mar-00,101.4726
JPN,Apr-00,101.4809
JPN,May-00,101.4389
JPN,Jun-00,101.3666
JPN,Jul-00,101.266
JPN,Aug-00,101.1538
JPN,Sep-00,101.036
JPN,Oct-00,100.9071
JPN,Nov-00,100.7597
JPN,Dec-00,100.5893
JPN,Jan-01,100.3816
JPN,Feb-01,100.1669
JPN,Mar-01,99.95348
JPN,Apr-01,99.73365
JPN,May-01,99.51136
JPN,Jun-01,99.27879
JPN,Jul-01,99.05423
JPN,Aug-01,98.84491
JPN,Sep-01,98.66707
JPN,Oct-01,98.54627
JPN,Nov-01,98.49464
JPN,Dec-01,98.51873
JPN,Jan-02,98.62007
JPN,Feb-02,98.78367
JPN,Mar-02,98.9678
JPN,Apr-02,99.14265
JPN,May-02,99.27795
JPN,Jun-02,99.34898
JPN,Jul-02,99.3691
JPN,Aug-02,99.35336
JPN,Sep-02,99.31459
JPN,Oct-02,99.27395
JPN,Nov-02,99.24887
JPN,Dec-02,99.2503
JPN,Jan-03,99.27892
JPN,Feb-03,99.33003
JPN,Mar-03,99.39986
JPN,Apr-03,99.49453
JPN,May-03,99.61436
JPN,Jun-03,99.75254
JPN,Jul-03,99.89751
JPN,Aug-03,100.0516
JPN,Sep-03,100.2044
JPN,Oct-03,100.3276
JPN,Nov-03,100.4197
JPN,Dec-03,100.4944
JPN,Jan-04,100.5567
JPN,Feb-04,100.6118
JPN,Mar-04,100.6747
JPN,Apr-04,100.736
JPN,May-04,100.7969
JPN,Jun-04,100.8518
JPN,Jul-04,100.8779
JPN,Aug-04,100.8666
JPN,Sep-04,100.836
JPN,Oct-04,100.7898
JPN,Nov-04,100.7408
JPN,Dec-04,100.6974
JPN,Jan-05,100.6577
JPN,Feb-05,100.6123
JPN,Mar-05,100.5761
JPN,Apr-05,100.561
JPN,May-05,100.5782
JPN,Jun-05,100.6323
JPN,Jul-05,100.7227
JPN,Aug-05,100.8361
JPN,Sep-05,100.9683
JPN,Oct-05,101.1141
JPN,Nov-05,101.2549
JPN,Dec-05,101.3854
JPN,Jan-06,101.5033
JPN,Feb-06,101.5969
JPN,Mar-06,101.6572
JPN,Apr-06,101.6819
JPN,May-06,101.6519
JPN,Jun-06,101.5959
JPN,Jul-06,101.5442
JPN,Aug-06,101.5143
JPN,Sep-06,101.5034
JPN,Oct-06,101.5055
JPN,Nov-06,101.5145
JPN,Dec-06,101.5286
JPN,Jan-07,101.5329
JPN,Feb-07,101.5217
JPN,Mar-07,101.465
JPN,Apr-07,101.3565
JPN,May-07,101.1941
JPN,Jun-07,100.9853
JPN,Jul-07,100.7641
JPN,Aug-07,100.5721
JPN,Sep-07,100.4506
JPN,Oct-07,100.4122
JPN,Nov-07,100.4406
JPN,Dec-07,100.5083
JPN,Jan-08,100.5857
JPN,Feb-08,100.6615
JPN,Mar-08,100.7146
JPN,Apr-08,100.7333
JPN,May-08,100.6723
JPN,Jun-08,100.4937
JPN,Jul-08,100.1823
JPN,Aug-08,99.7414
JPN,Sep-08,99.1822
JPN,Oct-08,98.53383
JPN,Nov-08,97.85458
JPN,Dec-08,97.21811
JPN,Jan-09,96.70368
JPN,Feb-09,96.38761
JPN,Mar-09,96.30321
JPN,Apr-09,96.42924
JPN,May-09,96.70972
JPN,Jun-09,97.07708
JPN,Jul-09,97.47684
JPN,Aug-09,97.87062
JPN,Sep-09,98.24742
JPN,Oct-09,98.5914
JPN,Nov-09,98.90523
JPN,Dec-09,99.18488
JPN,Jan-10,99.42199
JPN,Feb-10,99.60925
JPN,Mar-10,99.75262
JPN,Apr-10,99.85309
JPN,May-10,99.91175
JPN,Jun-10,99.94629
JPN,Jul-10,99.9677
JPN,Aug-10,99.98599
JPN,Sep-10,100.0004
JPN,Oct-10,100.0298
JPN,Nov-10,100.0872
JPN,Dec-10,100.1515
JPN,Jan-11,100.1964
JPN,Feb-11,100.1961
JPN,Mar-11,100.1586
JPN,Apr-11,100.1047
JPN,May-11,100.0447
JPN,Jun-11,100.0033
JPN,Jul-11,99.97286
JPN,Aug-11,99.93063
JPN,Sep-11,99.88696
JPN,Oct-11,99.87376
JPN,Nov-11,99.87947
JPN,Dec-11,99.8925
JPN,Jan-12,99.90553
JPN,Feb-12,99.89759
JPN,Mar-12,99.86536
JPN,Apr-12,99.8074
JPN,May-12,99.72881
JPN,Jun-12,99.63711
JPN,Jul-12,99.54474
JPN,Aug-12,99.45845
JPN,Sep-12,99.38802
JPN,Oct-12,99.35239
JPN,Nov-12,99.36919
JPN,Dec-12,99.45468
JPN,Jan-13,99.60243
JPN,Feb-13,99.81354
JPN,Mar-13,100.0578
JPN,Apr-13,100.3113
JPN,May-13,100.5504
JPN,Jun-13,100.7608
JPN,Jul-13,100.951
JPN,Aug-13,101.1246
JPN,Sep-13,101.2822
JPN,Oct-13,101.404
JPN,Nov-13,101.4745
JPN,Dec-13,101.4699
JPN,Jan-14,101.378
JPN,Feb-14,101.209
JPN,Mar-14,100.9918
JPN,Apr-14,100.7349
JPN,May-14,100.4913
JPN,Jun-14,100.2986
JPN,Jul-14,100.1588
JPN,Aug-14,100.0712
JPN,Sep-14,100.0253
JPN,Oct-14,100.0117
JPN,Nov-14,100.0321
JPN,Dec-14,100.0713
JPN,Jan-15,100.1319
JPN,Feb-15,100.2112
JPN,Mar-15,100.2908
JPN,Apr-15,100.371
JPN,May-15,100.432
JPN,Jun-15,100.4542
JPN,Jul-15,100.4228
JPN,Aug-15,100.3526
JPN,Sep-15,100.2503
JPN,Oct-15,100.1331
JPN,Nov-15,100.0154
JPN,Dec-15,99.90864
JPN,Jan-16,99.82747
JPN,Feb-16,99.7686
JPN,Mar-16,99.722
JPN,Apr-16,99.68932
JPN,May-16,99.66831
JPN,Jun-16,99.66891
JPN,Jul-16,99.69707
JPN,Aug-16,99.74823
JPN,Sep-16,99.82944
JPN,Oct-16,99.93823
JPN,Nov-16,100.0543
JPN,Dec-16,100.1676
JPN,Jan-17,100.2633
JPN,Feb-17,100.3395
JPN,Mar-17,100.4215
JPN,Apr-17,100.4985
JPN,May-17,100.558
JPN,Jun-17,100.6002
JPN,Jul-17,100.6235
JPN,Aug-17,100.633
JPN,Sep-17,100.6389
JPN,Oct-17,100.646
JPN,Nov-17,100.6543
JPN,Dec-17,100.6529
JPN,Jan-18,100.6405
JPN,Feb-18,100.6362
JPN,Mar-18,100.6239
JPN,Apr-18,100.6209
JPN,May-18,100.6202
JPN,Jun-18,100.6087
JPN,Jul-18,100.5923
JPN,Aug-18,100.5762
JPN,Sep-18,100.5591
JPN,Oct-18,100.5265
JPN,Nov-18,100.4698
JPN,Dec-18,100.3897
JPN,Jan-19,100.3025
JPN,Feb-19,100.2213
JPN,Mar-19,100.1444
JPN,Apr-19,100.0635
JPN,May-19,99.97924
JPN,Jun-19,99.88686
JPN,Jul-19,99.7923
JPN,Aug-19,99.69176
JPN,Sep-19,99.58138
JPN,Oct-19,99.44767
JPN,Nov-19,99.29259
JPN,Dec-19,99.10544
JPN,Jan-20,98.87002
JPN,Feb-20,98.59245
JPN,Mar-20,97.98715
JPN,Apr-20,97.38551
JPN,May-20,96.92952
JPN,Jun-20,97.10696
JPN,Jul-20,97.77572
JPN,Aug-20,98.22009
JPN,Sep-20,98.53475
JPN,Oct-20,98.82303
JPN,Nov-20,99.11891
JPN,Dec-20,99.40279
JPN,Jan-21,99.6802
JPN,Feb-21,99.947
JPN,Mar-21,100.1907
JPN,Apr-21,100.3969
JPN,May-21,100.5468
JPN,Jun-21,100.6357
JPN,Jul-21,100.6691
JPN,Aug-21,100.6632
JPN,Sep-21,100.6452
JPN,Oct-21,100.6346
JPN,Nov-21,100.643
JPN,Dec-21,100.6578
JPN,Jan-22,100.6626
JPN,Feb-22,100.6431
JPN,Mar-22,100.6066
JPN,Apr-22,100.5593
JPN,May-22,100.5042
JPN,Jun-22,100.4483
JPN,Jul-22,100.3935
JPN,Aug-22,100.3386
JPN,Sep-22,100.2776
JPN,Oct-22,100.221
JPN,Nov-22,100.1686
JPN,Dec-22,100.1306
JPN,Jan-23,100.1055
JPN,Feb-23,100.0889
JPN,Mar-23,100.0791
JPN,Apr-23,100.0668
JPN,May-23,100.0613
JPN,Jun-23,100.0611
JPN,Jul-23,100.0661
JPN,Aug-23,100.0748
JPN,Sep-23,100.0747
JPN,Oct-23,100.0619
JPN,Nov-23,100.0422
JPN,Dec-23,100.029
JPN,Jan-24,100.0393
JPN,Feb-24,100.075
JPN,Mar-24,100.1109
JPN,Apr-24,100.1406
JPN,May-24,100.1544
JPN,Jun-24,100.1467
JPN,Jul-24,100.1181
JPN,Aug-24,100.0741
JPN,Sep-24,100.0335
JPN,Oct-24,99.99568
JPN,Nov-24,99.96738
JPN,Dec-24,99.95696
JPN,Jan-25,99.95966
JPN,Feb-25,99.96122
JPN,Mar-25,99.95804
JPN,Apr-25,99.95039
JPN,May-25,99.94463
JPN,Jun-25,99.9376
