REF_AREA,TIME_PERIOD,OBS_VALUE
KOR,Jan-90,100.5457
KOR,Feb-90,100.5342
KOR,Mar-90,100.5922
KOR,Apr-90,100.6504
KOR,May-90,100.6619
KOR,Jun-90,100.6015
KOR,Jul-90,100.4427
KOR,Aug-90,100.1919
KOR,Sep-90,99.8791
KOR,Oct-90,99.56091
KOR,Nov-90,99.29155
KOR,Dec-90,99.10412
KOR,Jan-91,99.0068
KOR,Feb-91,99.02531
KOR,Mar-91,99.12605
KOR,Apr-91,99.26083
KOR,May-91,99.36599
KOR,Jun-91,99.37877
KOR,Jul-91,99.28939
KOR,Aug-91,99.03442
KOR,Sep-91,98.7267
KOR,Oct-91,98.39277
KOR,Nov-91,98.03916
KOR,Dec-91,97.70164
KOR,Jan-92,97.43159
KOR,Feb-92,97.2646
KOR,Mar-92,97.21118
KOR,Apr-92,97.21294
KOR,May-92,97.2376
KOR,Jun-92,97.27103
KOR,Jul-92,97.31593
KOR,Aug-92,97.38512
KOR,Sep-92,97.48788
KOR,Oct-92,97.61512
KOR,Nov-92,97.7603
KOR,Dec-92,97.90228
KOR,Jan-93,98.02708
KOR,Feb-93,98.17124
KOR,Mar-93,98.36945
KOR,Apr-93,98.63664
KOR,May-93,98.94666
KOR,Jun-93,99.27699
KOR,Jul-93,99.60195
KOR,Aug-93,99.9016
KOR,Sep-93,100.1586
KOR,Oct-93,100.3644
KOR,Nov-93,100.5222
KOR,Dec-93,100.6415
KOR,Jan-94,100.7372
KOR,Feb-94,100.8596
KOR,Mar-94,101.027
KOR,Apr-94,101.2341
KOR,May-94,101.4484
KOR,Jun-94,101.6537
KOR,Jul-94,101.8485
KOR,Aug-94,102.0264
KOR,Sep-94,102.1778
KOR,Oct-94,102.2916
KOR,Nov-94,102.335
KOR,Dec-94,102.2887
KOR,Jan-95,102.1715
KOR,Feb-95,102.2892
KOR,Mar-95,102.3866
KOR,Apr-95,102.4583
KOR,May-95,102.5014
KOR,Jun-95,102.511
KOR,Jul-95,102.4693
KOR,Aug-95,102.3678
KOR,Sep-95,102.2095
KOR,Oct-95,101.9979
KOR,Nov-95,101.7472
KOR,Dec-95,101.4693
KOR,Jan-96,101.1784
KOR,Feb-96,100.8871
KOR,Mar-96,100.5744
KOR,Apr-96,100.2123
KOR,May-96,99.79576
KOR,Jun-96,99.3491
KOR,Jul-96,98.90421
KOR,Aug-96,98.4936
KOR,Sep-96,98.15143
KOR,Oct-96,97.90186
KOR,Nov-96,97.75946
KOR,Dec-96,97.73315
KOR,Jan-97,97.78891
KOR,Feb-97,97.90871
KOR,Mar-97,98.08195
KOR,Apr-97,98.30151
KOR,May-97,98.52618
KOR,Jun-97,98.6748
KOR,Jul-97,98.64244
KOR,Aug-97,98.36112
KOR,Sep-97,97.81327
KOR,Oct-97,97.06856
KOR,Nov-97,96.25351
KOR,Dec-97,95.51721
KOR,Jan-98,94.98338
KOR,Feb-98,94.71109
KOR,Mar-98,94.70276
KOR,Apr-98,94.92052
KOR,May-98,95.32088
KOR,Jun-98,95.8661
KOR,Jul-98,96.51759
KOR,Aug-98,97.21745
KOR,Sep-98,97.91193
KOR,Oct-98,98.58178
KOR,Nov-98,99.27171
KOR,Dec-98,100.0397
KOR,Jan-99,100.9015
KOR,Feb-99,101.8236
KOR,Mar-99,102.7455
