REF_AREA,TIME_PERIOD,OBS_VALUE
MEX,Jan-82,104.1371
MEX,Feb-82,102.8009
MEX,Mar-82,101.2009
MEX,Apr-82,99.42546
MEX,May-82,97.58843
MEX,Jun-82,95.7071
MEX,Jul-82,93.9585
MEX,Aug-82,92.57693
MEX,Sep-82,91.70754
MEX,Oct-82,91.35588
MEX,Nov-82,91.41152
MEX,Dec-82,91.83589
MEX,Jan-83,92.47412
MEX,Feb-83,93.14301
MEX,Mar-83,93.71021
MEX,Apr-83,94.1227
MEX,May-83,94.4729
MEX,Jun-83,94.83868
MEX,Jul-83,95.21529
MEX,Aug-83,95.57152
MEX,Sep-83,95.94965
MEX,Oct-83,96.39524
MEX,Nov-83,96.84545
MEX,Dec-83,97.37799
MEX,Jan-84,98.00607
MEX,Feb-84,98.68733
MEX,Mar-84,99.437
MEX,Apr-84,100.31
MEX,May-84,101.238
MEX,Jun-84,102.0592
MEX,Jul-84,102.6525
MEX,Aug-84,102.9985
MEX,Sep-84,103.1002
MEX,Oct-84,103.0853
MEX,Nov-84,103.1305
MEX,Dec-84,103.3308
MEX,Jan-85,103.546
MEX,Feb-85,103.6904
MEX,Mar-85,103.7223
MEX,Apr-85,103.5534
MEX,May-85,103.2212
MEX,Jun-85,102.7395
MEX,Jul-85,102.0566
MEX,Aug-85,101.1682
MEX,Sep-85,100.2298
MEX,Oct-85,99.32884
MEX,Nov-85,98.55283
MEX,Dec-85,97.87993
MEX,Jan-86,97.40014
MEX,Feb-86,96.95737
MEX,Mar-86,96.43509
MEX,Apr-86,95.75437
MEX,May-86,94.93732
MEX,Jun-86,94.33694
MEX,Jul-86,94.11591
MEX,Aug-86,94.26478
MEX,Sep-86,94.68197
MEX,Oct-86,95.19543
MEX,Nov-86,95.80655
MEX,Dec-86,96.40153
MEX,Jan-87,96.99545
MEX,Feb-87,97.67941
MEX,Mar-87,98.40005
MEX,Apr-87,99.16585
MEX,May-87,99.8816
MEX,Jun-87,100.3534
MEX,Jul-87,100.5267
MEX,Aug-87,100.5014
MEX,Sep-87,100.2788
MEX,Oct-87,99.84773
MEX,Nov-87,99.30249
MEX,Dec-87,98.73529
MEX,Jan-88,98.27045
MEX,Feb-88,98.09709
MEX,Mar-88,98.08646
MEX,Apr-88,98.27042
MEX,May-88,98.58875
MEX,Jun-88,99.03632
MEX,Jul-88,99.59966
MEX,Aug-88,100.3103
MEX,Sep-88,100.9846
MEX,Oct-88,101.6099
MEX,Nov-88,102.0858
MEX,Dec-88,102.27
MEX,Jan-89,102.2656
MEX,Feb-89,102.1961
MEX,Mar-89,102.1247
MEX,Apr-89,101.9615
MEX,May-89,101.6234
MEX,Jun-89,101.1822
MEX,Jul-89,100.6414
MEX,Aug-89,100.076
MEX,Sep-89,99.63272
MEX,Oct-89,99.37454
MEX,Nov-89,99.30825
MEX,Dec-89,99.38542
MEX,Jan-90,99.53471
MEX,Feb-90,99.65253
MEX,Mar-90,99.67176
MEX,Apr-90,99.56146
MEX,May-90,99.46005
MEX,Jun-90,99.30419
MEX,Jul-90,99.16882
MEX,Aug-90,99.01713
MEX,Sep-90,98.96516
MEX,Oct-90,98.97803
MEX,Nov-90,99.03352
MEX,Dec-90,99.24549
MEX,Jan-91,99.56673
MEX,Feb-91,99.86758
MEX,Mar-91,100.102
MEX,Apr-91,100.2311
MEX,May-91,100.251
MEX,Jun-91,100.3957
MEX,Jul-91,100.503
MEX,Aug-91,100.4019
MEX,Sep-91,100.12
MEX,Oct-91,99.73008
MEX,Nov-91,99.3877
MEX,Dec-91,99.28497
MEX,Jan-92,99.46848
MEX,Feb-92,99.78539
MEX,Mar-92,100.1208
MEX,Apr-92,100.3882
MEX,May-92,100.4608
MEX,Jun-92,100.2853
MEX,Jul-92,99.89381
MEX,Aug-92,99.45773
MEX,Sep-92,99.15819
MEX,Oct-92,98.91284
MEX,Nov-92,98.77734
MEX,Dec-92,98.75045
MEX,Jan-93,98.77272
MEX,Feb-93,98.74446
MEX,Mar-93,98.55042
MEX,Apr-93,98.2681
MEX,May-93,98.01504
MEX,Jun-93,97.90807
MEX,Jul-93,98.08237
MEX,Aug-93,98.49983
MEX,Sep-93,99.1565
MEX,Oct-93,99.94265
MEX,Nov-93,100.7344
MEX,Dec-93,101.4431
MEX,Jan-94,101.9682
MEX,Feb-94,101.9991
MEX,Mar-94,101.8093
MEX,Apr-94,101.4107
MEX,May-94,100.8818
MEX,Jun-94,100.4158
MEX,Jul-94,99.98067
MEX,Aug-94,99.53507
MEX,Sep-94,98.93437
MEX,Oct-94,98.09994
MEX,Nov-94,96.98866
MEX,Dec-94,95.64159
MEX,Jan-95,94.33022
MEX,Feb-95,93.41134
MEX,Mar-95,93.10626
MEX,Apr-95,93.47421
MEX,May-95,94.31459
MEX,Jun-95,95.40969
MEX,Jul-95,96.65027
MEX,Aug-95,97.95618
MEX,Sep-95,99.16357
MEX,Oct-95,100.1948
MEX,Nov-95,101.0292
MEX,Dec-95,101.5839
MEX,Jan-96,101.8615
MEX,Feb-96,101.91
MEX,Mar-96,101.8951
MEX,Apr-96,101.8889
MEX,May-96,101.8737
MEX,Jun-96,101.8233
MEX,Jul-96,101.7881
MEX,Aug-96,101.7585
MEX,Sep-96,101.7759
MEX,Oct-96,101.8751
MEX,Nov-96,102.0015
MEX,Dec-96,102.2064
MEX,Jan-97,102.367
MEX,Feb-97,102.4408
MEX,Mar-97,102.4363
MEX,Apr-97,102.3203
MEX,May-97,102.0535
MEX,Jun-97,101.8788
MEX,Jul-97,101.8333
MEX,Aug-97,101.9019
MEX,Sep-97,102.0668
MEX,Oct-97,102.1938
MEX,Nov-97,102.2409
MEX,Dec-97,102.2601
MEX,Jan-98,102.2613
MEX,Feb-98,102.1992
MEX,Mar-98,102.048
MEX,Apr-98,101.7346
MEX,May-98,101.2907
MEX,Jun-98,100.7535
MEX,Jul-98,100.2017
MEX,Aug-98,99.72173
MEX,Sep-98,99.41378
MEX,Oct-98,99.26292
MEX,Nov-98,99.26008
MEX,Dec-98,99.35063
MEX,Jan-99,99.53067
MEX,Feb-99,99.7748
MEX,Mar-99,99.96541
MEX,Apr-99,100.059
MEX,May-99,100.1879
MEX,Jun-99,100.3586
MEX,Jul-99,100.5912
MEX,Aug-99,100.8917
MEX,Sep-99,101.2395
MEX,Oct-99,101.6631
MEX,Nov-99,102.1133
MEX,Dec-99,102.4959
MEX,Jan-00,102.8008
MEX,Feb-00,102.9904
MEX,Mar-00,103.0834
MEX,Apr-00,103.1315
MEX,May-00,103.1264
MEX,Jun-00,103.022
MEX,Jul-00,102.8014
MEX,Aug-00,102.5569
MEX,Sep-00,102.2634
MEX,Oct-00,101.9128
MEX,Nov-00,101.5166
MEX,Dec-00,101.0653
MEX,Jan-01,100.6413
MEX,Feb-01,100.268
MEX,Mar-01,99.96016
MEX,Apr-01,99.64797
MEX,May-01,99.43799
MEX,Jun-01,99.25939
MEX,Jul-01,99.17249
MEX,Aug-01,99.12673
MEX,Sep-01,99.05263
MEX,Oct-01,98.99528
MEX,Nov-01,98.97903
MEX,Dec-01,99.03571
MEX,Jan-02,99.14752
MEX,Feb-02,99.3467
MEX,Mar-02,99.57053
MEX,Apr-02,99.66935
MEX,May-02,99.58664
MEX,Jun-02,99.47922
MEX,Jul-02,99.37909
MEX,Aug-02,99.32307
MEX,Sep-02,99.26342
MEX,Oct-02,99.17822
MEX,Nov-02,99.06918
MEX,Dec-02,98.92233
MEX,Jan-03,98.68227
MEX,Feb-03,98.391
MEX,Mar-03,98.15106
MEX,Apr-03,98.03157
MEX,May-03,97.94883
MEX,Jun-03,97.97816
