REF_AREA,TIME_PERIOD,OBS_VALUE
NAFTA,Jan-70,99.47691
NAFTA,Feb-70,99.16255
NAFTA,Mar-70,98.88013
NAFTA,Apr-70,98.65557
NAFTA,May-70,98.51813
NAFTA,Jun-70,98.46106
NAFTA,Jul-70,98.45594
NAFTA,Aug-70,98.49554
NAFTA,Sep-70,98.59734
NAFTA,Oct-70,98.79431
NAFTA,Nov-70,99.12428
NAFTA,Dec-70,99.57937
NAFTA,Jan-71,100.0784
NAFTA,Feb-71,100.5301
NAFTA,Mar-71,100.8746
NAFTA,Apr-71,101.1068
NAFTA,May-71,101.2355
NAFTA,Jun-71,101.2912
NAFTA,Jul-71,101.313
NAFTA,Aug-71,101.3428
NAFTA,Sep-71,101.4254
NAFTA,Oct-71,101.5955
NAFTA,Nov-71,101.8706
NAFTA,Dec-71,102.2342
NAFTA,Jan-72,102.617
NAFTA,Feb-72,102.9592
NAFTA,Mar-72,103.2282
NAFTA,Apr-72,103.4284
NAFTA,May-72,103.5845
NAFTA,Jun-72,103.7249
NAFTA,Jul-72,103.8866
NAFTA,Aug-72,104.0941
NAFTA,Sep-72,104.3259
NAFTA,Oct-72,104.5456
NAFTA,Nov-72,104.7238
NAFTA,Dec-72,104.8226
NAFTA,Jan-73,104.8169
NAFTA,Feb-73,104.696
NAFTA,Mar-73,104.4591
NAFTA,Apr-73,104.1254
NAFTA,May-73,103.7347
NAFTA,Jun-73,103.3359
NAFTA,Jul-73,102.9675
NAFTA,Aug-73,102.6511
NAFTA,Sep-73,102.4016
NAFTA,Oct-73,102.1996
NAFTA,Nov-73,101.9974
NAFTA,Dec-73,101.778
NAFTA,Jan-74,101.5504
NAFTA,Feb-74,101.2879
NAFTA,Mar-74,100.9698
NAFTA,Apr-74,100.5798
NAFTA,May-74,100.1258
NAFTA,Jun-74,99.62185
NAFTA,Jul-74,99.08286
NAFTA,Aug-74,98.51365
NAFTA,Sep-74,97.92905
NAFTA,Oct-74,97.38403
NAFTA,Nov-74,96.92786
NAFTA,Dec-74,96.62791
NAFTA,Jan-75,96.54438
NAFTA,Feb-75,96.66494
NAFTA,Mar-75,96.95345
NAFTA,Apr-75,97.37375
NAFTA,May-75,97.86107
NAFTA,Jun-75,98.36949
NAFTA,Jul-75,98.86702
NAFTA,Aug-75,99.32783
NAFTA,Sep-75,99.74973
NAFTA,Oct-75,100.1462
NAFTA,Nov-75,100.5322
NAFTA,Dec-75,100.9164
NAFTA,Jan-76,101.2841
NAFTA,Feb-76,101.5935
NAFTA,Mar-76,101.8116
NAFTA,Apr-76,101.938
NAFTA,May-76,101.9834
NAFTA,Jun-76,101.9753
NAFTA,Jul-76,101.9399
NAFTA,Aug-76,101.8967
NAFTA,Sep-76,101.8732
NAFTA,Oct-76,101.8953
NAFTA,Nov-76,101.9878
NAFTA,Dec-76,102.1437
NAFTA,Jan-77,102.3295
NAFTA,Feb-77,102.5207
NAFTA,Mar-77,102.6894
NAFTA,Apr-77,102.8032
NAFTA,May-77,102.8561
NAFTA,Jun-77,102.8492
NAFTA,Jul-77,102.7951
NAFTA,Aug-77,102.717
NAFTA,Sep-77,102.6452
NAFTA,Oct-77,102.5979
NAFTA,Nov-77,102.5767
NAFTA,Dec-77,102.583
NAFTA,Jan-78,102.6175
NAFTA,Feb-78,102.6753
NAFTA,Mar-78,102.7846
NAFTA,Apr-78,102.9322
NAFTA,May-78,103.0825
NAFTA,Jun-78,103.1978
NAFTA,Jul-78,103.256
NAFTA,Aug-78,103.2476
NAFTA,Sep-78,103.1734
NAFTA,Oct-78,103.0371
NAFTA,Nov-78,102.8576
NAFTA,Dec-78,102.667
NAFTA,Jan-79,102.493
NAFTA,Feb-79,102.3209
NAFTA,Mar-79,102.1248
NAFTA,Apr-79,101.8931
NAFTA,May-79,101.643
NAFTA,Jun-79,101.384
NAFTA,Jul-79,101.1267
NAFTA,Aug-79,100.8804
NAFTA,Sep-79,100.6352
NAFTA,Oct-79,100.3741
NAFTA,Nov-79,100.0982
NAFTA,Dec-79,99.8149
NAFTA,Jan-80,99.5248
NAFTA,Feb-80,99.20795
NAFTA,Mar-80,98.90441
NAFTA,Apr-80,98.73431
NAFTA,May-80,98.7896
NAFTA,Jun-80,99.10799
NAFTA,Jul-80,99.62271
NAFTA,Aug-80,100.209
NAFTA,Sep-80,100.7311
NAFTA,Oct-80,101.0866
