REF_AREA,TIME_PERIOD,OBS_VALUE
TUR,Dec-87,112.5089
TUR,Jan-88,108.8543
TUR,Feb-88,105.25
TUR,Mar-88,101.9105
TUR,Apr-88,99.10121
TUR,May-88,97.02999
TUR,Jun-88,95.8312
TUR,Jul-88,95.42787
TUR,Aug-88,95.57706
TUR,Sep-88,95.94989
TUR,Oct-88,96.29163
TUR,Nov-88,96.51627
TUR,Dec-88,96.70088
TUR,Jan-89,97.02119
TUR,Feb-89,97.62265
TUR,Mar-89,98.36772
TUR,Apr-89,99.0831
TUR,May-89,99.66129
TUR,Jun-89,100.0992
TUR,Jul-89,100.4469
TUR,Aug-89,100.8213
TUR,Sep-89,101.2617
TUR,Oct-89,101.7928
TUR,Nov-89,102.3959
TUR,Dec-89,102.9967
TUR,Jan-90,103.5578
TUR,Feb-90,103.9921
TUR,Mar-90,104.2151
TUR,Apr-90,104.1849
TUR,May-90,103.8748
TUR,Jun-90,103.2752
TUR,Jul-90,102.409
TUR,Aug-90,101.3509
TUR,Sep-90,100.2054
TUR,Oct-90,98.94794
TUR,Nov-90,97.65656
TUR,Dec-90,96.50845
TUR,Jan-91,95.73959
TUR,Feb-91,95.51723
TUR,Mar-91,95.7796
TUR,Apr-91,96.24587
TUR,May-91,96.71653
TUR,Jun-91,97.14339
TUR,Jul-91,97.55372
TUR,Aug-91,98.00195
TUR,Sep-91,98.5446
TUR,Oct-91,99.16176
TUR,Nov-91,99.74632
TUR,Dec-91,100.203
TUR,Jan-92,100.4727
TUR,Feb-92,100.5661
TUR,Mar-92,100.5674
TUR,Apr-92,100.5439
TUR,May-92,100.5729
TUR,Jun-92,100.6412
TUR,Jul-92,100.7856
TUR,Aug-92,100.9522
TUR,Sep-92,101.136
TUR,Oct-92,101.3708
TUR,Nov-92,101.6656
TUR,Dec-92,102.0319
TUR,Jan-93,102.4729
TUR,Feb-93,102.9042
TUR,Mar-93,103.2262
TUR,Apr-93,103.3957
TUR,May-93,103.3797
TUR,Jun-93,103.1755
TUR,Jul-93,102.8156
TUR,Aug-93,102.3457
TUR,Sep-93,101.7432
TUR,Oct-93,100.8957
TUR,Nov-93,99.6833
TUR,Dec-93,98.05645
TUR,Jan-94,96.03781
TUR,Feb-94,93.85941
TUR,Mar-94,91.97899
TUR,Apr-94,90.79778
TUR,May-94,90.66779
TUR,Jun-94,91.7077
TUR,Jul-94,93.60455
TUR,Aug-94,95.78755
TUR,Sep-94,97.76061
TUR,Oct-94,99.26793
TUR,Nov-94,100.304
TUR,Dec-94,101.0003
TUR,Jan-95,101.5224
TUR,Feb-95,102.0492
TUR,Mar-95,102.6175
TUR,Apr-95,103.1811
TUR,May-95,103.6321
TUR,Jun-95,103.8878
