REF_AREA,TIME_PERIOD,OBS_VALUE
GBR,Jan-70,96.87932
GBR,Feb-70,97.09883
GBR,Mar-70,97.28021
GBR,Apr-70,97.3735
GBR,May-70,97.36597
GBR,Jun-70,97.29794
GBR,Jul-70,97.17809
GBR,Aug-70,97.03987
GBR,Sep-70,96.94121
GBR,Oct-70,96.88645
GBR,Nov-70,96.88961
GBR,Dec-70,96.97011
GBR,Jan-71,97.12757
GBR,Feb-71,97.39598
GBR,Mar-71,97.81171
GBR,Apr-71,98.39193
GBR,May-71,99.09531
GBR,Jun-71,99.89907
GBR,Jul-71,100.787
GBR,Aug-71,101.6758
GBR,Sep-71,102.5304
GBR,Oct-71,103.3226
GBR,Nov-71,104.0474
GBR,Dec-71,104.701
GBR,Jan-72,105.248
GBR,Feb-72,105.7497
GBR,Mar-72,106.2503
GBR,Apr-72,106.6834
GBR,May-72,106.9223
GBR,Jun-72,106.9053
GBR,Jul-72,106.723
GBR,Aug-72,106.4939
GBR,Sep-72,106.281
GBR,Oct-72,106.14
GBR,Nov-72,106.0156
GBR,Dec-72,105.8505
GBR,Jan-73,105.6134
GBR,Feb-73,105.3495
GBR,Mar-73,105.0833
GBR,Apr-73,104.8073
GBR,May-73,104.501
GBR,Jun-73,104.1225
GBR,Jul-73,103.5974
GBR,Aug-73,102.8649
GBR,Sep-73,101.9026
GBR,Oct-73,100.7951
GBR,Nov-73,99.57646
GBR,Dec-73,98.34109
GBR,Jan-74,97.26676
GBR,Feb-74,96.48853
GBR,Mar-74,95.93199
GBR,Apr-74,95.52534
GBR,May-74,95.21456
GBR,Jun-74,94.91001
GBR,Jul-74,94.55182
GBR,Aug-74,94.185
GBR,Sep-74,93.86151
GBR,Oct-74,93.5862
GBR,Nov-74,93.43249
GBR,Dec-74,93.4833
GBR,Jan-75,93.77952
GBR,Feb-75,94.27459
GBR,Mar-75,94.88109
GBR,Apr-75,95.53399
GBR,May-75,96.18415
GBR,Jun-75,96.77341
GBR,Jul-75,97.27084
GBR,Aug-75,97.71258
GBR,Sep-75,98.17492
GBR,Oct-75,98.61469
GBR,Nov-75,99.11047
GBR,Dec-75,99.65737
GBR,Jan-76,100.208
GBR,Feb-76,100.6835
GBR,Mar-76,101.0397
GBR,Apr-76,101.2214
GBR,May-76,101.1815
GBR,Jun-76,100.9417
GBR,Jul-76,100.5871
GBR,Aug-76,100.175
GBR,Sep-76,99.78883
GBR,Oct-76,99.53815
GBR,Nov-76,99.44991
GBR,Dec-76,99.48296
GBR,Jan-77,99.64616
GBR,Feb-77,99.96072
GBR,Mar-77,100.356
GBR,Apr-77,100.8215
GBR,May-77,101.3271
GBR,Jun-77,101.8298
GBR,Jul-77,102.3242
GBR,Aug-77,102.7274
GBR,Sep-77,103.0342
GBR,Oct-77,103.2121
GBR,Nov-77,103.2505
GBR,Dec-77,103.2018
GBR,Jan-78,103.115
GBR,Feb-78,103.0071
GBR,Mar-78,102.9223
GBR,Apr-78,102.8798
GBR,May-78,102.9081
GBR,Jun-78,103.0172
GBR,Jul-78,103.1283
GBR,Aug-78,103.1867
GBR,Sep-78,103.1445
GBR,Oct-78,102.9788
GBR,Nov-78,102.7881
GBR,Dec-78,102.6866
GBR,Jan-79,102.7144
GBR,Feb-79,102.8559
GBR,Mar-79,103.0428
GBR,Apr-79,103.0974
GBR,May-79,102.8583
GBR,Jun-79,102.3095
GBR,Jul-79,101.6352
GBR,Aug-79,101.0154
GBR,Sep-79,100.5277
GBR,Oct-79,100.1373
GBR,Nov-79,99.75837
GBR,Dec-79,99.37703
GBR,Jan-80,98.99098
GBR,Feb-80,98.58603
GBR,Mar-80,98.136
GBR,Apr-80,97.64701
GBR,May-80,97.22298
GBR,Jun-80,96.8756
GBR,Jul-80,96.6036
GBR,Aug-80,96.4343
GBR,Sep-80,96.42831
GBR,Oct-80,96.55558
GBR,Nov-80,96.82336
GBR,Dec-80,97.21482
GBR,Jan-81,97.70148
GBR,Feb-81,98.21592
GBR,Mar-81,98.70499
GBR,Apr-81,99.07452
GBR,May-81,99.24857
GBR,Jun-81,99.23412
GBR,Jul-81,99.10565
GBR,Aug-81,98.91151
GBR,Sep-81,98.73891
GBR,Oct-81,98.59703
GBR,Nov-81,98.48675
GBR,Dec-81,98.40094
GBR,Jan-82,98.38068
GBR,Feb-82,98.46187
GBR,Mar-82,98.57815
GBR,Apr-82,98.66402
GBR,May-82,98.73997
GBR,Jun-82,98.8635
GBR,Jul-82,99.06217
GBR,Aug-82,99.31509
GBR,Sep-82,99.60857
GBR,Oct-82,99.93127
GBR,Nov-82,100.2045
GBR,Dec-82,100.4383
GBR,Jan-83,100.6681
GBR,Feb-83,100.8975
GBR,Mar-83,101.1498
GBR,Apr-83,101.4061
GBR,May-83,101.64
GBR,Jun-83,101.8483
GBR,Jul-83,101.9934
GBR,Aug-83,102.0501
GBR,Sep-83,102.0239
GBR,Oct-83,102.004
GBR,Nov-83,101.985
GBR,Dec-83,101.9675
GBR,Jan-84,101.9431
GBR,Feb-84,101.8898
GBR,Mar-84,101.7718
GBR,Apr-84,101.5968
GBR,May-84,101.3448
GBR,Jun-84,101.0533
GBR,Jul-84,100.7845
GBR,Aug-84,100.6064
GBR,Sep-84,100.4937
GBR,Oct-84,100.4071
GBR,Nov-84,100.3555
GBR,Dec-84,100.3152
GBR,Jan-85,100.2758
GBR,Feb-85,100.1449
GBR,Mar-85,100.0102
GBR,Apr-85,99.87846
GBR,May-85,99.75999
GBR,Jun-85,99.67776
GBR,Jul-85,99.64019
GBR,Aug-85,99.65148
GBR,Sep-85,99.68092
GBR,Oct-85,99.71924
GBR,Nov-85,99.74132
GBR,Dec-85,99.73875
GBR,Jan-86,99.71136
GBR,Feb-86,99.70091
GBR,Mar-86,99.73174
GBR,Apr-86,99.79846
GBR,May-86,99.84788
GBR,Jun-86,99.89135
GBR,Jul-86,99.92548
GBR,Aug-86,99.96576
GBR,Sep-86,100.0366
GBR,Oct-86,100.1818
GBR,Nov-86,100.425
GBR,Dec-86,100.7758
GBR,Jan-87,101.2455
GBR,Feb-87,101.6512
GBR,Mar-87,102.0711
GBR,Apr-87,102.479
GBR,May-87,102.8193
GBR,Jun-87,103.0233
GBR,Jul-87,103.0488
GBR,Aug-87,102.9176
GBR,Sep-87,102.6749
GBR,Oct-87,102.3493
GBR,Nov-87,102.005
GBR,Dec-87,101.694
GBR,Jan-88,101.452
GBR,Feb-88,101.2939
GBR,Mar-88,101.2229
GBR,Apr-88,101.2287
GBR,May-88,101.2651
GBR,Jun-88,101.2662
GBR,Jul-88,101.2136
GBR,Aug-88,101.1078
GBR,Sep-88,100.9506
GBR,Oct-88,100.7785
GBR,Nov-88,100.6467
GBR,Dec-88,100.5632
GBR,Jan-89,100.5368
GBR,Feb-89,100.5476
GBR,Mar-89,100.5674
GBR,Apr-89,100.6041
GBR,May-89,100.6154
GBR,Jun-89,100.5661
GBR,Jul-89,100.4665
GBR,Aug-89,100.3171
GBR,Sep-89,100.1162
GBR,Oct-89,99.90498
GBR,Nov-89,99.73567
GBR,Dec-89,99.60971
GBR,Jan-90,99.50317
GBR,Feb-90,99.41374
GBR,Mar-90,99.37904
GBR,Apr-90,99.41328
GBR,May-90,99.46194
GBR,Jun-90,99.46654
GBR,Jul-90,99.4052
GBR,Aug-90,99.28133
GBR,Sep-90,99.11187
GBR,Oct-90,98.92659
GBR,Nov-90,98.7467
GBR,Dec-90,98.62491
GBR,Jan-91,98.59241
GBR,Feb-91,98.69601
GBR,Mar-91,98.92519
GBR,Apr-91,99.19392
GBR,May-91,99.46631
GBR,Jun-91,99.7366
GBR,Jul-91,100.0035
GBR,Aug-91,100.2436
GBR,Sep-91,100.4027
GBR,Oct-91,100.457
GBR,Nov-91,100.4319
GBR,Dec-91,100.3764
GBR,Jan-92,100.3486
GBR,Feb-92,100.368
GBR,Mar-92,100.4098
GBR,Apr-92,100.4116
GBR,May-92,100.2809
GBR,Jun-92,100.0051
GBR,Jul-92,99.65241
GBR,Aug-92,99.33725
GBR,Sep-92,99.14706
GBR,Oct-92,99.11259
GBR,Nov-92,99.20934
GBR,Dec-92,99.39368
GBR,Jan-93,99.5998
GBR,Feb-93,99.81858
GBR,Mar-93,100.0366
GBR,Apr-93,100.2448
GBR,May-93,100.4325
GBR,Jun-93,100.5915
GBR,Jul-93,100.7479
GBR,Aug-93,100.9002
GBR,Sep-93,101.0088
GBR,Oct-93,101.0615
GBR,Nov-93,101.0607
GBR,Dec-93,101.0129
GBR,Jan-94,100.9237
GBR,Feb-94,100.7727
