REF_AREA,TIME_PERIOD,OBS_VALUE
USA,Jan-70,98.52234
USA,Feb-70,98.2087
USA,Mar-70,97.92856
USA,Apr-70,97.70838
USA,May-70,97.57753
USA,Jun-70,97.52753
USA,Jul-70,97.52887
USA,Aug-70,97.5727
USA,Sep-70,97.67743
USA,Oct-70,97.87569
USA,Nov-70,98.20584
USA,Dec-70,98.65929
USA,Jan-71,99.15311
USA,Feb-71,99.59422
USA,Mar-71,99.92384
USA,Apr-71,100.1384
USA,May-71,100.2485
USA,Jun-71,100.287
USA,Jul-71,100.2955
USA,Aug-71,100.3187
USA,Sep-71,100.4032
USA,Oct-71,100.583
USA,Nov-71,100.8717
USA,Dec-71,101.2505
USA,Jan-72,101.6471
USA,Feb-72,102.0013
USA,Mar-72,102.2786
USA,Apr-72,102.4829
USA,May-72,102.6397
USA,Jun-72,102.7783
USA,Jul-72,102.9353
USA,Aug-72,103.1347
USA,Sep-72,103.3551
USA,Oct-72,103.5613
USA,Nov-72,103.7258
USA,Dec-72,103.8127
USA,Jan-73,103.7978
USA,Feb-73,103.6709
USA,Mar-73,103.429
USA,Apr-73,103.0903
USA,May-73,102.6934
USA,Jun-73,102.2861
USA,Jul-73,101.9073
USA,Aug-73,101.5798
USA,Sep-73,101.3187
USA,Oct-73,101.1071
USA,Nov-73,100.899
USA,Dec-73,100.6768
USA,Jan-74,100.4504
USA,Feb-74,100.1934
USA,Mar-74,99.8847
USA,Apr-74,99.50723
USA,May-74,99.06827
USA,Jun-74,98.58047
USA,Jul-74,98.05732
USA,Aug-74,97.50207
USA,Sep-74,96.92606
USA,Oct-74,96.38403
USA,Nov-74,95.92489
USA,Dec-74,95.61669
USA,Jan-75,95.52068
USA,Feb-75,95.62671
USA,Mar-75,95.90269
USA,Apr-75,96.31419
USA,May-75,96.79669
USA,Jun-75,97.30431
USA,Jul-75,97.80602
USA,Aug-75,98.27629
USA,Sep-75,98.71285
USA,Oct-75,99.12723
USA,Nov-75,99.53244
USA,Dec-75,99.93631
USA,Jan-76,100.3227
USA,Feb-76,100.6486
USA,Mar-76,100.8808
USA,Apr-76,101.0201
USA,May-76,101.0792
USA,Jun-76,101.0863
USA,Jul-76,101.0658
USA,Aug-76,101.0349
USA,Sep-76,101.0224
USA,Oct-76,101.0522
USA,Nov-76,101.1483
USA,Dec-76,101.3038
USA,Jan-77,101.488
USA,Feb-77,101.6768
USA,Mar-77,101.8426
USA,Apr-77,101.9528
USA,May-77,102.0009
USA,Jun-77,101.9881
USA,Jul-77,101.9281
USA,Aug-77,101.8441
USA,Sep-77,101.7654
USA,Oct-77,101.7098
USA,Nov-77,101.6782
USA,Dec-77,101.673
USA,Jan-78,101.6969
USA,Feb-78,101.7434
USA,Mar-78,101.8425
USA,Apr-78,101.9813
USA,May-78,102.1237
USA,Jun-78,102.2308
USA,Jul-78,102.2793
USA,Aug-78,102.259
USA,Sep-78,102.1706
USA,Oct-78,102.02
USA,Nov-78,101.8272
USA,Dec-78,101.6277
USA,Jan-79,101.4507
USA,Feb-79,101.2785
USA,Mar-79,101.0799
USA,Apr-79,100.8412
USA,May-79,100.5805
USA,Jun-79,100.3092
USA,Jul-79,100.0402
USA,Aug-79,99.78523
USA,Sep-79,99.535
USA,Oct-79,99.2697
USA,Nov-79,98.98705
USA,Dec-79,98.69409
USA,Jan-80,98.39268
USA,Feb-80,98.06626
USA,Mar-80,97.75568
USA,Apr-80,97.58435
USA,May-80,97.64494
USA,Jun-80,97.97324
USA,Jul-80,98.49847
USA,Aug-80,99.09328
USA,Sep-80,99.62032
USA,Oct-80,99.97849
USA,Nov-80,100.1373
USA,Dec-80,100.1331
USA,Jan-81,100.0272
USA,Feb-81,99.88608
USA,Mar-81,99.74358
USA,Apr-81,99.57278
USA,May-81,99.34481
USA,Jun-81,99.07474
USA,Jul-81,98.79488
USA,Aug-81,98.50772
USA,Sep-81,98.18957
USA,Oct-81,97.85136
USA,Nov-81,97.51353
USA,Dec-81,97.20242
USA,Jan-82,96.91154
USA,Feb-82,96.63529
USA,Mar-82,96.41049
USA,Apr-82,96.26809
USA,May-82,96.21533
USA,Jun-82,96.25477
USA,Jul-82,96.37325
USA,Aug-82,96.55742
USA,Sep-82,96.81255
USA,Oct-82,97.13435
USA,Nov-82,97.53557
USA,Dec-82,98.02549
USA,Jan-83,98.59123
USA,Feb-83,99.20575
USA,Mar-83,99.83834
USA,Apr-83,100.456
USA,May-83,101.0243
USA,Jun-83,101.5105
USA,Jul-83,101.8983
USA,Aug-83,102.1879
USA,Sep-83,102.3993
USA,Oct-83,102.5404
USA,Nov-83,102.6166
USA,Dec-83,102.63
USA,Jan-84,102.585
USA,Feb-84,102.4711
USA,Mar-84,102.2813
USA,Apr-84,102.0242
USA,May-84,101.7285
USA,Jun-84,101.4184
USA,Jul-84,101.1258
USA,Aug-84,100.8699
USA,Sep-84,100.6678
USA,Oct-84,100.5261
USA,Nov-84,100.4307
USA,Dec-84,100.36
USA,Jan-85,100.3055
USA,Feb-85,100.254
USA,Mar-85,100.2118
USA,Apr-85,100.1779
USA,May-85,100.1477
USA,Jun-85,100.1217
USA,Jul-85,100.0899
USA,Aug-85,100.0615
USA,Sep-85,100.0414
USA,Oct-85,100.0358
USA,Nov-85,100.051
USA,Dec-85,100.0828
USA,Jan-86,100.109
USA,Feb-86,100.1177
USA,Mar-86,100.1095
USA,Apr-86,100.0935
USA,May-86,100.0752
USA,Jun-86,100.0433
USA,Jul-86,99.99426
USA,Aug-86,99.94312
USA,Sep-86,99.89901
USA,Oct-86,99.87259
USA,Nov-86,99.88654
USA,Dec-86,99.96746
USA,Jan-87,100.1255
USA,Feb-87,100.3374
USA,Mar-87,100.5583
USA,Apr-87,100.76
USA,May-87,100.9266
USA,Jun-87,101.0424
USA,Jul-87,101.0885
USA,Aug-87,101.0441
USA,Sep-87,100.9143
USA,Oct-87,100.729
USA,Nov-87,100.5411
USA,Dec-87,100.4092
USA,Jan-88,100.3408
USA,Feb-88,100.3274
USA,Mar-88,100.3576
USA,Apr-88,100.4166
USA,May-88,100.4916
USA,Jun-88,100.5609
USA,Jul-88,100.6029
USA,Aug-88,100.6216
USA,Sep-88,100.6264
USA,Oct-88,100.6259
USA,Nov-88,100.6202
USA,Dec-88,100.6015
USA,Jan-89,100.547
USA,Feb-89,100.4387
USA,Mar-89,100.2836
USA,Apr-89,100.1087
USA,May-89,99.94119
USA,Jun-89,99.81149
USA,Jul-89,99.73177
USA,Aug-89,99.70039
USA,Sep-89,99.70245
USA,Oct-89,99.71663
USA,Nov-89,99.74039
USA,Dec-89,99.77078
USA,Jan-90,99.80532
USA,Feb-90,99.83637
USA,Mar-90,99.83672
USA,Apr-90,99.76309
USA,May-90,99.59339
USA,Jun-90,99.30772
USA,Jul-90,98.91141
USA,Aug-90,98.43497
USA,Sep-90,97.95008
USA,Oct-90,97.52469
USA,Nov-90,97.22318
USA,Dec-90,97.09063
USA,Jan-91,97.1282
USA,Feb-91,97.32331
USA,Mar-91,97.63279
USA,Apr-91,98.01102
USA,May-91,98.40076
USA,Jun-91,98.7599
USA,Jul-91,99.03677
USA,Aug-91,99.19099
USA,Sep-91,99.22933
USA,Oct-91,99.18542
USA,Nov-91,99.11469
USA,Dec-91,99.08175
USA,Jan-92,99.13196
USA,Feb-92,99.25729
USA,Mar-92,99.42625
USA,Apr-92,99.57954
USA,May-92,99.67626
USA,Jun-92,99.70467
USA,Jul-92,99.69295
USA,Aug-92,99.68188
USA,Sep-92,99.71444
USA,Oct-92,99.81463
USA,Nov-92,99.96004
USA,Dec-92,100.0905
USA,Jan-93,100.1539
USA,Feb-93,100.1368
USA,Mar-93,100.0457
USA,Apr-93,99.91199
USA,May-93,99.75625
USA,Jun-93,99.62531
USA,Jul-93,99.55405
USA,Aug-93,99.56808
USA,Sep-93,99.67333
USA,Oct-93,99.85989
USA,Nov-93,100.0968
USA,Dec-93,100.3591
USA,Jan-94,100.6047
USA,Feb-94,100.8052
USA,Mar-94,100.9545
USA,Apr-94,101.0489
USA,May-94,101.0911
USA,Jun-94,101.0869
USA,Jul-94,101.0509
USA,Aug-94,100.998
USA,Sep-94,100.9294
USA,Oct-94,100.8374
USA,Nov-94,100.6991
USA,Dec-94,100.5033
USA,Jan-95,100.2452
