변환,원자료,원자료
"1987/01","",""
"1987/02","",""
"1987/03","",""
"1987/04","",""
"1987/05","",""
"1987/06","",""
"1987/07","",""
"1987/08","",""
"1987/09","",""
"1987/10","",""
"1987/11","",""
"1987/12","",""
"1988/01","",""
"1988/02","",""
"1988/03","",""
"1988/04","",""
"1988/05","",""
"1988/06","",""
"1988/07","",""
"1988/08","",""
"1988/09","",""
"1988/10","",""
"1988/11","",""
"1988/12","",""
"1989/01","",""
"1989/02","",""
"1989/03","",""
"1989/04","",""
"1989/05","",""
"1989/06","",""
"1989/07","",""
"1989/08","",""
"1989/09","",""
"1989/10","",""
"1989/11","",""
"1989/12","",""
"1990/01","",""
"1990/02","",""
"1990/03","",""
"1990/04","",""
"1990/05","",""
"1990/06","",""
"1990/07","",""
"1990/08","",""
"1990/09","",""
"1990/10","",""
"1990/11","",""
"1990/12","",""
"1991/01","",""
"1991/02","",""
"1991/03","",""
"1991/04","",""
"1991/05","",""
"1991/06","",""
"1991/07","",""
"1991/08","",""
"1991/09","",""
"1991/10","",""
"1991/11","",""
"1991/12","",""
"1992/01","",""
"1992/02","",""
"1992/03","",""
"1992/04","",""
"1992/05","",""
"1992/06","",""
"1992/07","",""
"1992/08","",""
"1992/09","",""
"1992/10","",""
"1992/11","",""
"1992/12","",""
"1993/01","",""
"1993/02","",""
"1993/03","",""
"1993/04","",""
"1993/05","",""
"1993/06","",""
"1993/07","",""
"1993/08","",""
"1993/09","",""
"1993/10","",""
"1993/11","",""
"1993/12","",""
"1994/01","",""
"1994/02","",""
"1994/03","",""
"1994/04","",""
"1994/05","",""
"1994/06","",""
"1994/07","",""
"1994/08","",""
"1994/09","",""
"1994/10","",""
"1994/11","",""
"1994/12","",""
"1995/01","",""
"1995/02","",""
"1995/03","",""
"1995/04","",""
"1995/05","14.810",""
"1995/06","14.580",""
"1995/07","14.090",""
"1995/08","13.130",""
"1995/09","12.820",""
"1995/10","12.100",""
"1995/11","11.920",""
"1995/12","11.630",""
"1996/01","11.940",""
"1996/02","12.010",""
"1996/03","11.920",""
"1996/04","11.040",""
"1996/05","11.010",""
"1996/06","11.510",""
"1996/07","11.850",""
"1996/08","12.270",""
"1996/09","12.190",""
"1996/10","12.080",""
"1996/11","12.120",""
"1996/12","12.190",""
"1997/01","12.170",""
"1997/02","12.100",""
"1997/03","12.320",""
"1997/04","12.400",""
"1997/05","12.400",""
"1997/06","11.720",""
"1997/07","11.650",""
"1997/08","11.650",""
"1997/09","11.650",""
"1997/10","11.650",""
"1997/11","12.400",""
"1997/12","14.960",""
"1998/01","15.000",""
"1998/02","15.000",""
"1998/03","15.090",""
"1998/04","17.130",""
"1998/05","16.860",""
"1998/06","15.040",""
"1998/07","12.570",""
"1998/08","11.720",""
"1998/09","11.840",""
"1998/10","9.400",""
"1998/11","8.340",""
"1998/12","7.230",""
"1999/01","6.670",""
"1999/02","7.080",""
"1999/03","6.810",""
"1999/04","6.370",""
"1999/05","6.750",""
"1999/06","6.880",""
"1999/07","7.890",""
"1999/08","8.910",""
"1999/09","9.330",""
"1999/10","8.280",""
"1999/11","8.460",""
"1999/12","8.850",""
"2000/01","9.280",""
"2000/02","8.990",""
"2000/03","9.060",""
"2000/04","8.950",""
"2000/05","8.960",""
"2000/06","8.660",""
"2000/07","8.000",""
"2000/08","7.850",""
"2000/09","7.960",""
"2000/10","7.840","8.250"
"2000/11","7.310","7.860"
"2000/12","6.790","7.180"
"2001/01","5.990","6.650"
"2001/02","5.430","6.410"
"2001/03","5.840","7.000"
"2001/04","6.590","7.740"
"2001/05","6.460","7.580"
"2001/06","6.040","7.140"
"2001/07","5.750","6.830"
"2001/08","5.150","6.290"
"2001/09","4.890","6.190"
"2001/10","4.740","6.540"
"2001/11","5.340","6.880"
"2001/12","5.930","7.010"
"2002/01","6.080","7.100"
"2002/02","5.920","7.000"
"2002/03","6.300","7.170"
"2002/04","6.470","7.300"
"2002/05","6.300","7.090"
"2002/06","5.930","6.760"
"2002/07","5.700","6.540"
"2002/08","5.370","6.240"
"2002/09","5.370","6.160"
"2002/10","5.390","6.110"
"2002/11","5.290","5.800"
"2002/12","5.280","5.770"
"2003/01","4.960","5.430"
"2003/02","4.730","5.150"
"2003/03","4.780","5.200"
"2003/04","4.600","5.030"
"2003/05","4.270","4.680"
"2003/06","4.070","4.460"
"2003/07","4.370","4.950"
"2003/08","4.620","5.260"
"2003/09","4.250","4.770"
"2003/10","4.280","4.870"
"2003/11","4.770","5.350"
"2003/12","4.870","5.430"
"2004/01","4.880","5.420"
"2004/02","4.830","5.430"
"2004/03","4.580","5.260"
"2004/04","4.540","5.250"
"2004/05","4.390","5.160"
"2004/06","4.280","5.010"
"2004/07","4.190","4.880"
"2004/08","3.820","4.330"
"2004/09","3.590","4.140"
"2004/10","3.540","4.050"
"2004/11","3.420","3.960"
"2004/12","3.280","3.850"
"2005/01","3.650","4.420"
"2005/02","4.190","4.880"
"2005/03","4.040","4.770"
"2005/04","3.860","4.690"
"2005/05","3.710","4.420"
"2005/06","3.790","4.460"
"2005/07","4.120","4.890"
"2005/08","4.330","5.080"
"2005/09","4.520","5.150"
"2005/10","4.810","5.360"
"2005/11","5.100","5.680"
"2005/12","5.060","5.600"
"2006/01","5.020","5.580"
"2006/02","4.870","5.280"
"2006/03","4.930","5.420"
"2006/04","4.950","5.450"
"2006/05","4.780","5.200"
"2006/06","4.890","5.250"
"2006/07","4.890","5.160"
"2006/08","4.770","4.940"
"2006/09","4.690","4.890"
"2006/10","4.620","4.790"
"2006/11","4.720","4.910"
"2006/12","4.820","4.950"
"2007/01","4.970","5.040"
"2007/02","4.910","5.010"
"2007/03","4.790","4.940"
"2007/04","4.940","5.070"
"2007/05","5.100","5.220"
"2007/06","5.240","5.480"
"2007/07","5.350","5.520"
"2007/08","5.280","5.420"
"2007/09","5.390","5.520"
"2007/10","5.420","5.560"
"2007/11","5.540","5.610"
"2007/12","5.890","5.820"
"2008/01","5.440","5.560"
"2008/02","5.060","5.280"
"2008/03","5.150","5.360"
"2008/04","4.980","5.170"
"2008/05","5.280","5.500"
"2008/06","5.700","5.890"
"2008/07","5.960","6.030"
"2008/08","5.770","5.910"
"2008/09","5.810","5.990"
"2008/10","5.090","5.530"
"2008/11","4.970","5.730"
"2008/12","3.970","4.870"
"2009/01","3.440","4.420"
"2009/02","3.780","5.240"
"2009/03","3.690","4.970"
"2009/04","3.760","4.900"
"2009/05","3.830","5.050"
"2009/06","4.090","5.260"
"2009/07","4.090","5.180"
"2009/08","4.420","5.440"
"2009/09","4.400","5.380"
"2009/10","4.470","5.450"
"2009/11","4.320","5.390"
"2009/12","4.240","5.310"
"2010/01","4.290","5.350"
"2010/02","4.190","5.300"
"2010/03","3.940","4.920"
"2010/04","3.770","4.910"
"2010/05","3.700","4.950"
